,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.228072669845332,0,0.033667512974447,0,0,0.000384472695327936,0.077159383682213,0.0302797971410354,0.049459255705432,0,0,0,0.146855147691107,0,0,0,0,0,0.0178588995556554
ETH,0,0,0.259738315530295,0.197497593783743,0.0355459733008269,0.211813515358217,0.0359680197161269,0,0,0,0,0,0,0.163182484446477,0,0,0,0,0,0
XRP,0,0.224541631304697,0,0.087794499731669,0,0,0.11838881776477,0.146793619147322,0.0357510145655198,0,0.10208495800464,0.00388093264191087,0,0.0343976458958858,0,0,0,0,0,0
BCH,0,0.305847880423827,0,0,0,0,0.175035036273429,0,0.136963760489857,0,0,0,0,0.142451499541076,0,0,0,0,0,0
EOS,0,0,0,0.403702543277838,0,0,0.219158176490668,0,-0.43385708029748,0,0.486134763160429,0.0894928439625091,0,0,0,0,0,0,0,0
LTC,0,0.152532821798514,0.122186008533528,0.128778548868302,0,0,0.0686501275425728,0.0603282504041784,0.0578661642822804,0.00898525748279506,0.0995909715377578,-0.00000000000000000693889390390723,0,0.0245256632290668,0.0484996636916068,0,0,0,0,0
ADA,0,0,0,0.0963740819939383,0.0768788187655803,0,0,0.126830729527374,0.151380417856155,0,0.194804818795648,0.175695616854258,0,0.00766273342857375,0,0,0,0,0,0.093255043897787
XLM,0,0.0390679414562647,0.177969553563195,0.13951222052982,0.0597181093531559,0,0.17539060842209,0,0,0.0104722762375699,0.0252743889525521,0,0,0.131146447397092,0.0488970162089087,0,0,0,0,0
MIOTA,0,0,0.318905399912454,0.0170393121525317,0,0,0.0483683087775727,0.161765772068753,0,0,0,0,0,0,0.250520306408529,0,0,0,0,0
TRX,0,0,0,0.384604121638439,0,0,0,0.364269871391215,0,0,0,0.0359716539724659,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0486043801636087,0,0.0283042778244335,0.160574821995183,0.226346667003159,0.00000000000000000010842021724855,0,0.0694002115209494,0.101076533506758,0,0.111394922394665,0,0,0,0,0
XMR,0,0,0.226657673775223,0.093537185613911,0,0,0.14251966738061,0,0,0.0550887201958931,-0.00000000000000000173472347597681,0,0.109155113006469,0.0255923536886113,0.119600014187421,0,0,0,0,0
DASH,0,0,0,0.0823719071534872,0,0,0,0.229969839394424,0.142059470322369,0.0606487767869363,0.0637294685926409,0.0793778668259732,0,0.125178665409973,0,0,0,0,0,0
XEM,0,0.0840369322144128,0.0941514240848628,0.120591476830543,0,0,0,0.367254089303234,0,0.117967498164692,0.0463950942309776,0,0,0,0,0,0,0,0,0
ETC,0,0,0.355271316321512,0,0,0.265438364196036,0.0947137391243024,0.0897373773371019,0,0,0.104188044790585,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0.0593573426545787,0,0,0,-0.0248371600070568,-0.0707919256070033,0,0.000000000000000000433680868994202,0,0,0,0,0.0951073442758918,-0.0386662369909671,0,0,0,0,0,-0.113148634639285
CVIX.INDEX,0,-0.0191023137227159,-0.00000000000000000693889390390723,0.091164670348803,0.0162697370974518,0,-0.0794880898714735,-0.0428536561797398,0.0591167246417074,0,0.106046463309156,0,-0.273000770044754,0.0412146666257872,0.0302227495658486,0.267418990242875,0,0.697743628415496,0,0.0719243847385569
DXY.INDEX,0,-0.0143406895738401,0,0,-0.0035311402237252,0,0.00502883876224772,0,0.00000000000000000010842021724855,0.00817099357678136,0,0,-0.00123607647729771,0,0.0104748571181108,0,0.0612493273938257,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0129054095439615,0,-0.0047837422205886,0,0,0,0,0,0.00598486853911537,0,0,0,0,-0.120493768069982
VIX.INDEX,0.330500604289899,0,0,-0.00453200086005242,0,0,0,-0.0287935353740506,0,0,0.209441313096624,-0.0591692337099972,0,-0.0710734476678844,0,0,0,0,-1.06448446160966,0
