,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0723612962732676,0,0.00191919668221919,0,0.0469910709458134,0,0.0777486047714569,0.099368291791123,0.113731637826125,0,0.087274704025578,0,0,0.0462683759367887,0,0,0,0,0
ETH,0,0,0,0,0.511587162677097,0.0563776759911785,0,0,0.0270775187840443,0.152666746987592,0,0.0780212952994648,0,0,0.110903389174486,0,0,0,0,0
XRP,0,0.148515808665782,0,0,0.182205811702539,-0.00000000000000000346944695195361,0.0840950156997337,0.134782093488518,0.00852419126628191,0.113539237364827,0,0,0.0371882191383966,0,0,0,0,0,0,0
INNBCL,0,15.902824898974,0,0,0,0,0,-1.65376543936381,0,0,-0.451616703135005,-0.000000000000000111022302462516,0,0,-18.386686348298,0,0.073077007247109,0,3.26013819233692,-0.883063943525553
BCH,0,0.402854863239733,0,-0.00764329447116844,0,0.181844175519179,0,0.162475018845125,0.115541377888051,0,0,0.0231942089049307,0,0,0.0144742869290959,0,0,0,0,0
BSV,0,0,0,0,0.513157811334617,0,0,0.319554861357538,0.151523489657951,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0
LTC,0,0.248723354043003,0.107978121364394,0.00411579382784236,0.139724212118722,0,0,0.216940576408296,0,0.00554994808734137,0,0.0149545208962854,0,0,0.128391941908533,0,0.0228171618457446,0,0,0
EOS,0,0,0,0,0.511706389610891,0.144886458705474,0.187449561391456,0,0,0,0.00719757293389349,0,0,0,0.0533293422624129,0,0,0,0,0
BNB,0,0.197007044086034,0,-0.001784802701146,0.452878637417372,0,0,0,0,0.157310353036921,0,0.0560237287642935,0,0,0,0,0,0,0,0
XTZ,0,0.220942215783754,0,-0.0022617455255285,0,0.25317196523121,0,0,0,0,0,0.484229893822536,0,0,0,0,0,0,0,0
TAGZ5,0,0,0,-0.00238299287887426,0.360573119975207,0,0,0,0,0,0,0.0466013434082547,0.52258034742979,0,-0.0579777143760789,0,0,0,0,0.119427123399795
LINK,0.0705034248163529,0,0,0.000242102584285768,0.0869685881581832,0.159114620751652,0,0,0.0916208068899265,0.594632986841307,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,-0.000603600698055729,0.295366587763518,0,0,0.200782529080629,0.0432197833907953,0.113813817154693,0,0,0,0,0.0505916139732759,0,0,0,0,0
LEO,0,0,0,-0.00130814111109358,-0.179691227228347,0.145894694893569,-0.087231327715009,0,0.179714726091368,0.107751159650739,-0.0164633349350237,-0.0205462198532698,0,0,-0.166322792575158,-0.0240032859924653,-0.0152658988928768,0,0,-0.0460684524596598
XMR,0.0509743017853858,0.181622225707564,0,-0.00063583529830485,0.052873959805109,0,0,0.303790485693378,0.143976833051149,0.118908165481052,0,0.0198476399025575,0,0,0,0,0,0,0,0
BV010082.INDEX,0,1.04593717322342,0,-0.0220024822832036,0,0.201185156199054,0.220739286065139,-1.08454222435483,-0.225525393467924,-0.890338469288171,0.36925388314065,0.254645082244487,0.152104537158052,0,0,0,0.0530019105817078,0,0.341702906252622,-0.0923205095842524
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.176133186549925,-0.468953890179942,0,0,0,-0.0399892689440032,0.236296396183886,0,0,-0.22428747799153,0.366889808151639
DXY.INDEX,0,0.03537350366473,-0.113996780054934,0.000268452158824919,0,0,0,0,0.0326302288913605,0.0335890257440273,0.028802401174405,-0.0244299037955541,0,0,0,0.00752719479814813,-0.0110389094508661,0,-0.0699545315799168,-0.0285526157268913
SPX.INDEX,0,0,0,0.0061134393986288,0,-0.116543080086718,0,0,0,0,0,0.097485436296163,0,0,-0.000699018817595674,0.282231786859733,0,0,0,-0.233333396307277
VIX.INDEX,0,0,-0.357212161881134,0.0250693659841331,0,0,0,0,0,0,0.35306223242453,0,0,0,0,0,0.0378992567574161,0,-1.93398894451758,0
