,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,XLM,EOS,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.432374590243955,-0.0958804924153985,0,-0.192301987693002,0,0.13550427938554,-0.00786411716525793,-0.0319859197458309,0,0.00699315088940864,0.00683098499687388,0.161097630763158,0,0.0889992042632887,0,0,0,0,-0.271567137134693
ETH,-0.184590928604641,0,-0.0515379354205813,0.0101573702217051,0.202563720756709,-0.0146118265879056,-0.044769128056877,0,0.0118876988000982,0.159149129709692,0.056281761184136,0,0.0563151738689445,0.0927974844843116,0.0583492509704646,0,0,0,0,0
BCH,0,0,0,0.136905501364148,0,-0.025759899656317,0,0,0,0,0.104091899212255,0.0675782452530915,0,0.176282997528123,0,0,0,0,0,0
XRP,0,0.221311933552915,0,0,0.0418558932098781,0.040194253203157,0,0,0.13488086318682,0.12347363105748,-0.0187352403562544,-0.0416612782300465,0.169930285687633,0,0.154904943902989,0,0,0,0,0
LTC,0,0.124883126569739,-0.123461828277888,-0.0688206948592452,0,0,0.0165680868375366,0,0,0,0,0,-0.00342283999996395,0,0.25979743073246,0,0,0,0,0
ADA,-0.214206611800876,0,-0.241316562426524,0.470388774191059,0,0,0.125770391475102,0,0.0731417822829552,0,0,0,-0.316474839924204,0.290668974916306,0.299706077982356,0,0,0,0,0.185150276936828
MIOTA,0,0,0,-0.163715455650248,0.138121459017768,-0.108060144066681,0,0,0.10057056044443,0.297021973459353,-0.164993808736718,0.116565447078912,-0.057167212993946,0,0.297884349650003,0,0,0,0,0
DASH,-0.157707042252589,0,0.034354920128528,0,0.108639214482161,0.00487747652682456,0.0103684457918722,0,0.0271454923504945,0.0903191371454872,0,-0.0106544758683444,-0.0727840002011262,0.107799150445647,0,0,0,0,0,0
XEM,-0.122488938361331,0.128861062678778,0,0.0609010356065059,0,0.0994597469408244,0,0.13510899715874,0,0,0.00000000000000000173472347597681,0.200708424968713,0.0433295250780508,0.12000118560216,0.0407375002653474,0,0,0,0,0
XMR,0.0886607563438999,0.0228060140156605,-0.0943221846770948,0.0621190122385899,0,0.105718122157169,0.10770426777377,0,-0.023204548988261,0,0,0,-0.0297290355781573,0.215253472066628,0.201637140636033,0,0,0,0,0
BTG,0.235326765914589,0,0.793945269473741,0,0.447900897178086,0.0940752547199045,0,-0.336731272712116,0,0,0,0,-0.648235973687661,0,0,0,0,0,0,-0.309907929236484
XLM,0,0,0,0.0719636329101819,0,0.224941497434853,0.37624030228665,0,0,0.373643888795157,-0.0889625620309034,0,0.293507905189437,0,0.100678512868587,0,0,0,0,-0.245721778452557
EOS,0,0.387230952514767,-0.0140221445081017,0.221975522936493,0.0538013414555217,-0.0154855785414133,-0.108291322947802,0,0.0903833871864449,0,-0.0615403068700513,0.0627462019765362,0,0.000000000000000000433680868994202,0,0,0,0,0,0
NEO,0,0.40789262688243,0.0480070080751973,0,0.160191764598515,0.00000000000000000346944695195361,-0.102330438272632,0,0.0278262242876422,0,-0.111179044476971,0.0526474763537384,0.0521099436157227,0,0.0808410148044279,0,0,0,0,0
ETC,0,0.177664819174353,0.124904041595878,0,0.137678180134389,0.201355279152188,0.0659313682028361,-0.347535763796334,0.0488590134617359,0,0.0043869500786813,0,0.0329533916490187,0.0330221294902798,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0425640583274664,0,0,0,0,0,0,0.00692850159120999,0.0339440013113452,0,0,0,0,0,0
CVIX.INDEX,0,0,-0.000000000000000000867361737988404,-0.000000000000000000216840434497101,-0.00747454271113715,0,0,0.0451668673298128,0.0327216939144511,0.00312387838965517,-0.000139112697704287,0.0201524991339771,-0.0192196612097074,0,0,0,0,0,0,0.110203647096398
DXY.INDEX,-0.013203780572719,0,-0.00330327687753217,-0.012747141102226,-0.0111627546026174,0.00418984231237901,0,-0.00650426756933113,0.00573615000809129,0,-0.00435139276406678,0.00142645005974093,0,0,0.00376650594696718,0,-0.0397051848444393,0,0,-0.0175350394641933
SPX.INDEX,-0.00934399464154213,0.00817033851886021,0,0,0,0.00251764492112435,0,0,0.00107038274066675,0,0.000871364967882646,0,0,0.00166421084969196,0,0,0,0,0,-0.0251373874705957
VIX.INDEX,0,0,-0.220499367283105,0.107670412990263,-0.0345568790376558,-0.0800878221015009,0.149561170898317,0,-0.0579893844347966,-0.0900209114134079,0,0,0.111251272669792,0,0.168798191213904,0,0,0,0,0
