,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0612852766064862,0.0236763884213834,0.0497323466336146,0,0,0.182411186445389,0.0699989844857829,0,0.0765442043363203,0,0.111661672229011,0,0,0,0,0,0
ETH,0,0,0.194065948808064,0.321161636627475,0,0,0,0,0.100297015008165,0,0.00781025283295081,0.0813214441022836,0,0.119095099236504,0.0704500194603572,0,0,0,0,0
XRP,0,0.301177712308864,0,0.112795000474747,0,0,0.0591297935815901,0,0.1179226313014,0.13966171786931,0.0519935084971912,0,0,0,0,0,0,0,0,0.0169641605106001
BCH,0,0.276686764495894,0.000735171631301143,0,0.261945486608532,0,0,0.296184380421341,-0.000000000000000000433680868994202,0.0163631560824684,0,0,0,0,0.00454087808696754,0,0,0,0,0
EOS,0.704121482431526,0,0,0,0,0.0429023712084488,0.201962667519619,0,-0.0322248152080109,0.210015426840671,0.0783118159937825,0,-0.090015477561226,0,0.36006321268287,0,0,0,0,0
XLM,0,0,0,0,0.162572445436567,0,0,0.4417024215534,0.0176658634987583,0.0578950934710286,0,0,0.272137318575115,-0.0442068942889674,0,0,0,0,0,-0.00597619365243524
LTC,0,0,0,0.415781373066254,0.0372465040446526,0,0,0,0.0770554024728649,0,0,0,0,0.0971033829743684,0.110904176195517,0,0,0,0,0
ADA,0,0,0,0.240173437547162,0.0468462395172127,0.241710246207083,0,0,0,0.00140908090227486,0.086276987779696,0,0,0.0206262722272755,0.186946084194333,0,0,0,0,0
MIOTA,0,0,0,-0.239258715007854,0.161510170869302,0.207378404693412,0.44937151272103,0,0,0.0474103234666685,0.477851546696488,0,0,0.0539262390885371,0,-0.120339155226411,0.411201900381704,0,0,0.0943356023215081
TRX,0,0.337656654462813,0.18664183139728,0.103627560069326,0.189565966919291,0.163094305143744,0,0,0,0,0,0,0,0.0501575395465694,0,0,0,0,0,-0.0348940737555086
NEO,0,0,0,0,0.0689013665015904,0,0,0,0.512154183934107,0,0,0,0,0,0.333413700373934,0,0,0,0,0.0718612886062712
XMR,0.288664201240609,0.175415734494434,0,0,0,0,0,0.15882957188478,0,0,0.184551538584859,0,0,0.0189798485701771,0.171622173672343,0,0,0,0,0
DASH,0,0,0,0,0.0545987433851057,0.152841628054266,0,0,0.00820481137927167,0,0.11642624562903,0,0,0,0.192674347337672,0,0,0,0,-0.0102039297032691
ETC,0.438982996650249,0.0803212995227726,0,0,0.24872256626853,0,0,0,0.185413667602449,0,0,0,0,0,0.0835723022723388,-0.0814261100614491,0.427991844251581,0,0,-0.0517510909344332
XEM,0,0,0,0,0,0.270886923593949,0,0,0,0.229823557123418,0.258154132733423,0,0,0.0704580860098898,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00432874716680832,0,-0.125861606412392,0,0,0,0,0,0,0.144237240982867,0,0,0,0,0,0,0,-0.12177551237076
CVIX.INDEX,0,0,0,0,0,0.409873446283973,0,-0.173747936792125,-0.00417607214370665,0,0.144588743286248,0.184449583632304,-0.592370208569378,0.0604763582754717,-0.0119829945581085,0.162641326097811,0,0.278333903929399,0,0.109165549058043
DXY.INDEX,0,-0.0427936737996168,0,0,0.0379686682741512,0.0728487931348551,0,-0.0566925676928085,-0.00812848984595697,0.0348771260175084,-0.00942921151058942,0.00243873928551609,-0.0208895728454088,0.0318189147797961,-0.0483901456255382,-0.0179601719270133,0.021995420030797,0,0,0.0141249858009684
SPX.INDEX,0,0,0,0.0105787216721129,0,0.00972566530996099,0,0.00395353475042101,-0.028529310393495,-0.000000000000000000433680868994202,0.00829059495290386,-0.00157153609626946,0,0,0,0,0,0,0,-0.0638528279304482
VIX.INDEX,0,0,0.26361122848732,0,-0.311645254590872,-0.0635578072901446,0,-0.0405756153859989,-0.234268437186801,0,0.242824734235874,-0.208111482251342,0,0,0.363935185496878,0,0.318239784991975,0,-5.23933142540294,0
