,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0527921755016756,0.0430274175445555,0.0274122059415586,0,0,0,0.0711117313792631,0.116735575277127,0,0,0.0122399004249101,0,0.13064967479232,0.0461357376537688,0,0,0,0,0
ETH,0,0,0.309210363557528,0.084679848792686,0.0172445577985825,0,0.0474616929926012,0,0.0964071571353038,0.0814222787457755,0,0,0,0.132116843596966,0.158856016899281,0,0,0,0,0
XRP,0,0.299053574706727,0,0,0,0.138384211990389,0.114682494257186,0.132511027261232,0,0,0.090250759915764,0.110920446017217,0,0.0123428199289408,0,0,0,0,0,0
BCH,0,0,0.14521732474686,0,0,0,0.181755128722154,0,0.190118864307814,0,0,0,0,0.187401046717252,0,0,0,0,0,0
EOS,0,-0.37756203958011,0,0.287351570292772,0,0,0.0469941602980858,0,0,0,0.580321233743152,0.277289017615283,-0.270801176339221,-0.130572092920565,0.403021127348187,0,0,0,0,0
LTC,0,0.012848812818131,0.228857860194727,0.0404219209658695,0,0,0.0826277968987887,0,0.0513102004353498,0,0.134077849091134,0.0980023690100516,0,0.0526110183251184,0,0,0,0,0,0
ADA,0,0,0,0.132645337295872,0,0,0,0.136098444165636,0.129746308298262,0,0.266035923453314,0.141003816394773,0,0,0,0,0,0,0,0
XLM,0,0,0.221833497464864,0.127810127158865,0.0660839148816585,0,0.204898253000033,0,0.0148713003137137,0,0.0248639800152193,0,0.0228369155432024,0,0.151530903569273,0,0,0,0,0
MIOTA,0,0,0.367722603255392,0,-0.0966186225143895,0,0.229688642781476,0.368255030838349,0,-0.0283852130052372,0.16690929570918,0,0,0,0,0,0,0,0,0.000000000000000000216840434497101
TRX,0,0,0,0.292212636605752,-0.0172570788281698,0,0,0.330521105596513,-0.104984800993153,0,0,0.289671537160816,0.0319664102051865,0,0,0,0,0,0,0.0368981223292472
NEO,0,0,0,0.0566456509179444,0.0545535684369349,0.144090257335352,0.0209541003172424,0.211817673365671,0.162771619875587,0.0748931651101228,0,0,0.173368421469759,0,0,0,0,0,0,0
XMR,0,0,0.265065493171436,0.00418869662543792,0,0,0.0943587865450033,0,0,0.101450972739018,-0.000000000000000000867361737988404,0,0.31015837245137,0,0.0597767483987027,0,0,0,0,0
DASH,0,0,0.173149544437192,0.119593899775333,0,0,0,0.167993742535928,0.138535883128935,0,0.0863121420935054,0.0361714969475111,0,0,0,0,0,0,0,-0.0220640191620163
XEM,0,0.342903078779294,0.0595399247324377,0,-0.00000000000000000346944695195361,0,0,0.324576587317096,0.000000000000000000867361737988404,0.0721177394074545,0.0560930714283255,0,0,0,0.0528387494161094,0,0,0,0,0
BNB,0,0.24696138186389,0.148039280015899,0,0.0694659606038092,0.117924218970838,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0,0,0,0,-0.0854256487637786
BV010082.INDEX,0,0,0,0,-0.0618893644315258,0,0,-0.0538862160116891,0.0895472408315437,0.00620677850917359,0,0.0286153509593894,0,0,-0.0249819645234495,0,0,0,0,-0.290600921897963
CVIX.INDEX,0,0,0.0774863649625934,0.07198731338682,0,0,-0.0876216071744672,-0.0759049928886827,0.0945679857262104,-0.0106057861753624,0.0947247119272027,0,-0.265437476640642,0.0421232213757246,0,0,0,0,0,0.013355092420995
DXY.INDEX,0,-0.00991556524348857,0.032739322324283,0.012223910385661,-0.00304478765778244,-0.00182781995397858,0.00356858757587857,-0.027991348966118,-0.00407012358328754,0.00749226913235889,0,0,0,0.00584952431201003,-0.00997588542142891,-0.0587911378633142,0.0605178184355273,0,0,-0.00979961569982166
SPX.INDEX,-0.0175481981700901,0,0.02133067237249,0,-0.00374953668392424,0,-0.0218235147594113,0,0,0.0120503276935627,0,0,0,0,0.00334474226305585,0,0,0,0,-0.106552764976746
VIX.INDEX,0,0,0.0326348287898454,0,-0.274502622676415,0,0.198955455614543,-0.208318580218613,0,0.113413685246844,0.184653384557092,0,0,0,-0.0885024683173647,-1.18416620625317,0,0,0,0
