,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,DOGE,XLM,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0173420166553268,0.141504903260418,0,0,0.0877311488717526,0,0.117818819873181,0,0.0135199174840783,0,-0.00567355496961184,0.0470736581926396,0.0579255939124442,0,0,0,0,0
ETH,0,0,0,0,0.187157739219695,0,0,0.0752424484838258,0.0104955454795725,0.0505994187055229,0.081645657500446,-0.00259330767397396,0,0.016867754278891,0.198503793592076,0,0,0,0,0
XRP,0,-0.208060914963731,0,-0.0967388757627781,-0.249953700821074,0,0.441068685007728,0,0.227092361892546,0.00576121776918798,0,0.260536785981549,-0.0110313144559099,-0.0522511180354825,0,0,0,0,0,0
LTC,0.48529352561233,-0.113592407813806,-0.17423871762807,0,0,0,0,0,0.0987117100578317,-0.0691011792439782,0.0976813060728794,0,0.154454129227756,0,0,0,0,0,0,0.0162222555075671
ETC,0,0.246313427187703,-0.0814746329671504,0.147976727930039,0,0,0.0566781312193732,0,0.150478350861945,0.0672796718611189,0,0.0236857362475476,0.042405573376561,-0.04870481620718,0,0,0,0,0,0
XEM,0.212301550099072,0,0.218820742708547,0.104329022470274,0,0,0,0,0.0373746885586602,0,0.181582800061391,0,0.0505049970939077,-0.0504223438869292,0,0,0,0,0,0
DASH,0,0.0685173296431398,0.0523606242177513,0.000000000000000000867361737988404,0,0.00684640540102113,0,0,0.394412897629831,0,0.0231739492815555,0.0618806394745016,0.0524987454380996,-0.00421670643641752,0.0664361303167912,0,0,0,0,0
MIOTA,0.0948269035131105,0.0838001374138523,0.0207782573952842,0,0.0020589896261672,0.0649251827150462,0.209659647283502,0,0,0,0.00954548581200648,0.0230809887790649,0,0.0573521994381501,0,0,0,0,0,0
XMR,0,0,-0.130718153404698,0.144418209866204,-0.191215165632206,0.21895719417461,0.62559052896391,0,0,0.0183105788838684,-0.0557808682263595,0.0923003019228358,-0.147610308880866,0.0152536235315201,0,0,0,0,0,0
ZEC,0,0.121956474226543,0,0.00122175627801293,0,0,0,0,0,0,0.21318314416203,0,0.0555768833398577,0.0105757294793608,0,0,0,0,0,0
DOGE,0,0.0484698606180225,0,0.0481147946696105,0.132213507771215,0.298853352120921,0.11655990915955,0,0,0.26817763762359,0,0.143874113783784,0.0357773747984516,0.0492130172582478,0,0,0,0,0,0
XLM,0,0,0.683028055387551,-0.293976836331654,0.271518277455137,0,0.279195378557667,0,0.38736585974163,-0.263238438591093,0.109704243219413,0,0.0609703154131127,0.0566545225530327,0.0680718090368948,0,0,0,0,0
NEO,0,0.23275804274777,0,0.436680571046325,0.197586469586711,0,0.264901547214751,0,0,0,0,-0.00117371439087693,0,0.0928340424028877,0,0,0,0,0,0
DGB,0,-0.296402962079315,0.00000000000000000693889390390723,0,0,-0.255847516148794,0,0,0.520995141811613,-0.182691232174784,0.431105024598946,0,0.14187788307024,0,0.331077190856516,0,0,0,0,0
BAT,0,0,0.147683108518605,-0.116355045304926,0,0.0386280570218087,0,0,0,0,0.135784413155542,0.0372731205610973,0,0.0422472808321982,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0256282931187507,0,0,0,-0.00774311600792249,0,0.0168319222548827,0,0.0188834513159061,0,0.0111401819207653,0,0,0,0,0,-0.0444538536793881
CVIX.INDEX,0,0,0.0497336961453088,-0.0490870148631234,0,-0.300427167615663,0,0,0.071575876155702,-0.00844830777526635,0.139929773602107,-0.0305783132190604,0.0530050500700925,0,0,0,0,0,0,0
DXY.INDEX,0,0.00152173104117181,0,-0.00599932310460925,0.0126822470961735,-0.0138469838987462,0,0,0,0.00480281601172178,-0.00637463655422147,0.00597326190245638,0,-0.00270932090243999,0,0,-0.00614645597146054,0,0,0.0137515999201763
SPX.INDEX,0,0,0,-0.000646243467539763,0.00314319909127676,-0.00207885460142339,0,-0.00305425770740263,0,0.00420157396705312,0,0.00330217509105588,-0.00140700390955171,0.000355970741049256,0.00189594594627825,0,0,0,0,-0.04136821072109
VIX.INDEX,0,0,0.0561310219331049,0,0.0533322019910206,0,0,0,-0.104763787615631,-0.0778795087195396,0,0.065755636920387,0.000000000000000000867361737988404,0,0.0993827122134759,0,0,0,0,0
