,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0438655924019021,0,0.357977238352389,0.149410002054601,0.0096417396162645,0.216793437352817,0,0,0.0407944287761723,0.0526116270681174,0.0273226969162089,0.0410163089690419,0,0,0,0,0
ETH,0,0,0.26637943457872,0.0358356753222693,0.27895090828793,0,0.0826706378950607,0.275041749220146,0,-0.0622632873855882,0.0409078533091602,0.155819952059528,0,0,0,0,0,-0.3540859980923
XRP,0.0305575064302091,0.0730711055714036,0,0,0,-0.124792856050793,0.246216763658189,0.0339975992269453,0,-0.0801065805925753,0.0678380646733177,0.0395417511336091,0.00415509855583918,0,0,0,0,0.0253579363493484
LTC,0.469734976065055,0.0208608538886793,0,0,0,0,0,0.156412413641223,0,0.114803393242184,0.0519047145459994,0.0583119779858423,0,0,0,0,0,0
XMR,0.405930413252496,0.202540376026162,-0.223190342644363,0.234167909035916,0,0,0,0,0,0.08647489530381,-0.0615156092322099,0.0149337084326785,-0.137436104592371,0,0,0,0,0
ETC,0.0776176329814569,0.233630315425334,0,0,0.109071546526352,0,0,0.420825661978436,0,0.0609255492807825,-0.0294381149416608,0.169145182263709,0.233332595708808,0,0,0,0,0
DASH,0.517961234207383,0,0,0,0.178189103976243,0.319890695613321,0,0.122609746848874,0,0,0.110485791169736,-0.0109259798093101,-0.0829658161951348,0,0,0,0,0.04071007027691
XEM,-0.283129142092073,0.0937986489482331,0.0285521217974608,0.297888010231157,-0.0789561821061569,0.119930354811062,0.33624774056954,0,-0.138898422206155,0.0027085309175288,-0.0203980175586707,0,0,0,0,0,0,0
DOGE,0.419724982766547,-0.00905124194613341,0,0,-0.0503671657840591,0,0.00000000000000000346944695195361,0,0,0,0,0.10709547707716,0.0219077031836777,0,0,0,0,-0.057903796283656
ZEC,0.317618778457157,0.153503257086142,0,0.235692397139255,0,0.0497826493413567,0.389138677920202,0,0,0,0.0274459933560348,0.225920065406061,0.26009005307915,0,0,0,0,0
XLM,0,0.151276579113009,0,0,0.0371061913030828,0,0.0860900011881596,0.0800043558126988,0,0.133816820701883,0,0.0878410066966466,0.141671188700585,-0.42164279102038,0,0,0,0
NEO,0.488007254628221,0.116749186173344,0.589273669689139,-0.37289421696296,0.125569821914147,0,-0.1904388495212,0,0,-0.0354926988561592,-0.0313963120072095,0,0.0900097713870116,0,0.00242147761563239,0,0,-0.161527622982954
DGB,0.866402806033841,-0.00000000000000000693889390390723,-0.308558744106797,-0.429999949545127,-0.00340457821634263,0.115383341561116,0,0,0,-0.0803400976962098,0,0.15164340793644,0,0,0,0,0,0
BV010082.INDEX,0,-0.0931074497759986,0,0,0.0375555896494981,0.000000000000000000216840434497101,0.0634972819485671,-0.119072769682023,0.0849156179830758,0,0,-0.00198166201267738,0,0,-0.057005677285826,0,0,-0.0412583656847681
CVIX.INDEX,0,0.105921595649096,0,0.0676208037182248,0.0585999474479526,0.0644388166012227,0,-0.0596188719955908,0,-0.0558311844434324,-0.0513753512342485,0.0057910873991731,-0.0258201766030524,0,0,0,0,0.0652823259185969
DXY.INDEX,-0.0000000000000000000271050543121376,0,0,0.0138728391351457,0.00451497261544463,-0.00195012443374708,0.00796567415141918,0,0.0304565249638191,0.00100073333375003,-0.0114514960477121,-0.00195943999617955,-0.010181058026675,0.0787490118767164,0,0,0,-0.0148715332096173
SPX.INDEX,0,0,-0.0031776957656588,0,0.0110040721343357,-0.0108304148528795,0.00920819982929344,0,0,-0.00323368745894016,-0.00900398857333088,0.0135423335013619,0.0116036845824186,0,0,0,0,-0.0537736666544072
VIX.INDEX,0,-0.502170983163255,0.324500448730833,0.0911695189869894,0.147697985420452,0,0,-0.0866581120434124,0,-0.0145337755000939,-0.068628041608205,0.0969688137785247,0.00464081900034361,0,0.217857329841437,0,0,0
