,BTC,ETH,XRP,LTC,DASH,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.194493783093968,0,-0.0247259543090311,0.0258673370534798,0.098160788110905,0.21647015435516,0.198038283686302,-0.151260000074131,0,0.143139341525583,0.108800605945284,-0.327635392823005,0,0,0,0,0
ETH,0,0,0,-0.0544079103621467,0.0261118647208841,0,0.793695424394995,0.179928199337036,0,0,0.146028264745081,0,0,0,0,0,0,0
XRP,0,0.0768136824715419,0,-0.0833698655675132,-0.220934345769037,-0.0602919296867848,0,0,0.000000000000000000867361737988404,0,0.969343031616305,-0.393452286694635,0,0,0,0,0,0
LTC,-0.197082376654086,0.0770639970835936,-0.0246176939605024,0,0.0810270472057001,-0.0939327739678639,0.0681642242609678,0.196836151057106,0,0.380640498724763,0.148643894804309,0,0,0.377581410942538,0,0,0,0
DASH,-0.276465023601181,0.0503317753894303,0,0.0712860932763754,0,0.10142906890405,0,0,0.151864269538278,-0.163483840510145,-0.104935667527952,0.0718687357027052,-0.026174916874869,0.0773504180578987,0.664800770231302,0,0,-0.139227282891607
XEM,0,0.198449010647615,-0.00742288842921651,0,0.0950378965895334,0,0.364615037247275,-0.458091800088291,0.0718684738723307,-0.138998280788163,0,0.319839899747231,0.215350163167281,0,0,0,0,-0.462944084778971
XMR,0.0128057915667466,0.299520687475475,0.0374216017137837,-0.00576755987076036,0,0.328749202274476,0,0,0.206491302145141,0,0,0,-0.159176526363144,0,0,0,0,0
ETC,0,0.286240138373908,-0.018818310027221,0.153258031888352,0.134876864740368,0.0371809998568826,0,0,0.0154403169793072,0.0463381467207372,0,0.0817282176422657,0,-0.475108976580318,0,0,0,0
ZEC,0,0.061368719100111,0.0111802624855693,-0.0898421470115739,0.254707529922029,-0.0167841361163633,0,0,0,0.224831397260276,0,-0.131712460164132,-0.0261612565543056,0,0,0,0,0
DOGE,0,0.0398755108185739,0.0142117767142589,0.217360347108013,0.0897056273556718,-0.124734626834874,0,0,0.145244155185688,0,0.274468004884868,0.0824747841367246,0.111569332702751,0,0,0,0,0.156207633339237
XLM,0.318408903645146,0,0.30383653900753,0.170986135812186,0,0,0,0.0412195914816499,0.0127268491548047,0.402370431904061,0,0,0.0473760664500458,0,0,0,0,-0.215336307511364
DGB,0.12007719623269,0.146098943109615,-0.0534934571789995,-0.097545002443405,0,0.202040559368445,-0.259278216030859,0,0,0,0,0,0.00437256215234406,0,0.230820383882074,0,0,-0.620583346223636
NEO,-0.049833568890223,-0.125636320827847,-0.135531441102359,-0.0238730771278862,0,0.0689200374994003,-0.291153289591362,0,0.193704450227717,0.27531610414723,0.151019066280145,-0.0331118214163955,0,-0.742552989195252,-0.212818022214849,0,0,0.0657444274920762
BV010082.INDEX,0.0759551863837758,0,0.0036738004298097,0.000000000000000000433680868994202,0.00881487753289596,0,0,-0.130327875183237,-0.00852670795613061,-0.00000000000000000010842021724855,0,0.0229064212878329,-0.0432144406564634,0,0,0,0,-0.0704767370218664
CVIX.INDEX,0.161624871597967,-0.0200077034982539,-0.00573526267535698,0.0506476330593747,-0.0127517449816234,0,0,0,0.114467648889997,0.0656602956950893,0,0.0116583189734897,-0.120168298628492,0,0,0,0,0.209736757712342
DXY.INDEX,0.0110610460814541,0,0.000906205193517768,0.00635860588925863,-0.00399776857328606,-0.00247582014462414,0,-0.000690806963436309,0,0,0,0,-0.0184529321643358,0.0826046106754466,0.00495734389085797,0,0,0.00768014289184178
SPX.INDEX,0.011336281571856,0,0.000625094774249349,0.00671544454700304,-0.00164035220867881,0,0.00532559011598551,-0.00340363967668248,-0.00257006542432659,0,0,0,0,0,0,0,0,-0.0215456935241019
VIX.INDEX,0,0.0750475150724425,0,-0.0370511210302713,-0.00715718975205061,-0.135505416374726,0,-0.339140454466409,0,0.028468343970623,0,0,0.0376204242572338,-0.236159776340599,0.449640186693657,0,0,0
