,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0500188846371239,0.706019736605401,0,0.0183671581115963,0.0649086864052553,0.0733577323111715,-0.0190528059158584,0.0273240557778938,0,0,0,0,-0.0399206255419591
XRP,0.474291995778315,0,0.257930913516572,0.170189619980899,0,0,-0.163741474041971,-0.128853591160362,0.0553735961539765,0,0,0,0,-0.0422724111365587
LTC,0.648645517664538,0.0918278230965614,0,0,0,0.0629465243805159,0.0264185081833837,0.0255954968112127,0.0151767198544091,0,0,0,0,0.0701368388923143
DASH,0,0.0756204462049503,0.326927890163578,0,0,0.240844828959515,0,0,0,0,0,0,0,0
XLM,0.449809160074655,0,0,-0.101030677784314,0,0,-0.340950142772421,0,0,0,0,0,0,-0.234396260558278
DOGE,0,0,0.754019617316528,0,0.0671314173103377,0,0.0495407709615446,0.0318003220872031,0,0,0,0,0,-0.0458334155948267
XMR,-0.0000000000000000555111512312578,0,1.29855489437454,-0.230429633720574,0,0.215398017013801,0,-0.0247574480294093,0.155939920604764,0,0,0,0,-0.535780134910298
XEM,-1.4384742714616,-1.08037885131369,2.90865447326529,0.0647559466427937,0.676348592578429,0.815591185244433,-0.640647843445134,0,0,0.843934780884349,-0.559329228868121,0,0,-0.740577435433596
DGB,0.991445221960174,0,0,0.20434493494727,-0.0878436982993697,0.0822257228679275,0.0403421436487844,-0.0275413750017917,0,2.26548345496456,0.0831156963620985,0,0,0
BV010082.INDEX,-0.00000000000000000173472347597681,0,0,0.0399437825042254,0.0669898936005435,-0.0419147988234797,0.00111434842732851,-0.0279063740439759,0.0428953921305423,0,0.0396567195740377,0.683116995533075,0,0.0519931875934367
CVIX.INDEX,0.544496343654391,-0.250365737758498,0,-0.00396761338378916,-0.186094912943346,-0.220130480724075,-0.0938689888255895,0.0729180779401932,-0.016635893205892,0.0179506939146408,0,0.532875546745652,3.30543329187056,0.28345392094183
DXY.INDEX,0.0222194101116463,-0.0415827157576455,0,-0.00864875414341455,0.015948156755309,0.0300289681019423,-0.0151259586839762,-0.034763737884975,0,0.309211080525065,0.0711561035417446,0,0,-0.0296719138138176
SPX.INDEX,0,0.00589344933800752,0,-0.00698488345637408,0.0144751378697111,0,-0.00370793453271302,-0.00317603844090078,0,0,0,0,0,-0.0976757030050732
VIX.INDEX,0,-0.0221478827568216,0,0,0.104408646202723,0,-0.254959567573485,0,-0.0190947402806095,0,0.0278717367941765,0,-4.52584767378652,0
