,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.621725620908523,-0.00961225366137631,0.0981201368031212,0,0.143160250472541,0.0118014478268219,0.0282625401818795,0,0,0,0,0
XRP,0.00841101452361441,0,-0.0409319726782309,0,0.0544493305273262,0,0.65430335254978,-0.385814154083954,0.0524410572606894,-0.125942436380751,0,0,0,0,0.0590268463936635
ETH,0,-0.0430144280674158,0,0,-0.145657473775709,0,0,0,0,0.0430403375996888,0,0,0,0,0.150634521901176
LTC,0.705688126230598,0,0.0290745154024575,0,0.0649720427437772,0,0,0.000000000000000000867361737988404,0.0240969043483067,-0.0310160611437241,0,0,0,0,-0.0308067813234138
DOGE,0,0,0.138257151313419,0.796065596435581,0,0.0801392437302071,0.421538364377934,0.199837139298246,0,-0.226325517121543,0,0.365381210175105,0,0,-0.0376758919718092
DASH,0.655842905445111,0.220464053729024,-0.4531654511671,0,0,0,-0.288469005933018,-0.392324267943928,-0.134080363531023,0.0257282758294043,0.495062544468275,0.239541211588373,0,0,-0.0487583482249174
XLM,0,-0.0339515448696775,0,-0.097811551726594,0.315461359626615,-0.188837134723317,0,-0.113007892106014,0.105147561188573,0.181730981920913,-0.430761566962138,0,0,0,-0.107158158175722
XMR,0.430077326412434,0,-0.186491875187512,0,0.0994938076593368,-0.0950456368252955,0,0,-0.0403795954861566,0,0,0,0,0,0
XEM,0,0,0,0.0537699309806786,0,-0.219960366622172,0.135099328727687,0,0,0.0780860349386757,1.33502530786024,-3.00029674905799,0,0,0.164573428715771
DGB,1.00076061021481,0,-0.148981697679901,-0.110283266722947,0,-0.17802906111941,0.246376646625269,-0.103968169154427,0.122864382309431,0,-1.78149675121275,0,0,0,0.221711740246053
BV010082.INDEX,0.0816572587354149,0,-0.00923390176313427,0,0.0344093874207702,0,0,-0.0377151253246328,0.00616889352206163,-0.0274653272719298,0,-0.226144725281327,0,0,-0.0501104965394539
CVIX.INDEX,0.0475047809374975,-0.0893494968276765,-0.00974075383485524,0,0.00942588989241436,-0.0350277296263308,0,0,-0.0353349805572689,-0.029010752289684,0,0,0,0,0.124577445329448
DXY.INDEX,-0.00163608534096114,0.00459126275078481,0.00486364067012757,-0.00940479088845439,0,0,-0.0416141973107695,0.0325772381857214,0.0019423429757519,0,0,0.0802462829332344,0,0,-0.0334848001434234
SPX.INDEX,0,0.0261768876602427,0,0,0,-0.0263754786557545,0.00394964175256692,0,0.000306459398232172,0,0.0713848957587479,0,0,0,-0.113631881723647
VIX.INDEX,0,0,0.0103662460245845,0,-0.0372893145207732,0,0,-0.193031682028342,-0.126918270127115,0.258101385661754,0,0.234614566497576,0,-3.90417504368245,0
