,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0462880694778676,0,0,0,0,0.127800174882177,0.129710489130215,0.0334065631147133,0,0,0,0.0578141370258404,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.266826661963996,0.110266972755205,0.0339395475216247,0.0162636252294083,-0.0174679386035643,0,0.0986639463345542,0,0.0202790565535021,0.193191766309496,0,0,0,0,0
XRP,-0.226911370417788,0,0,0.00133086595881603,0,-0.0141488477987794,0,0.21831306086195,0.293325869878769,0.188552360666237,0,0,0.345986339797673,0.0589095821888435,0,0,0,0,0,0.0619476557025567
BCH,0,0,-0.0192289079542529,0,0,0.210830803435761,0.231471954840005,0,0.107196515026981,0,0,0.164881252573566,0.116094209867824,0,0.115955910209474,0,0,0,0,0
ADA,0,0,0.130436934965055,0,0,0,0.122828894600913,0.171995960733115,0.0692741215780723,0.102907233876394,0.109526145830596,0,0,0.0375232732942395,0,0,0,0,0,0
LTC,0.177701829053481,0.113107022645434,0,-0.0422387951466086,-0.0328172402114482,0,0,0,0.0518921207033716,0.00000000000000000010842021724855,0.156052478314949,0,0,0.033225010617948,0.134739795042735,0,0,0,0,0
NEO,0,0.426135084414596,0,0,0.0591102189101323,0,0,0.113959198385485,0,0.0347728202627707,0,0,0.087637290526997,-0.00827599006160443,0.190075595970278,0,0,0,0,0
XLM,0,0,0.237006118921019,0.0182138887202634,0.222215860105876,0,0.21205220738729,0,0,0.017196749392935,0.108211351039644,0,0.0904546502606955,-0.0678604453509999,0,0,0,0,0,0
EOS,0,0,0,0.159074884132515,0,0.216163841275393,0,0.110911354628706,0,0.054533847387903,0,0,0,0.145652150280135,0.23632046560601,0,0,0,0,0
XEM,0,0,0.241263770309823,0.0798839906154078,0,0,0,0.200715945759619,0.071371308839644,0,0.212158926866203,0,0,0.0319733982991217,0,0,0,0,0,0
MIOTA,0,0,-0.0417908554955706,0,-0.0240190650219496,0.185260048202708,0,0,0,0.188803992249219,0,0,0,-0.0420218781968488,0.421035854644545,0,0,0,0,0
DASH,0,0,0.0442661645791597,0.131227631077996,0.0379535357380878,0.244978825382801,0,0,0.0306646023649262,-0.0345657301382739,0.095747735627577,0,0.126258389181073,0,0.185617505077181,0,0,0,0,0.0293096505326575
XMR,0.0925543704064163,0,0,0.159925849821523,0,0,0.144411360463857,0.00569274403713863,0,-0.0193047543941604,0,0.352174730157535,0,0.0142007557752488,0.121774598083836,0,0,0,0,0
TRX,0.914506556968176,0,0.200958673202311,0,-0.00000000000000000173472347597681,0,-0.159880564900801,0,0.172612833860626,0,0.00309637842744523,0,0,0,0,0,0,0,0,0
ETC,0,0,0.141498278734355,0.115308778849205,0,0,0.0697887383323184,0,0,-0.00000000000000000173472347597681,0.152352651500943,0.143781071075718,0.140331065358872,0.0342262785093213,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00825691032109078,0,-0.02680347367946,0.00956629546515869,0,0,0.00849707297484318,0,0.00950246402718173,0,0,0,0,0,0,0,0,-0.0397325533660821
CVIX.INDEX,0.0157624274157041,0,0,0,0.0403601700760634,0,0.0199029415451631,-0.00872714900625243,0,0.029864601970282,0,0,-0.0429851707245306,-0.00870292741431766,-0.0705575461210182,0,0,0,0,0.0218800386303954
DXY.INDEX,0,0.0226193416899057,0.000778301935983744,0.00690566082055985,-0.00466706313367851,0,0,-0.0000211003617795251,-0.00456993266090999,0,0,0.0073227652463519,0,0,-0.0294311562640616,0,0,0,0,-0.005928158205402
SPX.INDEX,-0.000737591637014622,0,0,0.000571206354836558,0.00157396417476177,-0.0030611407623477,0.00490687780083099,0,0.00352628577318471,0,0,0,0,0.00225924064030177,0,0,0,0,0,-0.0550336067100676
VIX.INDEX,0,0,0.0823037838738822,0.0984586256612966,0,-0.13730706829263,0.015296239984979,-0.174253392039758,0,-0.0307391743537469,0,0,0.136596405706725,-0.0888293236592556,0,-0.553238717837269,0,0,0,0
