,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.184788695173557,0,0.0369480854781797,-0.000000000000000000216840434497101,0.0834593865970475,0.136458138824617,0.0608938341353665,0.0217891928903271,0.000000000000000000216840434497101,0,0.069841885609209,0,0,0,0,0,0
ETH,0,0,0.131824448132756,0.244021745504914,0.139041111845596,0,0.0263662300464636,0,0,0,0.0967929178938676,0.149180914787443,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0973004491298484,0.09173524424369,0,0,0,0,0.221632809479443,0.130819788432541,0.047137304402836,0,0,0.027431505437389,0,0,0,0,0
BCH,0,0.331182618392044,0.0718026468351454,0,0.169171128686821,0.0512312155601221,0,0.157871457229674,0.0254174999788187,0.0230158122957757,0,0,0.0316982795748409,0.0803661520192055,0,0,0,0,0,0
LTC,0,0.355170814255217,0,0.215908208228216,0,0,0,0,0.00881210415752868,0,0,0,0.128383599956084,0,0.254381880860168,0,0,0,0,0
EOS,0.183308412151788,0,0,0,0.170609462648819,0,0,-0.0375403409019923,0,0,-0.000000000000000000433680868994202,0.115955766134665,0,0,0.260041209526288,0,0,0,0,-0.0787560914867649
ADA,0,0.504096656641977,0,0,0,0.149110050488745,0,0,0.142421121970469,0.153138855526689,0.139010538312183,0.0869080044408098,0,-0.0514055973729563,0.0203649532782572,0,0,0,0,-0.0327416735545481
XLM,0,0,0,0.152677736092681,-0.0921045453645044,0,0.107554370353706,0,0.270444688943824,0.106437280804311,0.240866401482565,0.00000000000000000346944695195361,0.188213215025859,0.0301934472140289,0,0,0,0,0,-0.0536834677736304
MIOTA,0.00843943822891737,0,0.407115166708368,0,0,0,0.000000000000000000867361737988404,0.0134388678419595,0,0.254849218539916,0.0256106002811576,0.0223931190141345,0.22040717085952,0.090994215058112,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.289299514176867,0.0813744874555973,0.131041968608186,0,0,0.0600363231506639,0,0.0122524539621102,0.176343441488168,0,0,0,0,0
XEM,0,0.39341582499451,-0.0358264603619743,-0.0472552158406897,0,-0.0887620600934384,0.256541754783298,0.16701624443384,-0.165212813991456,0.391907506581454,0,0,0,0.211568957545085,0,0,0,0,0,-0.0156628574950726
XMR,0.729760467749251,0.0120116636543838,0,0,0.0744935665344522,0,0,0,0.140785576374998,0.0979797219810517,-0.0418605544764018,0,0.125765082975876,0,0,0,0,0,0,0.0512492476530948
DASH,0.345434340487406,0.115381216921529,0,0.0585314118269685,0,0,0.101304622120043,0,0.0676844609585944,0.054290871026702,0.0350729616517965,0,0,0.0749972942310667,0,0,0,0,0,0.0576658630669367
TRX,0,0,0,0.208916494829492,0.00080062129554985,-0.0242313094401492,0,-0.162754056141795,0.36050186435854,0,0,0,0.268034079799132,0,0.174154398284085,0,0,0,0,0
ETC,0,0,0,0,0,0.23186303650457,0,0.0759874270705656,0.281229214232911,0,0.127857358269977,0,0,0.0912933025475253,0,0,0,0,0,-0.0378903839463753
BV010082.INDEX,0,-0.0645195740221615,0.0361844517680505,0,0,0.00555972732490092,0,0.0211651360626063,-0.0101467059260066,0,0,-0.0062951963523969,0.12728142153619,-0.035255531322784,0,0,0,0,0,-0.0681247123195036
CVIX.INDEX,0,0,0,0,0,-0.0437096926709662,0,0,0,-0.0877565408369586,-0.130764974172694,-0.0171119662856606,0.197624796459208,0.00644574258760242,-0.0050925400859132,0,0,0,0,0.00223057021854451
DXY.INDEX,0,0.0159974894154908,0.00925601622299462,-0.0123780719415202,-0.00465902018492498,-0.00275331478843515,0.00325133424872639,-0.0061623350138268,0,0,0,-0.0211797290226066,0.0201476087517373,-0.0125384254748284,0.00846617671480339,0,0,0,0,0.00666706868717794
SPX.INDEX,0,0,0,0,0.00020935203387887,0.0361706013843667,-0.0416290310356401,0,0,0,-0.0083152363713893,0,0,-0.0314022235113268,0.0211387882609054,0,0,0,0,-0.0832877842300597
VIX.INDEX,0,0,0,0,0,0,0,-0.0660796803906577,-0.167806356744845,0,0,-0.0413531052137535,0.0886409527212477,0.172805458551353,0,-0.303956160641431,0,0,-3.96085320868818,0
