,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.191420963776592,0.0308822486600302,0.428389742194612,0,0.123446344312052,0.0166776163624368,0,0,0,0,-0.00895340378035704
XRP,0.207269269924945,0,0,0.112306823769834,0,0.221339064961641,-0.107770072672396,0,0,0,0,0,-0.0118108149262662
LTC,0.0329839403098847,0,0,-0.0321201396941557,0.393605551756266,0.208814339969581,0.146013408953521,0.0651831525025457,0,0.303637328148375,0,0,-0.169170394471023
DASH,0.141041780041136,-0.0655517794894741,0,0,0.763950499033403,0.30483575359697,-0.378030659057841,0.0271914524565939,1.26617063721507,0.0690438644297111,0,0,0
DOGE,0.34047428146615,0.117977705985409,0.0885593223856296,0.0248978009474664,0,0.0298991874115568,0,0.0155855940582799,0.46218717042556,-0.102171782185934,0,0,-0.0504863295337858
XLM,0.524902393169195,0.651940634567126,0.0553087003938126,0.11155163672549,0,0,-0.104775083363355,-0.0786882044077776,0,-0.24005241133562,1.81833677665064,0,0
XMR,0.689837580742604,0,0.249040469310612,-0.0627198940242274,0,0.171786689043828,0,0,0,0,0,0,-0.24827190266663
DGB,0,0.514648340629715,1.04868680519425,-0.341213835853671,0.170117852436952,0.245980184323869,0.163552036374686,0,0,0.794875633499865,-8.87124357525137,0,0.0606111624362298
BV010082.INDEX,0.0793934560783202,0,0,0,0,-0.0665349652813353,-0.0448092660718796,-0.00633899533691994,0,0,0,0,0
CVIX.INDEX,0.336713247421097,0.143339533408278,0.0493250936343022,0.031730365432753,-0.678584862275652,-0.131843574907572,0,0.060453647616126,0,0,0.337940182848624,0,0.0939810470883336
DXY.INDEX,0,0,0.019647870364027,-0.0240570634399841,0.0670588738787942,0,0.00612177735610729,0.00304630682431576,0,0.0329802493633997,0,0,0.032766662952381
SPX.INDEX,0.0240923872441628,0,0.00230157733703183,0.0169594030027467,-0.0417005788689789,-0.0203128624170183,0,0.00499191603195982,-0.0215680562360211,-0.0329311398014601,0,0,-0.104807857843551
VIX.INDEX,0,0,0,0.0555016733406874,0.156938974337977,-0.11701828173533,-0.161306255932612,0,0,0,0,-5.27862087433758,0
