,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0784733081960988,0.347824037790219,0,0,0,0.0637565973391776,0.0313917286835487,0.112334980991553,0.109095891321472,0,0,0,0,0,0
XRP,0,0,0.212674521346258,0.0227679665484557,0.0759599119187399,0.157560902140952,0,0,-0.0132482366357286,0,0.0737176730009914,0,0,0.0411320213584898,0.135187118685223,0,0,0,0,0
ETH,0,0,0,0.234347626567879,0.386369395288258,0,0,0,0,0,0,0.0580628355504385,0.0175314164352019,0.0564779450487538,0,0,0,0,0,0
BCH,0,-0.24152355333821,0,0,0.310784126999692,0,0.263748213703577,0,0.130901740442968,0,0,0.0468495172822014,0,0.370215884309551,0.221541034213974,0,0,0,0,0.0170368889661649
EOS,0,0,0,0,0,0,0,0,0,0.624776863818773,0.176876154079504,0,0,0.168485579182782,-0.0523347967121802,0,0,0,0,0
LTC,0,0,0,0,0.309204707233006,0,0,0,0.041235469403461,0,0,0.0752671880357122,0.256572415188082,0.00452724067167118,0,0,0,0,0,-0.0159954035614763
XLM,0,0,0,0.150160828857063,0.0618615449273152,0,0,0,-0.0341254942702596,0,0.0905815860983327,0.0327552583278948,0.337987178249863,0,0,0,0,0,0,0
TRX,0,0,0,0.0460330973988607,0,0,0,0,0.0157263105470813,0.487826618452625,0.160212895278847,0,0,0,0.0492486304523271,0,0,0,0,0
BSV,0,0,0.00215017283554875,0.394666032407015,0,0,0.404342209809611,0.147728860067753,0,0,0.131472528093922,0,0,0,-0.379673987693331,0.553039540815611,0.174506381206364,0,0,0
ADA,0,0,0.0627782700576827,0.0747211864082719,0.313741333618399,0,0,0.163181191218922,-0.0164670868635691,0,0,0.129673018822825,0.171095345327377,0,0,0,0,0,0,0
BNB,0,0,0,0.159939252956039,0.401264270819841,0,0.0812515232140931,0,-0.19099313347253,0.19192157572069,0,-0.0503472363025481,0,0.0152079566317808,0,0,0,0,0,0
MIOTA,0,0,0,0.0515900746496759,0.319884053838125,0,0.154802048467436,0,0.0831210541393773,0,0,0,0.200815650388117,0,0.123175473180285,0,0,0,0,0
XMR,0,0,0.195080230972576,0.042295932357211,0.0372176475576939,0.0802892997598299,0.319351997911603,0,0,0.130226386505958,0,0,0,0.0451991051999484,0,0,0,0,0,-0.0444946974980965
DASH,0,0,0,0,0.133266018966942,-0.00000000000000000346944695195361,0.501008915458126,-0.0136642610245999,-0.0249908545409374,0,0,0,0.364665745067975,0,0,0,0,0,0,-0.010799713385367
XEM,0,0.385448995206098,0,0.061709638022163,-0.0272911097987867,0,0.269149259304887,0.0770493437102275,0.0634979770421373,0,0,0.00000000000000000346944695195361,0.124447933042756,0,0,0,0,0,0,-0.0854485601971464
BV010082.INDEX,0,0,-0.214955622120017,-0.0505511152532001,0.0310416058342015,0.0606416287739084,0,0,0.0234804873547224,0,0,0,0.0246493878444498,0,0.188974242045527,0,0,0,0,-0.0541268796686447
CVIX.INDEX,0,0.0634018426165464,0.275083232638634,0.0602824790387331,-0.415562914270179,0,0.290204960578337,-0.227396691596515,0.0194671493325324,0.153255073073016,-0.0663482341017468,0.0671149553391817,-0.399123400183313,0.0990485523504816,-0.00000000000000000346944695195361,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00463340637716353,0,0,0,-0.0403732394501011,0.00363602361066618,0.0121261889417548,-0.00473918198057393,-0.00152941899813334,0.00992368015513005,0.00395914004204366,0.0247130087833254,0.0446419478639981,0,0,0,0.00497229800623854
SPX.INDEX,0,0,0,0,-0.0144749478502699,0,0,0,0.00917740742871118,0,0,0,0,-0.03952908759482,0.0316962995956215,0.0930209644984839,-0.0654634204219218,0,0,-0.13480034486907
VIX.INDEX,0,0,-0.178898619390151,0,0.110020836186265,-0.210399364044229,0,0.457224942348415,0.0545243792312622,0,0,0,-0.239828627153852,0,0,0,0,0,-3.72075332177402,0
