,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0606610752975832,0.0957082849430224,0,0.00358686884309642,0.359998552741717,-0.160703306945684,0.112770230307384,0,0,0.228676168800459,0,0,-0.122979889019873,0,0,0,0,0.00000000000000000173472347597681
ETH,0,0,0,0,0.196321113634127,0,0.0679900434064908,0.393818046876074,0.013376683447705,0,0.0481817018723155,0,0,0.228226173711136,0,0,0,0,0,0
XRP,0,0,0,0.0608948327419547,0.117194113460445,0,0.180057028215767,0.194891548368506,0,0.208271649311915,-0.0236231890005138,0,0,0.13503720790557,0,0,0,0,0,0
BCH,0,0.167530937726743,0.0665331259785264,0,0.236192397416755,0,0.135471803489382,0.229307080594391,0,-0.0000000000000000277555756156289,0,0,0,0,0,0,0,0,0,0.0430577842114521
EOS,0,0.137103289744335,0,0,0,0.0298332320256542,0,0.311030678758231,0.0858881547663679,0.125874450278955,0.0883097735012443,0.168395274136432,0.0888088327106412,0,0,0,0,0,0,0
XLM,0,0,0.0951584493066657,0,0.129933394261592,0,0,0,0.190631296617984,0.192411388088059,0,0,0.0927182236229358,0,0,0,0,0,0,0
LTC,0,0.319400922859355,0,0.103393171590511,0,0,0,0,0.0146211116475236,0.231083375910404,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.111203716543546,0.164714009630287,0.0828721230054584,0,0,0,0.151749808977513,0,0.176756112521572,0.0349871198589948,0,0.069928355819032,0.020605310448972,0,0,0,0,0
XMR,0,0.0307134079083567,0,0.156527037884163,0.275176171836244,0.0476131613149778,0,0,0,0.0636428037635804,0.186661244951585,0,0.00585065966410447,0,0,0,0,0,0,0
MIOTA,0,0,0.0918410430385798,0,0,0.21960922584232,0.223428499892192,-0.321533310249225,0,0,0,0.546999240007415,0.261301060622135,0,0.158632619848277,0,0,0,0,-0.0360776585096036
DASH,0,0.361470153085443,0,0,0,0,0,0.142390456825344,0,0,0,0,0.309290310082847,0,0,0,0,0,0,0
TRX,0,0.154089860159254,0,0,-0.0000000000000000138777878078145,0,0,0.374871873226683,0,0.0119450651480353,0,0,0.290512543030188,0,0.210909994472071,0,0,0,0,0
NEO,0,0.0326655856680801,0.0674158382678385,0.210655395956615,0,0,0,0.123286771260512,0,0.249362009716597,0.191933553341805,0.0778186198837124,0,0,0.158575586967483,0,0,0,0,0
ETC,0,0.208064864279814,0.015106030678435,0,0.330989769069706,0.0742944041211603,0,0,0,0.214271847147748,-0.148093532528702,0,0,0,0,0,0,0,0,0.0383634496096945
BNB,0,0,-0.0131123324251423,0,0,-0.0859489146627982,0,0.517299999346485,0,0.0895748102396175,0.250545071785353,0.00740019613820852,0,-0.0483408105486105,0,0,0,0,0,-0.0550765562423001
BV010082.INDEX,0.0231951317743846,0,0.0142228360505213,0,-0.0269564425421702,-0.0688792889717919,-0.176209859963351,0,0.000000000000000000433680868994202,0.0225034270322885,0,0.0776093404538276,-0.0346716881872133,0,0.152989456028871,0,-0.0116892216086039,0,0,-0.0635550782028873
CVIX.INDEX,0,-0.148317887654476,0.0466677741482262,0,0,0,-0.0916173817430617,0,0.00484752767547404,0,-0.00431353637174939,0,0,0.190526574754987,0.224126465448242,0,0,0,0,0.0505173763343901
DXY.INDEX,0,0,-0.0135382540786719,0,0,0,0,0,0,0,0.0117473788567345,-0.0192336773776058,0,0.00993802759315992,0,0,0.0874527898682765,0,0,-0.0137503072421887
SPX.INDEX,0,0,-0.00648616641132465,0,0,0,0,0,0.00187494813780436,0,0,0,0,0,0,0,0,0,0,-0.0515371569764546
VIX.INDEX,0,0,-0.116715193672813,0.376106503706956,-0.149617023147866,0.00863746598215256,0,0,-0.202632089066906,-0.0638971548481183,-0.329447681050611,0.228797588279197,-0.14551830141486,-0.0448705812805948,0.39692127122844,-0.143477909821353,0.14058671795645,0,-2.49515994103083,0
