,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0732495357929851,0,0.40403067409298,-0.0135662549077546,0.0223420061554655,0,0.0579999686333015,0.138637355257447,0,0.0470046239467726,0,0,0,0,-0.0745375386669041
ETH,0,0,0.0678483786352387,0,-0.230193309806095,0.267229893859758,0.0901965887902492,0.0703290174505785,0.101127742136224,0,0.219685891341417,0,-0.659457367543389,0,0,0
XRP,0,0.054575513561854,0,0,0.00374817266704647,0,0.0435677146583747,0.0280094443238007,0,0,0.0707095574150122,-0.166349702315948,0.107153646076561,0,0,-0.0977956435579731
LTC,0.607554315961475,0.0144265899691967,0,0,0,0,0.0436193688748801,0,0.0834590578964002,0,0,0,0,0,0,0
ETC,0,-0.566021924910608,0,0,0,0,0,0,-0.963338354371969,0.220047933320423,0,0,0,0,0,-0.508893829169383
DASH,0,0.193078611524993,-0.35004519114282,0.05247472227889,0.0558348944260021,0,0.0395776086615082,0,0,0.273163196972242,-0.165707496358554,-0.814385715990827,0.414892125681466,0,0,-0.275898377331797
XMR,0.765843441226017,-0.130828591484776,-0.4056655357453,0.422255829854319,-0.0440226861327992,0.218093155959555,0,-0.101132507064989,0,0.137946505482275,0.123802320379118,0,0,0,0,0
XEM,1.2405485454349,0.100158335739636,0,0,0.0706749282097136,0.370241879100876,0,0,0,0.614319955107102,0.105581427992818,0,0,0,0,0.217180962552309
DOGE,0.404157753378288,0.0136830095691401,0.358124313429141,0.182308747718276,0,0,0.0127348716592656,-0.0723970101577292,0,0.140672383492375,-0.053623451872744,0,0,0,0,0
XLM,0.255409198194991,0,0,0.398558010947689,-0.039432007579823,0,0,0.119996571163505,0,0,-0.20789322333202,0,0,0,0,0.11797967483384
DGB,0,0.72334038788402,0,0.0289900230948681,0.129866310940715,0.0000000000000000000542101086242752,0,-0.108283336908823,0,0.515270460201729,0,0,0.759595802286811,0,0,0
BV010082.INDEX,0,0,-0.620598451250094,0.0801640117461734,0.0142140746914139,0.0625984249958356,0,0.0578864809135115,-0.00207708580371757,-0.0512293184685036,0.0427753578513128,0,0.10609844904797,0,0.315965725740696,-0.0808342900623516
CVIX.INDEX,-0.235045520676101,-0.19546690594821,0.101813596885496,0,0.0022824432334345,0.21552181716198,0.0538048870492667,-0.00820113465886226,0,0.139287837359351,0.0473105117028274,0.181516304446767,0,-0.658105827456903,0,0.169404104494875
DXY.INDEX,0,-0.00000123013619837339,0,0.0142902807199072,0.0018190616992266,0.0328803206920895,0,-0.02000764041618,0.00464662624544741,0.0140971300034157,-0.0253648737913319,0.0691556320141227,0.0197997136642408,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00478763595634869,0,0.00962053794513232,0,0,0,0,0,-0.0842787329973891
VIX.INDEX,0,0.176591921443015,-0.976197414383424,-0.0776019482595158,0,0.0646845274544301,0,-0.117569355976445,-0.44220191218806,0.481743468593153,-0.0470976331581816,0,1.17005062658142,0,0,0
