,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,MIN,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0599467881562183,0.101752278347712,0,0.0858232587346975,0.0504843406353397,0.0641818669078136,0,0,0.000000000000000000867361737988404,0,-0.000302017926430221,0.290365021597794,0,0,0,0,0
ETH,0,0,0,0.0653236180450021,0.424442889076929,0,0.347199387882706,0,0,0,0.010846797966997,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.277444344001863,0,0,0.0740470863314712,0,0.00370571970085006,0.21802847091437,0,0.134911314068585,0,-0.0173662993822351,0,0,0,0,0,0.0245624889695412
BCH,0,0,0.203118125561498,0,0,0,0.369029837989261,0.102325108025841,0,0,0.249463652130754,0,0,0.000000000000000000433680868994202,0.0212698745488405,0,0,0,0,0
LTC,0.0466720633784007,0.171720093277805,0.0277577765308509,0,0,0.582856241501516,0,0.0810932563073828,0.0272158867178371,0,0,0,0,0,0,0,0,0,0,-0.00255909614413426
EOS,0,0,0,0,0.760824402734873,0,0,0.0683870317091973,0,0.0512987888537876,0.123458376238868,0.00313167619969532,0,-0.000344919569177929,0,0,0,0,0,0
BNB,0,0,0.0938637527421373,0.224162678861464,0.17458528966661,0.175779092003772,0,0,0.0174358044347162,0,0.0417497218761714,0.044076585763719,0,0,0.0465186979932365,0,0,0,0,-0.0343469728047062
BSV,0,0,0,0.486957969330017,0,0.162348289355759,0,0,0.0515106191796947,0,0.088485895815213,0,0,-0.00974228936857404,0,0,0,0,0,-0.0793992144396279
XTZ,0.0236771432553148,0,0.21617752749562,0,0,0,0.29937954636393,-0.00000000000000000346944695195361,0,0,-0.216145143814707,0.522955701395074,0,0.0190170206691395,0,0,0,0,0,-0.00461050345057488
XLM,0,0,0.463311916250914,0,-0.00000000000000000173472347597681,0.112028883149618,0,0.0226093606908794,0,0,0,0.136429432607046,0,-0.0189644838738256,0.0376848792369997,0,0,0,0,-0.0913522688977656
TRX,-0.370329390028881,0,0,0.401896261377526,0,0.134705864739216,0,0,-0.0142952752672654,0,0,0.500346391813713,0,0.0187017025578839,0.22899349975309,0,0,0,0,-0.0878545554301608
ADA,0,0.128448668652698,0,0.000324161919858346,0.169748695236556,0.232732621133067,0,0.0493457275988275,0.0306163684913842,0.0826378971739873,0,0,0,0.0104389123122626,0,0,0,0,0,0
LEO,0.294969769475193,0,0,0,0,-0.180532527333737,0,-0.00000000000000000173472347597681,0.101279576423222,0.0269081999080724,0,0.203575752865888,0,-0.00137733665665104,-0.172305994999671,0,0,0,0,0.0404746714100436
MIN,6.41494963097543,0,0,-2.49119858921536,0,0,-5.95249073382252,0,0.557674634634437,2.69058776990488,2.34144763415475,-1.25595033953137,-4.76138107211034,0,0,5.21482989923282,-1.31955597455147,0,0,1.61832745950977
XMR,0,0,0,0.351347792731619,0,0.258748973147652,0,0,0.118506822716947,0,0,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0
BV010082.INDEX,-0.085281972196068,0,0.251914330520766,0.121877435483794,0,0,0,-0.0320036074040372,0.0595860393636819,-0.256808243109974,0.183877767830637,0,-0.0953630931193442,0.00817043606231479,-0.202792915575236,0,0,0,0.33936672504152,-0.0239180869169108
CVIX.INDEX,0,0,-0.295940442524282,0.14596521738875,0,-0.0434449918626074,0,0.0718093963784369,0,0,0,-0.0560055082816481,0.0475832859313915,0.020858249368965,0.133856957720137,0,0,0,0,0.0351519221000602
DXY.INDEX,0,0,0,0,0,0,0,0.0102575235414008,-0.00937992357267307,0,0,0,0,0,0,0.0200442085818995,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.0108734138709507,0,0,-0.00562889796041082,0.00710467400723506,0,0,0,-0.000148639464124054,0.00453490464557963,0.0827488014017267,0,0,0,-0.0381559818822373
VIX.INDEX,-0.0880332451516938,0,-0.060079497108177,0,-0.257876499559023,0,0,-0.0979125746904088,0.0180777937818187,0,0.157314642418394,0,-0.395858192408382,-0.0159199767529155,0,0,0,0,-2.82060863991969,0
