,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0875863424411528,0,0,0.104613234965145,0,0,0.154685968183048,0.0225875573887084,0,0.111220875395729,0,0,0.0213208058254814,0.0702317889689296,0,0,0,0,0
ETH,0,0,0.215015642757809,0,0.131378106444317,0,0.0248842014850818,0.0921416936342188,0.144802667976916,0.168454781415934,0.062813923190199,0,0,0,0.00396095253538581,0,0,0,0,0
XRP,-0.188634839212564,0.495983400407853,0,0,0.00000000000000000693889390390723,0,0.0108095380490034,0,0.234074051045498,0.0882552586782803,0,-0.0103588516263285,0,-0.00814267530884333,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0778753588876654,0,0.327822718096713,0,0.327430149036918,0,0,0.0505228637155987,0,0,0,0,0,0
LTC,0.213807921079762,0,0.225775489708965,0,0,0.0325520023311086,0,0.135585839490514,0,0,0.537489930433435,-0.049971955280407,0,-0.0116018058971622,0,0,0,0,0,0
DASH,0,0,0.0254977147964323,0,0.223741460174249,0,0,0.117038544367532,0.137246475697542,0.117260458545442,0,0,0,0,0.0483416794490006,0,0,0,0,0
NEO,0,0.21429463739332,0.0350812443567586,0.102693791876929,0,0,0,0,0.505328490879413,0,0,0,0.128599158859933,0.168354323697719,0.126121089078616,0,0,0,0,-0.300963580611847
XEM,0,0,0,0.14773041937251,0.0822062821778864,0,0,0,0.0854041245430295,0.154631772123108,0,0,0.121797139711358,0,0,0,0,0,0,0
XMR,0,0,0.361844733605939,0.136763783078228,0,0,0.0900914060129067,0.0936958180759673,0,0,0.0883859352440508,0.236979739869126,0.200109914647384,0.0215452215484218,0,0,0,0,0,-0.0728988033835947
MIOTA,0,0,0,0.0816672728491475,-0.340352758069199,0,-0.177007663072181,0.284620682379831,0,0,0.285900230702302,0,0.173071432944703,0.0607540230815846,0.449478198170321,0,0,0,0,0.105702019490836
ETC,0,0.340027574390108,0,0,0.566674484061476,0,0,0,0,0.0945189896784659,0,0,0,0.0574310220195489,0,0,0,0,0,0
ADA,0.157195513545096,0,0,0.0845367475525269,0,0,0,0,0,0.122413105669328,0,0,0,-0.158955376230972,0.13960339898371,0,0.602446749853101,0,0,0
ZEC,0,0,0,0.0152069920091381,0.0298004750172317,0.126356037208276,-0.000000000000000000216840434497101,0.13056678886845,0,0.206120111595847,0,0,0,0.0474549232544519,0.207002643810351,0,0,0,0,0
XLM,0,0.132144006517395,0.142968305638586,0,0,0,0.186185681174572,0,0,0.754719091470352,-0.00000000000000000346944695195361,-0.0673228746176106,0,0,-0.0653304397719052,0,0,0,0,0
EOS,0,0.330509645737099,0,0,0.0399770361886771,0,0.0477412358850825,0,0,0,0,-0.0972061945813348,0.677196802682126,0.0668519658358224,0,0,0,0,0,0
BV010082.INDEX,0.0308749095110448,0,0,-0.030384766261676,0,-0.00367523789177189,0.0341336179725389,0,-0.111404896517292,0.0150031930908727,0.0183671119089882,0,-0.0194270305859699,0.00897764542817029,0.0369051965013443,0,0,0,0,-0.076639274871544
CVIX.INDEX,0,0,0.0349002239405129,0.0817846587439239,-0.012908632655341,-0.127562648135045,-0.0196077039654552,0.132854181757594,0,0.00000000000000000173472347597681,-0.077240738816228,0,-0.018208759862149,0.00557832152795916,-0.0258202828233401,0,0,0,0,0.0794575693828718
DXY.INDEX,0,0,0,0.0148009862261563,0,-0.0382926840848619,0.00656479805129078,0,0,0.00785635220420027,0,0,0.00236898955164766,0.00162097056765803,0.00111761699967513,0.0105910584941445,-0.0189884804725857,0,0,-0.0164821752952989
SPX.INDEX,0,0,0,0,0,-0.00391813188318764,0.00031906223131477,0.00317962460068962,0,0.00446316719713493,0,-0.00190689832518651,-0.00881807484865228,0.000215766295107922,0,0,0,0,0,-0.0369241921610299
VIX.INDEX,0,0,0,-0.0115625707586728,0,0,0.000806476955305946,-0.0513971498303317,0,0.184829088489611,-0.135091122908399,0.0566307421685128,0.220782478221588,0.0414862370319024,-0.1173162936801,0,0.209999578699913,0,0,0
