,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.160433415718976,0,0.0590315278561014,0.0372977826180118,0.10190850303715,0.0138665401828766,0.0572886008328205,0,0,0,0,0.0132697521768594,0.034796850980391,0,0,0,0,0,-0.00284015423137708
ETH,0,0,0,0.146185196383137,0.195085555046897,0.236398711403112,0.00295694217076876,0,0,0,0.0394898660364118,0,0,0,0,0,0,0,0,0
XRP,0,0.0307549608130451,0,0.0709622477310185,0.0395967267120134,0.139893609894517,0,0.136732027992453,0.0349677359682932,0,0,0,0.0375792466572726,0.0843025928960889,0.0639905577719249,0,0,0,0,0
LTC,0,0.317454254149732,0.0374351259969365,0,0.228225242908303,0.109184030631152,0.0963850820072124,0,0.1952892010385,0.0590184909645196,0,0,0,0.042591476589683,-0.188313589673016,0,0,0,0,0.0514790377074606
EOS,0,0.280773109006056,0,0.269056531684404,0,0.195968277411271,0.111655532194336,0,0,0,-0.0336439775098712,0,0.050561543749564,0.0379315089475722,0.205036674741349,0,0,0,0,0
BCH,0,0.297846632542227,0.187363436529677,-0.00000000000000000173472347597681,0.217907246031554,0,-0.0512638665307288,0.0877224542490261,0.0797561665418847,0,0.219348008330463,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.493597755293621,0,0.154968881585178,0,0,0,0,-0.181393536424915,0,0,-0.120263726723158,0,0,-0.108019132376748,0,0,-0.0423201054291578
XLM,0,0,0,0.203798379273732,0.0102722034152522,0.141357901899611,-0.041957578349291,0,0.00838653171109573,0,0,0,0.247256758669988,0.110645513359716,0,0,0,0,0,0
ADA,0,0.132848179745793,0.239345039065669,0.147920963201561,0,0.164952833617623,0,0,0,0,0.0955919287431766,0,0,0.20410798043026,0.0862150148592627,0,-0.0601534294120544,0,0,0
TRX,0,0.0833560972357165,-0.00614762087551808,0,0.0482202317696755,0.148081946232474,-0.0735353298142421,0.174666835806425,0.0859774131487695,0,0.104567218629639,0,0,0,0.0446086050816138,0.380655423958493,0,0,0,0.122531192936115
BSV,0,0.118824007284732,0,0,0.0422229435602404,0.302635972178593,0,0,0.104775731528844,0,0,0,0,0,0.0794776896844953,0,0,0,0,0
XMR,0,0.000000000000000000867361737988404,0,0,0,0.156566412185376,0,0.18906641377504,0.0511432969778916,0.127391646179009,0.05768793765294,0,0.0882543964141483,0,0,0,0,0,0,-0.0483035204493515
DASH,0,0.0675184479344157,0,0.156137296702842,0.0281003332717245,0,0.06858268434072,0.113687551739967,0.129322253164515,0,0,0.144461549383086,0,0,0,0,0,0,0,0
MIOTA,0,0.332909580817274,0,0.0830569233790038,0.00517040276935912,0.0177336953441497,0,0,0.160069212402511,0,0,0.0204155058231327,0.0134065246316727,0,0,0,-0.0563145791607487,0,0,0
MKR,0,0,-0.506566553546211,0,0.336509369876124,0,0,0,0,0,0.591719062587275,0.151074159351846,0,0,0,0,0.120676627169617,0,0,-0.0157890410398163
BV010082.INDEX,0,0,0.206145440298552,-0.143170824315635,-0.0639909901646146,0,0.069356693607243,0,-0.253012922827076,0,0.0964709516612901,0.328920934370487,0,0,0.119368860233487,0,-0.252630370604229,0,0,0.0403840640278461
CVIX.INDEX,0,0,0,0.0706635666662732,0,0,0,0,0,0,-0.116287375962167,0,-0.0654984171817481,-0.171557543327589,0.160149478803347,-0.559440907317999,0,0,0,-0.0435885718140124
DXY.INDEX,0,0,0,0,-0.0051375610889713,-0.0056325818717864,0.00988896701498271,0,0,0.037932631576711,0.0141256537857139,0,0.0197358150441038,-0.0521090612789381,0,0.011551708125355,0.0197417462851773,0,0,0.00457907249187336
SPX.INDEX,0,0,0,-0.025170546187955,0,0,0.00851706246554565,0,-0.00545852156552166,0,0.0282281959961765,0.0132076977432103,0,0,0.0137340122167266,0,-0.00827369057396382,0,0,-0.0852747514206416
VIX.INDEX,0,0,0.247444587835401,0,-0.472177294980331,0.0453893427744386,0.0725764545546063,0,0.102890891953624,0,0.0760248046981623,0.360364194790552,-0.280911562868455,0,0.163679587981039,0,0,0,-3.89027501710673,0
