,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.09050687787549,0.0719667271358334,0,0.00908433388563577,0,0.0448547514967146,0.116562911819531,0.310466444886692,0.0742759589955626,0,0,0,0,0,0
XRP,0,0,0.192463208575227,0.0375163060929936,0.0515478463437806,0.0550524675275702,0.173953353567228,0,-0.0120261230479763,0,0,0.0220007347643112,0,0.0470322838376519,0.0682414919701133,0,0,0,0,0
ETH,0,0,0,0.120265441202141,0,0,0,0.13744761003427,0.00233431512747772,0,0,0,0.285481844948405,0.195399566797565,0,0,0,0,0,0
BCH,0,0,0,0,0.318204612410856,0,0,0,0.0638036979212341,0.45614850786276,0.110399975706846,0.178798811759267,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.111280199115182,0,0.767106925057775,0,0.103328312809625,0,0.132008804449722,0,0,0,0,0,0.0367863938693003
XLM,0,0,0.00000000000000000173472347597681,0.102505242694481,0.0196816095616915,0,0,0.0114356582721154,-0.00333306317090628,0.12633972525663,0.0661726416723549,0.120689805923822,0.300984839526339,0,0,0,0,0,0,0
LTC,0,0,0.0684660622188008,-0.00000000000000000173472347597681,0.28850760894713,0,0,0,0.034002306801965,0,0.0585320843075662,0.0341572659590403,0.209797268528279,0.00000595373519245591,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0,0.0154474870451598,0.49693763164447,0,0.256085716130789,0,0,0.0696013576705025,0,0,0,0,0
BSV,0.955250807537573,-1.64333418806356,0.124292941881732,0.500263006327002,0,-0.295432590017086,0,0.503069141761881,0,0,0.354804595329456,0.424603988028965,0,0.239351338561864,-0.456889029807616,0,0,0,0,0
ADA,0,0,0.0242574474700887,0.118273500866588,0.26448263175553,0,0,0.207209780444135,0,0,0.118600264595786,0.0106020526877369,0.162977811018482,0,0,0,0,0,0,0
MIOTA,0,0,0.0984435162547475,0.067633997437867,0.262861053083013,0.178749796113737,0.1072582161913,0,0.0568424019709258,0,0,0,0.0603082525406681,0,0.120827607288387,0,0,0,0,0
BNB,0,0,0,-0.0409592983270078,0.158507813090269,0,0.337064972257988,0.0738936042063433,0,0.40812006447587,-0.00321132008186178,0,0,0,0,0,-0.192630901462257,0,0,0.0441048235891298
XMR,0,0,0.191647431205524,0,0.0228675522045787,0.263437876673541,0.098403741923214,0,0,0.224043441547686,0,-0.00000000000000000173472347597681,0,0.0260802306637327,0,0,0,0,0,-0.0295536008245202
DASH,0,0,0.0207300882202956,0,0.222454692967417,0.178098774673418,0.174205640377603,0,0,0,0.049308426195862,0.104586883582392,0.27622740285431,0,0,0,0,0,0,0
XEM,0,0,0,0.0860085027741517,0,0.142224272608341,0,0.112024530908112,0,0.209178919035653,0.0521966274644479,0,0.16123910508083,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.193372844749629,-0.0294082783957587,0,0,0.0134859946130484,-0.0389673697856603,0,0,0.0661511136546536,0.0279600822015317,0,0,0.188925697426079,0,0,0,0,-0.0595245072755445
CVIX.INDEX,0,0,0.203565224924245,0.0609023392953122,-0.119500396957477,0.120719593535797,0,-0.061921310179987,0.0082568036616751,0,0.085337641637682,-0.102045758848205,-0.25085921972745,0,0.0844891828258448,0.215656078133421,0,0,0,0.0617405564790079
DXY.INDEX,0,0,0,0.00188260575694984,0,0,0,-0.0313034332548874,0.00301691685482014,0,0,0,0,0.00165708696054649,0.0311231868964469,0.0196723616383152,0,0,0,0
SPX.INDEX,0,0,0,-0.00773803547092291,-0.009443691362279,0,0.0478641245099379,0,0.0101041270122827,0,0,0,0,-0.0533964775584192,0.0460540278385593,0.0859428926746114,0,0,0,-0.119771053449965
VIX.INDEX,0,0,-0.155736662046526,0,0,0,0,0.428917877540202,0,0.0396175797995784,0,0.0878460722861969,-0.610396459805859,0.174199557074351,0,0,0,0,-4.3006907608177,0
