,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XEM,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.677921244766021,0.0832670892232581,-0.0163678624768547,0,0,0,0.00451382128233983,0,0,0,0,0.0231053448948925
ETH,-3.43964883981292,0,0.457449004749237,1.03979664415251,0.441850257073002,-0.132183698735774,0.184742742420885,0.110586827357377,-0.225974800479989,-0.00801373725327038,0.835295364737845,-0.237786974939552,-2.00179474015321,0,-0.201790627937358
XRP,0,0.0323094053634421,0,0,0.0702424076112884,0.102643830022494,0.0529802678566521,-0.0304284273078088,0.0129006644197478,0.035930351140853,0,0,0,0,-0.0522717363465531
LTC,0.522906597779314,0.000000000000000000216840434497101,0,0,-0.0196086772572313,0.0200022544249356,0,0.0087800092595468,0.0421808503738089,0.00382573134767811,0,0,0,0,0
DASH,0.695868799056708,-0.210982505740534,0.211393380879832,0,0,0.203601588374078,0.106693955592975,0.0394563860549126,-0.530024930425598,0.0115951520018679,0.192912126898278,-0.375740776553023,0,0,0.522390288236717
DOGE,0,0.193195029833946,0,1.11948094127484,0.0300493724661875,0,0.0557180407891862,0.0254594981399336,0.339181452803337,-0.00543253775579257,0,-0.213030297909216,0,0,0.272705279414403
XMR,0,0.321417518861485,0,0,0,-0.348940670521003,0,-0.287835380115742,0.813366828895215,0.11460290538829,0,0,0,0,-0.182771441083716
XEM,0,0,0.385331848288901,0,0,-0.0430744948787669,0,0,0,0.179842689041925,0,0,0,0,0
XLM,0,0,0.484314001324072,0,-0.54308466922276,0.299307269724473,0.0917172295415276,0.230897270126291,0,-0.0196596216724971,0,0,0,0,0.318104527190466
DGB,0,0.0196884188813278,0,1.00219661534507,0.824101635577519,0,-0.346950417984599,0,0.382956211436362,0,-4.19863824077001,-0.527106037941442,0,0,-0.395101317744964
BV010082.INDEX,0,0,0,0,0.129613986163066,0.011160645090544,-0.0535494123525055,0,0.0207001943348538,-0.116721146200212,0,0,0,0,-0.0409733358183742
CVIX.INDEX,0,0.0290825014598537,-0.191286147277615,0,0.0317022961351124,-0.00393601279841981,0.0386246152417573,-0.0208496098476499,0.0635837594279061,0,0.129502830690585,0,0,0,0.134221289008284
DXY.INDEX,-0.126869849838069,0.00548639951855224,-0.0533098532667833,0.101928551282051,-0.0179577321582609,0.0133434061101067,0.0159018514278038,0.00896027860374563,-0.0225609816115435,0.0134625650652634,0.0803033765170579,0,0,0,0.020982184179793
SPX.INDEX,0,0.00497432962766197,-0.0180908419427326,0,0.00537953836435833,0.00395018182897717,0,-0.0057286973445298,0.0196602667226707,-0.0172482821842878,0,0,0,0,-0.169592517634468
VIX.INDEX,0,0.0561375305988317,-0.261128171622494,0,0.113288628247743,0,-0.0542461640352967,-0.0848682557190726,0.299084481514498,-0.0437234088694063,0,0.268636227265481,0,-1.47284535979501,0
