,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00000265573004781176,0.0411522538522719,0,0.0228951234302368,0.0460511865320501,0,0.263402928348712,0,0,0.142907082616959,0,0.0772475762186656,0,0,0,0,0,0,0
INNBCL,0,0,20.1957668760326,0,0,-9.8756638589082,0,0,-24.4770264309817,0.96146950907354,-0.25497107129844,9.26649806821553,0,0,4.10591609782877,0,2.89307772849117,0,13.1141401838,3.42947661148695
ETH,0,0.000514914951910728,0,0,0.163062356265811,0.0822318569539085,0,0.259147232061914,0.157659340022205,0,0.248613582622497,0,0.0204078082688578,0.0264790154420764,0,0,0,0,0,0
XRP,0,-0.00458228733929911,0,0,0,0,0,0.0864322541473167,0.378161135415108,0,0,0.0295261912660171,0,0.205715279465654,0.0748823560850258,0,0,0,0,0.0454849913306408
BCH,0,-0.00124874307574516,0.42611976766781,0,0,0.310359338512884,0,0.0675597955580659,0,0.0155058295797987,0.0262962513113788,0,0,0,0.123180826057539,0,0,0,0,0
BSV,0.222561366729552,-0.0120689671134586,0.112715712480794,0,0.339316173991114,0,0.0392658692520645,0.309996141282864,0,0,0,0.0736773654493774,0,0,0,0.0928802634435501,0.0706219421714077,0,0,-0.0500526117589746
LTC,0,0,0.0136784253908256,0,0.00670931578411212,0.131388813996765,0,0.108363645697856,0.259013749642443,0,0.110108823221931,0,0,0.186449444369893,0,0,0,0,0,0
BNB,0,-0.00646222677186628,0.32243020783392,0,0.42518299797784,0.000996951377682081,0,0,0,0,0.0574569341382805,0,0.0885041151623556,0,0.0337865267195733,0,0,0,0,0
EOS,0,-0.00274012176014664,0.332908156226184,0,0.135077690978167,0.100368027677481,0.0269151145409528,0,0,0,0.00840841677772777,0.159821779349119,0,0,0.171951273166905,0,0,0,0,0
TAGZ5,0,0,0,0,0.550154161429547,0,0,0,0,0,0.0554025391837299,0.0955307965433888,0,0,0,0,0,0,0,0.0712657374177369
XTZ,0,0,0.407602044053208,0,0,0.0281302314861274,0,0.255821732912699,0,0,0,0,0.32518236511237,0,0,0,0,0,0,0
XLM,0,0.000695544186195832,0.234161963585157,0.233832974567483,0,0.13817298363117,0,0.0454787107466713,0,0,0.0154497384698294,0,0,0.15857181120347,0,0,0,0,0,0
LINK,0,-0.000444114977084475,0,0,0.00000000000000000346944695195361,0.199873581872733,0,0.190812934982903,0,-0.000625159091626342,0.566481825164445,0,0,0.052559975583965,0,0,0,0,0,0
ADA,0,-0.00142602031642089,0.12964592082968,0,0,0,0,0.314901967793975,0.10448270633016,0,0.176810472142842,0,0.136709424075564,0,0,0,0,0,0,0
TRX,0,-0.000000000000000000216840434497101,0,0,0.122482060526044,0,0,0.262750921763508,0,0,0.184763900295363,0,0.0672100363358787,0.278087713572279,0,0,0,0,0,0
BV010082.INDEX,0.987492868989734,-0.0170478963660684,0.323555355771222,0,0,0.0933415511946353,0,-0.457298752614593,-1.23634904295242,0.241292546090446,-1.14004692492691,0.735495569134549,0.280967544663815,0.213176334247661,0.289003474300189,0,0.0249904178585356,0,0.113250458115328,-0.039849847303504
CVIX.INDEX,0,0,0,-0.461495154678465,0,0,0,-0.0658320289210792,0,-0.152424932208058,0.29289917075525,0,0.0716302517512261,0,0,0.303380316247447,0,0,-0.739941997010547,0.270010146457308
DXY.INDEX,0.0182183682710114,0,0,-0.0373472719431824,0,-0.00121417561287966,0,0,0,0.00181875404797632,0.0444004081197221,0,-0.0238324480567492,0,0,0.051025697257793,-0.00648622661309558,0,-0.0201564918982192,-0.0107261340106512
SPX.INDEX,0,0.00678572874999468,0,0,0,-0.129736417469498,0,0,0,0,0,0,0.108543948590318,0,0,0.256924930505691,0,0,0,-0.250895071456811
VIX.INDEX,0,0.0337338797678761,0,0,0.0305977131267298,0,0,-0.906661085453244,0,0.0979890688302661,0,0.364367151835186,0,0,0.41557598690892,0.275425452431933,0.167780726558161,0,-2.19676274368493,0
