,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.207598789751718,0,0.0801525311302173,0.0561392645503833,0.0105135775622057,0,0.0682316907115757,0.123434255202438,0.0512424381758569,0.0146589287435377,0,0,0.0350848332490146,0,0,0,0,0,0.0331242306552193
ETH,0.198921185189152,0,0.203130271829466,0.0999858929732522,0,0.424738152415618,-0.000000000000000000433680868994202,-0.0470582754228482,0.0334589530871642,0,0,0.0375982495110495,0.00727781855463909,0.0557439540692004,-0.0612366063556276,0,0,0,0,-0.010216918192047
XRP,0,0.327013889031971,0,0,0.0427640360678224,0.138852226144015,0.0309967619934705,0.0202783951732811,0,0,0.0721644337754803,0,0.032989255808663,0.0581835916059791,0.0560759669636085,0,0,0,0,0
BCH,0,0.263953291572581,0,0,0,0,0,0.114723697686507,0.134470825892769,0,0,0.273522688862047,0,0,0,0,0,0,0,0
EOS,0,0,0.228712961268971,0.452572186340433,0,0,0.172265352389158,0,-0.331748741447953,0,0,0,0.157254501492412,0.0618030692553744,0,0,0,0,0,-0.0534102364560086
LTC,0,0.38299524393852,0,0.11982282347266,0,0,0,0.116890210019861,0,0,0.116617120011237,0.0270602223429799,0,0.0357036461058668,0,0,0,0,0,0
ADA,0,0,0,0,0.0226030355440672,0,0,0,0,0,0.329204219010356,0,0.119539418501043,0.307617091577982,0,0,0,0,0,0
XLM,0,0,0.150754082986932,0.0843051950394594,0.0186115097110378,0,0.177745448222789,0,0.0544509290548025,0.0417740771375807,0.117848227202953,0,0,0.188998421756541,0.0989375857525498,0,0,0,0,0
MIOTA,0,0,0.217550385294158,0,0,0,0.0933200295868919,0,0,0,0.223005437529867,0,0.102110304206492,0.0434134991735839,0.192319300493862,0,0,0,0,0
TRX,0.303604577029363,-0.226652314407854,-0.706370116018925,0.29853469478441,0.0791965797096141,0,0,0.401604684782156,0.0992910667098468,0,0,0.338041316161894,0,0,0.229964477265556,0,-0.203018915313954,0,0,0
NEO,0,0,0,0,0.0576545254701928,0.0592962259199381,0.0119012392247529,0.161200680475106,0.0935249312773283,0,0,0,0.280195193413271,0.0702613593463053,0.163022876508394,0,0,0,0,0.0257202153542409
DASH,0,0.361406135458455,0,0.0977467476075749,0,0,0.0660811822924861,0,0.101770835983653,0.0702673712453435,0.0603062800310749,0,0,0.0409126525091634,0.0502874887436086,0,0,0,0,0.0583939673743929
XMR,0,0.173375468830954,0,0.0969854023552589,-0.035057591307831,0,0.161105871371139,0.241920564599289,0,0.154036967330665,0,0.394803904910844,0,-0.368607290403845,0,0,0,0,0,0.0490600639055125
XEM,0,0.527221862606819,0,-0.025179005316139,-0.11930962898754,0,0.158806391239981,0.533383147224633,-0.249019578074288,0.197811375110654,0,0,0,0,0.128525798847601,0,0,0,0,-0.0321509209861369
ETC,0,0,0.181310186117911,0,0.089739637042761,0,0.153207711423414,0.0410181127036577,0.00166894609326124,0.0330154468729176,0.0461469927752355,0.303140846952089,0.00509741291484303,0.0819209293077663,0,0,0,0,0,0
BV010082.INDEX,0,-0.0431749069415232,0,0,0.0163614632517482,0,0,0.024588602949126,0,-0.0302317787121087,0,0.11622140400827,-0.062292419920331,-0.0340379021613453,0,0,0,0,0,-0.049786455594913
CVIX.INDEX,-0.0706607368397642,0,0,-0.0566695886798503,-0.00967960047113147,0,-0.0948224125736887,0.0151168620397972,0.0932341354352745,-0.0359169733458177,0,0.205767399773787,-0.0842956712225288,-0.156397444578775,0.154425120727537,0,0,0,0,-0.0390310310352641
DXY.INDEX,0,0.013260958512501,0.00395720931899365,0,-0.00216672385714794,0,0.0159923159564928,-0.0254156728312817,-0.021649675123484,-0.00862944188079547,0,0.0343961033980062,0,0,0,0,0.0483442259445759,0,0,-0.00748011985351667
SPX.INDEX,0,0,0,0,0.00551753126153619,0,0,0,0,-0.0292498448577907,0,0,0,0,0,0,0,0,0,-0.123211913637398
VIX.INDEX,0.0579211480934188,0,0,0,0,0,0,0,0,0,0.108068324786108,0,-0.0262415708897282,0,0,0,0,0,-3.33510610761793,0
