,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.146109262220396,0.173265733687428,0.47627523835817,0,0.11610439922698,0.01814728218526,0,0,0,0,0
XRP,0.094504206683315,0,0,0.138947145967723,0.208264888734271,0.187380045895887,0.0817524867555411,0,0,0,0,0,0
LTC,0.602242653958267,0.000000000000000000216840434497101,0,0.0539863259782903,-0.0000000000000000277555756156289,0,0.166372693096512,0.139049411556087,0,0,0,0,0
DASH,0.859036778560015,-0.170559567239972,0.223607076374954,0,0.0197373158436215,0.155691388944959,-0.27358904749787,0.128286452791225,0,0.218710812925107,0,0,0
DOGE,0.326523783827292,0.262871096836889,0.0927452147178919,0.0209321807198295,0,0,0.0681118585340856,-0.0306241021734253,0,0.113544919959726,0,0,0.0223639844481679
XLM,0.860528854884691,0.260896962997269,0.0417857293628169,0,0.0122366539943295,0,-0.366479057064409,-0.00891333826647654,0,-0.152658729811326,3.63327849319388,0,0.00757619238730907
XMR,0.9833565232068,0,0.0250367543856761,0,0,-0.29352569084444,0,0.0464700542304396,0,0,0,0,0
DGB,0,0,0,-0.234372613553502,0.907541916295085,0.149000277331549,0.0931942989852521,0,0,0.548099924749341,0,0,-0.269632476201893
BV010082.INDEX,0,0,0,0,0,0,0,-0.03074271994728,0,-0.0229918580490474,0,0,-0.0376720045295214
CVIX.INDEX,0,0,0.0102074499815428,0.0457987045519523,0,0,0,0.063971592506166,0,0,0,0,0.0698272535925729
DXY.INDEX,0.0232820245203957,-0.0196343892492048,0.00948734845530716,-0.0253533854709593,0.00946368607708656,0,0.010305816556713,-0.00018182207709104,0.0858564181085046,0.0130812912465317,0,0,0.0265047527701392
SPX.INDEX,0,0.0205023430873705,0.00132129019284345,0.0159020917102733,0,0.00181902378685581,-0.0233583749788306,-0.00449162332568006,0,0,0,0,-0.0955699223420314
VIX.INDEX,0,0,0.0720383110968995,0.063359799424977,0.154128046935852,0,-0.280531676075848,0,0,0.00000000000000000693889390390723,0,-6.09644645982681,0
