,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,NEO,TRX,MIOTA,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.121434280720169,0,0.077845318143837,0.0497536492640187,0,0,0.0703162778425002,0.0281025873508352,0.0522479817958497,0.182556628482434,0,0,0.0277578614631778,0,0,0,0,0,0
ETH,0.11099077074089,0,0.165079686759452,0.126323028980755,0,0,0.404255435865733,0,0,0,0.0171239089727116,0.0181828028625471,0.0076259152275689,0.0402410504212405,0,0,0,0,0,0
XRP,0,0.200260298907314,0,0,0.0334760042799995,0,0,0.154483952272809,0.109059976542846,0,0,0.155018335285119,0,0.0224918063196642,0.144782380701001,0,0,0,0,0
BCH,0,0.304412193542578,0,0,0,0,0.0613374360398843,0,0,0,0.184463611944072,0,0.238288223541677,0,0,0,0,0,0,0
EOS,0,0,0.0000000000000000138777878078145,0.00111309100212424,0,0,0,-0.109279600236256,0,0.108848634238454,0,0.260546953984941,0,0,0.388056061459301,0,0,0,0,-0.216109080545248
ADA,0,0.264081309799854,0.0686180801281597,0,0.165824736614367,0,0,0.187143203141852,0.105999712744599,0,0.183614643558086,0.0303236146165049,0,0.118555042358486,0,0,0,0,0,-0.00765848332466296
LTC,0,0.240799334058031,0,0.178817108585651,0,0,0,0.198433078356514,0.0519950714495283,0,0.0811199780890039,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0
XLM,0,0,0.154824238852457,0.0774351065743223,0,0.192734608743509,0,0,0.0957397756490566,0.0339076178328161,0.192642032484402,0.0358794842868557,0,0.162975065538119,0,0,0,0,0,-0.0559872156598662
NEO,0,0,0,0,0.107719900767708,0.0336072226452022,0.068804546768167,0.16472037473326,0,0.00664140228233143,0.142021268955649,0.175769455293764,0,0.0343829926966836,0.180316117358053,0,0,0,0,0.0951377671454829
TRX,0.092962400866445,0,0,0.940946061322953,0.039464768116507,0,0,0,0,0,0.125608226285992,-0.312023200692512,0,0,0,0,0,0,0,0.11748828933088
MIOTA,0,0,0,0.335942279492783,0,0.0377021822459297,0,0,0.14819137756651,0,0,0.166512143748312,0,0.0251194746288615,0.183184144545869,0,0,0,0,0
XMR,0,0.438847743364636,0.246810103927632,0.0557059307974771,0,0,0,0,0,0.0671530272985853,0.0714817410524761,0,0.106478263169639,-0.068034991856655,0,0,0,0,0,0
DASH,0.211040896921593,0.328322578853508,0,0.133727194957869,0,0.0649204601305631,0,0,0.0427762003284035,0.0836729794010234,0.067957793916069,0,0,0.0254579416592799,0.000000000000000000433680868994202,0,0,0,0,0.0378217827789568
XEM,0,0.412564468309496,-0.214017762682059,0,-0.163226634758186,0.260047450392477,0,0.276341104190546,0.220320316486626,0.182064604759366,-0.182522791027409,0,0,0,0.292229214768175,0,-0.436534667374535,0,0,-0.0151885221768086
ETC,0,0,0.115084363887247,-0.00000000000000000693889390390723,0.178554998355259,0.0827232730583826,0,0,0.0176307238899511,0.0830664891102187,0.272843182359894,0,0,0.106511151545766,0,0,0,0,0,-0.0483348353720496
BV010082.INDEX,0,0,0,0,0.0182735694178087,0,0,0.0244097319083796,0,-0.0355481845387983,0,-0.0874165495902029,0.124337682116939,-0.0457310636292474,0,0,0,0,0,-0.0394246017002335
CVIX.INDEX,-0.102365794294014,0,0,0,-0.0437550187943554,-0.035913551613263,0,0.0808362427570939,-0.088681002219213,0.00173128601532389,0,-0.108862563188192,0.213960759183727,-0.222536827390157,0.191445690923471,0,0,0,0,0
DXY.INDEX,0,0.00256295015420112,0.00924060763568812,0,-0.00244110991229825,0,0,-0.0294499309294312,0,-0.0111926581393478,0,-0.00292038699574955,0.0330508801640262,0.00579836509754432,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00739978412101798,0,0,0,0,-0.0237951187474074,0,0,0,0,0,0,0,0,0,-0.109534236121049
VIX.INDEX,0,0,0,0.044541808029635,0,0,0,-0.0834256209188135,0,0.156442869457557,0.00000000000000000693889390390723,0,0,-0.00788694388950905,0,0,0,0,-3.20101900417457,0
