,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.015339851535882,0,0.129408122096576,0.017468523933021,0,0,0.322743395655864,0.0557121277955091,0,0,0.1329572408616,0.0882200716634315,0,0,0,0,0
XRP,0,0,0.385477913895011,0.0895167067119712,0,0.138102052710434,0,0,0,0,0,0.0968905287834064,0,0,0.17970259071345,0,0,0,0,-0.0492810281610226
ETH,0,0.0561229127164766,0,0.0346321569029944,0.330421912402787,0.163511730511367,0,0,0,0.0603792340042341,0.0847478801704765,0.0636772681393711,0.23418665450717,0.0656872138412001,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.929285333324356,0,0,0.0571087110521213,0,0,0,0,0,0,0,0.0913909038442029
EOS,0,0,0.278426841714073,0.138870734938312,0,0.180622840060165,0,0,0,0,0.0742407930752952,0.000497529663723372,0,0,0.104697067850855,0,0,0,0,-0.00965894185605433
XLM,0.383050779149563,0.136347004516137,0,-0.0156905921994786,0,0,-0.0237489700678381,0,0.485531396593033,0.202463107369317,0.0355717585415494,0,0,0,0,0,0,0,0,0
BSV,1.90635285216792,-0.60739704725757,0,0.292430501445145,0,0,0,0,0,0,0,0.136964701606963,0.173415745426185,0.0187641860126238,0,0,0,0,0,-0.292654438990748
LTC,0,0,0,0.155246935749268,0,0.020763275352682,0.00375561804861833,0,0,0.148967024928417,0.137105551801263,0.108596387711229,0.174841944872876,0,0,0,0,0,0,0
ADA,0,0.0374785529882223,0,0.089115728904198,0,0.0735756366619226,0,0,0,0.117441332696082,0.427062583954257,0.140742873030373,0,0,0,0,0,0,0,0
XMR,0.728268309428855,0,0.11460553137752,-0.00000000000000000346944695195361,0,0,-0.00753613892678984,0,0,0,0.0546815991385123,0,0.26661945983138,0,0,0,0,0,0,0
TRX,0,0,0.199569217828709,0,0,0,0,0,0.27186057148725,0.0524496705285372,0,0.151360017003626,0.141005669680451,0.108584140108138,0,0,0,0,0,-0.0604788420461321
MIOTA,0,0.0628256239182948,0,0.0416140679520581,0,0,0.0232433178179732,0,0.465694548394282,0,0.08749585736546,0,0,0,0.231929026535286,0,0,0,0,-0.0575062614164442
DASH,0,0,0.311173288522435,0,0,0,0.00807738475665561,0,0.26633352572016,0,0.0153634907150926,0,0,0.159798183510638,0,0,0,0,0,0
BNB,0,0,0.506183678463067,0.0364270532956298,0,0,0.0132545212141164,0,0,-0.00000000000000000346944695195361,0.249094126530106,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0
XEM,0,0,0,0.123263149126432,0,0.274626782776148,0,0,0.197951540970832,0,0,0.0841962611169435,0,0,0,0,0,0,0,0
BV010082.INDEX,0.0327074544436085,-0.0143340487338748,0.0614858518100173,-0.0290273885572138,0,-0.170003634176697,0,0.0367928746460355,0,0,0.0186394413519632,0,0,0.0977070118663072,0.0144556491579448,0,0,0,0.922798624023769,0.0561549667671603
CVIX.INDEX,0,0.136767165057031,0.00822449110471845,-0.101635560215922,0.17138445487324,-0.301117003776917,0,-0.167133951267625,0,-0.201343649806082,0,0.290480003722065,0,0.252372738905641,-0.0433754946571383,0,0,0,0,0.0136155986995677
DXY.INDEX,0,-0.00107652446256788,0,0,0,-0.0215144467560305,0.00572924544625159,-0.0475933008868564,0,0.02699981041575,-0.00887209162921244,0.0231993313766094,0,0.00752604352751017,0.00666363272060475,0.0443262991879608,0.0456371795771812,0,0,0.00249173767862102
SPX.INDEX,0,-0.0563866601609915,0,0,0,0,0.00680381564422039,0,0,0,0,0,0.0151349163412636,0,0.0120198376457489,0.0117332284758567,0,0,0,-0.116747433842199
VIX.INDEX,0,0,0,0.159162232214269,0,-0.0794151594535289,-0.00169915918000604,0,0,-0.188731008055043,-0.13477041054452,0.0821011757333396,0,0,0.208778842097318,0,1.32437222110652,0,-5.51362412604878,0
