,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,XEM,EOS,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.053015317118168,0.125053156216914,0,0.0573972796912128,-0.0125107554634418,0.0595629360522308,0.00000000000000000346944695195361,0,0.123577941223221,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0145068552617802,0,0.258552188092751,0.0805521806002523,0.000784829555276048,0,0.0599416163726196,0,0,0,0.229617361858504,0,0,0,0,0
XRP,-0.15558236379621,0,0,0.10147909344609,0,0.372248885943911,0,0,0.180110191590917,0.255569864962321,-0.0369549998806837,0,0,0.0542345048351114,0.141705343959528,0,0,0,0,0
BCH,0,0,0,0,0,0.0643590323034162,0,0.0911873106250282,0.012679712012368,0,0.00000000000000000173472347597681,0.275233994591197,0.0703249543736369,0.0206052459064109,0.196676542374695,0,0,0,0,0
ADA,0,0,0.180833265047794,0.0183098902456977,0,0.191790557104996,0.0915656768065558,0.237861508921241,0.113818716641904,0.015064767181085,0,0,0,0.0434507948235661,0,0,0,0,0,0
XLM,0.0799981466532794,0,0.121654433962865,0,0.339594899793878,0,0.0965033243716782,0.0931672577467313,0.0177647301722744,0.0535012411470257,0.039212662457438,0,0.299463759118045,-0.11934115219349,-0.017397805818968,0,0,0,0,0
LTC,0.234585187071397,0.277996723869641,0,-0.0402085476679445,0,-0.0165464498333944,0,0.000000000000000000216840434497101,0,0.0875494234626653,0.137141564394044,0,0,0.00797088178939935,0,0,0,0,0,0
NEO,0,0.478649391837382,0.0579510579795883,0.0459269802056579,0,0.151534023517448,0.0100718337807039,0,0.080491385712346,0,-0.100537633740469,0.116514343953777,0,0.0463024452250277,0,0,0,0,0,0
XEM,0,0,0.131942376527025,0.0392860496173471,0.113898575322604,0,0.052625426921365,0.13566846074978,0,0,0.186264331636902,0,0,-0.0466422303125045,0.194832697880138,0,0,0,0,0
EOS,0,0,0,0,0,0.235638411775774,0.0399644603584547,0.0175978338046098,0.136873110319361,0,0,0,0,0.149315167257656,0.312129542240964,0,0,0,0,0
MIOTA,0.285525154228708,0,-0.041258919797204,0,-0.0919232544850271,0.285850272910229,0.0416550444109617,0.0721261296200466,0,0,0,0,0.283976153996038,-0.0194926900627001,0,0,0,0,0,0
DASH,0,0,0.0268574110673576,0.0437541633130508,0,0,0.107763046421491,0,0.0273702271854067,0.0689004474295543,0.0954629665427254,0,0,0,0.170650398396272,0,0,0,0,0
XMR,0,0,0,0.196323433103582,0,0.119276080644413,0.0212129240731978,0.137423603982142,0,0,0.0925341903755849,0,0,0.0863722120390814,0,0,0,0,0,0
TRX,0.548029948413112,0,0.204224025261649,0.144330988929534,0.131867056292495,-0.430725002452398,0,-0.29426847740337,0,0,0.297078731527971,0.317307907753985,0.204232353629601,0,0,0,0,0,0,0
BTG,0,0.130963611967478,0.0556359119921456,0.37769365975892,0,0.0329280637875756,0,0,0.0541259929816851,0.190919440043521,0.0169809105412325,0.0859958849998955,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0428318471022068,0,-0.0115458085509876,-0.0423616048821762,-0.00722575303254904,0,0.0166633064443085,0,0.00346100139374142,0,0.0137863841899777,0.032561953858433,0.0220063218144584,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0.0082593120049868,0,0.0264615037237657,0.0104677256225111,0,0,0.0165246041775088,0.0232612416802227,0,-0.0167988323869231,-0.085958879826937,-0.0156949024563705,-0.000346907268583074,0,0,0,0,-0.0155826331517782
DXY.INDEX,0.00464256744414326,0,0,0.00119904414723761,0,-0.00911439336178523,0,0,0,-0.00115199447057396,0.0118260078637804,0,0,0.00075537412041008,-0.015554397559309,0,0,0,0,-0.0233253549680999
SPX.INDEX,0,0.00721720350720409,0.000564738963015851,0,0.0051249136929712,-0.00855671462795454,0.00267378047158487,0.00349348787167081,0.000547848513266408,0.00121038296530914,0,0,0,-0.0000850254374829276,0,0,0,0,0,-0.0293551426115754
VIX.INDEX,0.0184276156363796,0,0,0,-0.0254963704087505,-0.0966368088645815,-0.140796641509055,0,-0.0278098350727147,-0.02747686527005,0.0513460370145381,0,0.157430147694954,-0.0833400829211413,0.0832143852951213,0,0,0,0,0
