,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0550803284460605,-0.0424099322510537,0.0628346562925642,0.132407921459889,-0.0226073334660454,0.146698152830128,0,0,0,0,0,0,0.050703374727463,0,-0.101623493460647,0,0,0,-0.00898808908255261
ETH,0,0,0,0.123792466215293,0.152763618414919,0,0,0.372612212159081,0,0.0446929625360129,0.0829935833078128,0.110040429762262,0,0.0452870052518125,0.134896873466392,0,0,0,0,0
XRP,0,0.0778548366098755,0,0.0380231122529787,0.365457757992558,0,0,0.24793116193376,0,0,0,0.192056006994409,0,0,0,0,0,0,0,-0.0174389225265379
BCH,0,0.296441308729114,0.0689780125689246,0,0,0.00993754112709134,0,0.152599660307619,0,0.269174215130669,0,0,0,0,0,0,0,0,0,0
EOS,0,0.572355565514998,0,0,0,0.0518543558872851,0,0.126521837484339,0,0.0253121915090675,0.205079676679889,0,0,0.0222704474537726,0,0,0,0,0,0
XLM,0,0.179550110386241,0.155512060683636,0,0,0,0,0.136437666692449,0,0.16221342781709,0,0.0485325435278118,0,-0.0000000000000000000008470329472543,0,0,0,0,0,-0.0258074544006382
LTC,0.0919880454759162,0.213799740041012,0,0.120241887978509,0.0227893029000253,0.0516073143354207,0,0.00000000000000000173472347597681,0.108313266752915,0.118541406106027,0,0,0,0.119498687128195,0,0,0,0,0,0
ADA,0,0.0729307326298548,0.086027625621714,0.0835392271778555,0,0.0807623444970198,0,0,0.062004713430978,0.198820043357267,0,0,0.249134651798942,0,0.265350427656465,0,0,0,0,0.0429895062601276
XMR,0,0.305105507487546,0,0,0.179405755181126,0,0,0,0,0,0,0,0,0.304227295665392,0,0,0,0,0,0.00946194421158543
TRX,0,0.345148190342501,0,0,0,0.0865680211847082,0,0.0854684549530647,0,0,0.156669053650124,0.179833411596776,0,0.0717641802283192,0,0,0,0,0,-0.0530932651495532
DASH,0,0.190674212438981,0,0,0.162819386914859,-0.0398939398532286,0,0.164718197790824,0,-0.0000000000000000138777878078145,0,0.162248750226108,0,0.304981532217518,0,0,0,0,0,0.0578107995084387
MIOTA,0,0.183975197765838,0.0768497131897332,0,0,0,0,0,0,0.284311165707625,0,0,0.00637389091792387,0.390557175283449,0,0,0,0,0,-0.0130469003694611
BNB,0,0.180135571589303,-0.0135849249863154,0.0785007573511785,0,0,0.20148867860412,0,0.105217820969282,0,0.0147114424180104,0,0,0.0328290154445028,-0.000000000000000000433680868994202,0,0,0,0,-0.01770313180767
NEO,0,0,0,0,0.0956845772376806,0,0,0.0912049805573907,0,0.0633456488774828,0.089524023277843,0.633567135530767,0,0,0,0,0,0,0,0
ETC,0,0.196456820081534,-0.0419894620500609,0.132656761737764,0,0,0,0.178435909897784,0,0,0.0189350063031184,0.20638439213642,0,0.0514491593707496,0,0,0,0,0,-0.0521487335711108
BV010082.INDEX,0,0,0.0258835670270472,0.00341118853647248,0,0,0,0.000000000000000000216840434497101,0,0,-0.10523497050494,0,0,0,0,0,-0.0591202111335886,0,0.0934012892818617,-0.0347839737329233
CVIX.INDEX,0,0,0.0725915580827497,0.136796540504348,-0.329786317347508,0,-0.468787579108139,0,0.0495495351755159,0.105257219780108,0.0926449987586721,0.075312524781375,0.234986381992484,0,0.141495753402305,0,0,0,0,0.0465675045527038
DXY.INDEX,0,-0.0204648937728099,-0.0224487389455752,0.00756948716132214,0,0,-0.00122680294071133,0.0215682330119436,0,-0.00937151372250689,0.0000000000000000000135525271560688,0,-0.00851463438421328,0.0240370087991454,0,0,0,0,0,-0.00369269184706437
SPX.INDEX,0,0,-0.035868618692866,0,0,0,0,0,0,0,0.00216836415094353,0,0,0,0,0.0718664173603398,0,0,0,-0.12048488901195
VIX.INDEX,0,0,-0.0299509344672594,0.226109549997323,0,-0.23402992805263,0,0,0,0,0,0,0,-0.403857210017872,0.180874306357582,0,0,0,-5.93438645522411,0
