,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,ETC,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0690470844503583,0,0.361147785343981,0,0.00517111856908123,0,0,0.121325548242739,0.00000000000000000346944695195361,0.0738593463993064,0,0.0292562141110252,0,0,0,0,0,0,0
ETH,0,0,0,0,0.283271160343572,0,0.0964500355164534,0,0.0510541069445333,0.0918089823140638,0.025411227599621,0,0.105140305336177,0.0924788505568657,0.0210564172376989,0,0,0,0,0.0226273658209794
XRP,0,0,0,0,0.2358100134314,0.0130794433721088,0.0326404611800504,0,0.00000000000000000173472347597681,0.23276194624966,0.0877766442157559,0,0.135236360856538,0,0.0311099630737844,0,0,0,0,0
BCH,0,0,0,0,0.271865359939607,0,0,0.0935642834838761,0.221546246941207,0,0.17088191689381,0,0.0341120038460204,0,0,0,0,0,0,0
EOS,0,0,0,0.0648888983474331,0,0.194372546440507,0.557562390944291,0,0,0.0555828151227045,0.246767471498297,0,0,0.0625995307048551,0.127803030149958,0,0,0,0,0.00994631075635011
XLM,0,0,0,0,0,0,0,0.249706218209751,0.270104938273573,0.0740931077201983,0.185070425854316,0.0517108934232165,0,0.164908904561163,0.0445202986530875,0,0,0,0,0
LTC,0,0,0.209631889632651,0.302891641435585,0.0260916837910108,0,0,0,0,0.117202336306903,0,0.161551032856159,0.134713644892051,0,0,0,0,0,0,0.00380699777462965
ADA,0,0,0,0.15188942412247,-0.00000000000000000010842021724855,0.330093071241787,0,0,0,0.0375661640604168,0.166006462223945,0.124202623869326,0.00325581999985888,0.00981476390261038,0,0,0,0,0,0
XMR,0,0,0,0.18291700883142,0.207550327406016,0.00913320526056633,0,0.209113727947426,0,0,0,0,0.0451618979711071,0.175268037453124,0,0,0,0,0,0
MIOTA,0,0,0.170627860989801,0,0,0,0.0909304094143017,0,0,0,0.252992150409672,0,0,0.630790304926759,0,0,0,0,0,0.0185477148939866
TRX,0,0.0240901045334087,0,0.163649509306832,0.195502174715937,0.0701512914058712,0,0.248941605701793,0,0,0,0,0,0.0769312463367265,0.0677921421680087,0,0,0,0,0
DASH,0,-0.00000000000000000693889390390723,0,0,0,0,0,0.258190451270485,0.120113077214195,0.0240871919003755,0.00773508860888903,0,0.116240022054888,0.198000023729204,0,0,0,0,0,0
ETC,0.173564383177106,0.218297443709815,0,0.0000000000000000000135525271560688,0,0,0,0,0,0.388820418985657,0,0,0,0,0.174724893763825,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.00000000000000000693889390390723,0.337292687253273,0.393508946021477,0.157947302996842,0,0,0.124784945925326,0,0,0,0,0
BNB,0,0.512369868233379,0,0,0.00641882605510494,0,0,-0.00000000000000000693889390390723,0,0.149541238572902,0,-0.0846955178049462,0,0.0752158819588958,0,0,-0.0557973269130154,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00000000000000000173472347597681,0,0.0102445838385168,0.0203306521527751,0,0,0,0.0141220237662962,0.0101097645879806,0,0,-0.125294931806281,0,0,-0.0215231526526415
CVIX.INDEX,0,0,0,0,0,0,0.086187975682906,0,0.091556819691363,0,0,-0.29726978406475,0.114772828912836,0.100062616554174,0.0438967748206921,-0.534020083256546,0,0.313601924330877,0,0.0995287006791373
DXY.INDEX,0,-0.00907477456604327,0,0,0,0.0134029044417692,0,-0.0176540733362815,0.0161786880177734,-0.0159028818033265,0,0,0.0214746057734124,0,-0.00166851207624772,0,0.0966496254650119,0,0,-0.00147551055914104
SPX.INDEX,0,0,-0.00191158422152145,0.029189259251849,-0.00992512724778243,0,0,0.00571428518335718,-0.000000000000000000867361737988404,-0.0208619363908283,0,0,-0.00373877126875716,0,-0.0102483248312114,0,0.00971294723037997,0,0,-0.0591644662805171
VIX.INDEX,0.594494603253495,0,-0.383476451148945,0,0,-0.133056700967342,0,0,-0.128455797146766,-0.156842989063828,0.043698695415863,-0.00000000000000000346944695195361,0.16802051157494,0.113348775086959,0,0,0.274356657356063,0,-5.76174851456902,0
