,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0927010470774195,-0.0379962556987459,0,0,0.0175670240111553,0.0662383668767404,0,0.321443511912858,0.0572618730119742,0.17684631875262,0.0398202347454234,0,0,0,0,0,0
XRP,0,0,0.340689572643775,0.076694709043994,0,0,0,0,-0.000000000000000000216840434497101,0,0,0,0.0231819063713005,0.277980238736625,0,0,0,0,0,-0.0382183230617704
ETH,0,0.116356946576457,0,0.0175694290201861,0.0434469634861706,0,0,0,0.0420271235434729,0.316516468705603,0.292050524456507,0.0366969703635794,0,0,0.0843082098060922,0,0,0,0,0
XLM,0.0470293994200904,0,0.264800105042353,0,0.0409210135308743,0.0148334179675196,0,-0.0154887493353783,0.19756851770454,0.285891410938827,0,0,0.0495888940218772,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.507232070506027,0,0,0,0.158927127391214,0,0,0.341449770731614,0,0,0,0,0,0,0
EOS,0,0,0.537867774790463,0.224050536117609,0.039864386167082,0,0,0.00549302117234232,0,0,0,-0.272983571535456,0,0,0.274837591756292,0,0,0,0,-0.00705060147581681
LTC,0,0,0,0,0.114918260920744,0.0761066923915183,0,0,0.114843209731902,0.0356761655960837,0.103608128532033,0,0.140588186784811,0,0.19656015405115,0,0,0,0,0
BSV,1.73470749320467,-1.36926647383751,0,-0.197265101554173,0.520451320886169,0.874452472038238,-0.643996419222141,0,0,0,0,0.686640091505792,0,-0.511143051823733,0.201571704676178,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.00704446580483508,0,0.420325808340486,0.0736209843197332,0.237657987779835,0.194048554528078,0,0,0,0,0,0,-0.0136355606395243
ADA,0,0,0,0.0542429506902087,0.127744670932152,0.183013003600708,0,-0.00362860524015098,0.229955839846371,0,0.0651190754688496,0,0.204790953150971,0,0.105259598020091,0,0,0,0,0.00000000000000000346944695195361
XMR,0.439276093297461,0,0.345932937894659,0.0163584535620323,0,0,0,-0.0112387598014142,0,0.126707562586533,0,0,0,0,0.17906716264857,0,0,0,0,0
BNB,0,0,0.375044356845711,0,0.0726756069414855,0,0,0.0138531978610113,0.259178788383911,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0953772190518756,-0.00000000000000000693889390390723,0.140697621204131,0.0212492661375039,0.140300164901437,0,0.039390742281164,0.182039639946636,0.218286186275045,0,0,0,0.112630102335479,0,0,0,0,0,-0.0508419202798466
XEM,0,0,0,0.289417179228271,0.123093583941875,0,0,0,0,0.0606188302505556,0.0334906755279295,0,0.0894533988246782,0,0.102711650262664,0,0,0,0,0
DASH,0.336836761866682,0,0.198511892842649,0,0,0,0,-0.000000000000000000867361737988404,-0.0187097573701249,0.486310714297302,0,0.0416806695057083,0,0.030991397611258,0,0,0,0,0,0.0253034465457565
BV010082.INDEX,-0.100467524078861,-0.177770304491977,0.0899528484189339,-0.018692004494943,-0.0389083296621656,0.0974416435600043,0,0.0151230050189855,0,0,0,0.205411480799836,-0.19097910587306,0.118134879037605,0,0,0,0,0.516770379806221,0
CVIX.INDEX,-0.234756255333382,0.0394000498984886,0.0636389067688993,0,0,0.240831117563237,0,0,0,0,0,-0.0417166202643783,0,0.0537863423258414,0,0,0,0,0,0.0717610756489848
DXY.INDEX,0,0,-0.000000000000000000867361737988404,-0.020635411210306,-0.000805024758255008,0,0,0.00645146524982269,-0.0257886833900904,0,0.0214365203696166,0,0.0113020172930234,0.0104212296962394,0,0.0486122064847812,0.031753892288733,0,0,0.000706708125384524
SPX.INDEX,0,-0.0562138745270656,0,0,0,0,0,0.00640958990258544,0,0,0,0,0,0.0202036684154376,0.0124538575859358,0.0125500316133803,0,0,0,-0.118221785008778
VIX.INDEX,0,0,0,0,0.197407720640249,-0.576106245057264,0,0.0248183959435037,-0.159838414298627,0,-0.05395345853544,0.185043794595303,0.18155251786813,0.218451528729719,0,0,1.18085499764635,0,-5.78545219502794,0
