,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0426414846126031,0,0.0800634067270612,0.00756355792511069,0,0.0998092228244929,0,0.00450322612874312,0.121381372216003,0,0,0,0.0466718463759658,0.0523287820304719,0,0,0,0,0
ETH,0,0,0.250002107768997,0.106531815141322,0.0087588813201061,0,0,0.111356048246936,0.0554761379862857,0.132707420910096,0.05183219990919,0,0,0.0704833647846432,0.0814737368747254,0,0,0,0,0
XRP,0,0,0,-0.000000000000000000216840434497101,0,0,0.21956772949468,0.0193160445808164,0,0.209380708423196,0,0,0.0499676434500625,0,0.0790253198757718,0,0,0,0,0
BCH,0,0.294228113349482,0.0676195251817929,0,0,0,0.0135306232655011,0.169930781700137,0,0.201087408998347,0,0,0,0,0.0692507807514483,0,0,0,0,0
EOS,0,0,0,0.188434741848069,0,-0.550540611217489,0,0.338404530377584,0.0265499061041648,-0.00610609646450757,0.417908956470601,-0.505816232112555,0.888649453416984,0.148839263372611,0.191992522967829,0,0,0,0,0
LTC,0,0.0674549643628972,0.274772809953657,0.0573176745357802,0,0,0.0680034020946408,0.00000000000000000346944695195361,0,-0.000000000000000000867361737988404,0.0988371331260671,0.118025893537602,0.00515763914926469,0.0735121352641515,0.0353204035428111,0,0,0,0,0
XLM,0,0.0679744769612511,0,0.0799980368794848,0.215701494471217,0,0,0.264221599854626,0,0.034211939011917,0.0411431509900963,0,0,0,0,0,0,0,0,0
ADA,0,0.0442125205673569,0.119948640962484,0,0.152615691412122,0,0.212052844317984,0,0.0859632307786083,0.154273328250282,0,0,0.0349973306690647,0.0302582725880852,0.0471135500815507,0,0,0,0,0
TRX,0,0,0,0.164873941875907,0.287131202564935,0,0.20825973171783,0,0,-0.0315728494284827,0.156806843449951,0,0,0,0.0868946721287492,0,0,0,0,0.0100950019250401
MIOTA,0,0,0.184869358361334,0.0679743201870382,0,0,0.462829611264075,0.225493498753009,0,0,0.0543069926521739,0,0,0,0,0,0,0,0,0.119446696794508
NEO,0,0,0.130546772551609,0.0972154592170406,0,0,0.157541199421306,0.151097599772906,0,0.0922170590423349,0,0.192270396669801,0,0.0176276537045726,-0.000000000000000000867361737988404,0,0,0,0,0
DASH,0,0.333281250526163,0.00000000000000000346944695195361,0.0624614536510147,0,0,0,0,0,0.0472474702263724,0.157830355948058,0,0,0,0,0,0,0,0,-0.0148616212181616
XMR,0,0,0.254077844509004,0.166336786091378,0,0,0,0.187765849758798,0.0391444843893157,0.057332481827594,0,0.00125972073924122,0,0,0,0,0,0,0,0
BNB,0,0.248946004324782,0,-0.00000000000000000173472347597681,-0.0553307887532998,0,0.0474701390495706,0.343630184312456,0,0,0,0,0,0,0.0757040454813992,0,0,0,0,-0.0431746470319215
ETC,0,0,0.21577382684861,0.246979081928481,0,0,0.227206983340412,0.0263890983133885,0,0.0966515149690473,0,0,0,0.00177110994526926,0,0,0,0,0,0
BV010082.INDEX,0,0.036957231488376,0,0,-0.040383961949093,0,-0.0827020240477061,0,0.0904737814226815,0,0,0,0.183290248015101,-0.0415519399181365,-0.0576693960516203,0,0,0,0,-0.282213170417685
CVIX.INDEX,0,0,0,-0.00000000000000000173472347597681,0.0512213400328064,0.0974746928151631,-0.0304686219765166,-0.175735593895046,0.146001790297716,0.0883840106324979,0.0125290550835214,-0.233872758294333,-0.0162210064223249,0.0430242281975184,0.0784962890082144,0,0,0,0,0.0880317741331403
DXY.INDEX,0,0,0.0288284254386559,0.00279550933613303,0.018247820114297,0,-0.0351060560019108,0,0.00699455487889666,-0.01463521624488,0,-0.00346183710297543,0,0.00492992394315782,0.0146675058393063,-0.0645544903173818,0,0,0,0.000199312769006177
SPX.INDEX,0,0,0,-0.00259091292358253,-0.0129283411365049,0,0,0,0.00957075472410751,-0.0111990487012809,0,0,0.0113530336533462,0.000794600881814897,0.0164211341334751,0,0,0,0,-0.0841454368381953
VIX.INDEX,0,0,0,-0.101103744009766,-0.303306387750567,0,-0.410481600262555,0,0.00000000000000000693889390390723,0.157653874344054,0.588328565689167,0.303623529694331,0.139864867659854,-0.205945021024083,0,-1.34795826105217,-0.353521836133216,0,-0.305203316505243,0
