,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.130188439956049,0,0.0752454328044231,0.0675193118621969,0.0328206350451612,0.00713378759961373,0.0553639906224343,0,0,0.0610980753586491,0,0.0107593250928761,0.0355663545730848,0.0365843713817869,0,0,0,0,0
ETH,0,0,0,0,0.328937138473268,0,0,0,0,0.0952694767090292,0.0565646721822422,0.108946347169485,0,0,0,0,0,0,0,0
XRP,0,0.106552764703105,0,0,0.0435489268266396,-0.0196304642987609,0,0.133786280608484,0.0864606389800538,0.100764226462402,0,0.13128667416155,0,0.140800147169325,0,0,0,0,0,-0.0146668365151815
BCH,0,0.0144754318580044,0.0257473975066433,0,0.387412473303763,0,-0.0474252463355833,0.109369939006679,0.1804397320275,0,0.300022285454356,0,0,0,0,0,0,0,0,0
EOS,0,0.269984816540613,0,0.0815451903793921,0,0.330883127538516,0,0.0158282009934357,0.0818820754813285,0,-0.121896893788643,0.243285006114853,0,0.0468317385922206,0.189653672807075,0,0,0,0,0
LTC,0,0,0,0.155691752152052,0.269091214679043,0,0.0804522503372708,0,0.150801422094895,0,0.208911713905072,0,0,0,0.0416720591652458,0,0,0,0,0.0254320532721954
BNB,0,0,0,-0.215687919532177,0,0.370476390102162,0,0,0,0,-0.0786982951460431,0.231352729975228,0.127874439364091,0,0.0548899459791298,0.00894622426212165,0,0,0,-0.155119786573
XLM,0,0.27393064011907,0,0.111853337401681,0.016410854384213,0,0,0,0,0.0355726280753492,0,0.0687926739615047,0.073879373106214,0.113069123443983,0,0,0,0,0,0
ADA,0,0,0.284635348343032,0.22209747984985,0,0.239053560370907,0,0.0492131159880718,0,-0.0284570982594805,0,0,0,0.189665661349455,0.0278979394805863,0,0,0,0,0
TRX,0,0,0.118995254442763,0,0,0,0,0.168972862598523,0,0,0.194769097061759,0.242135687425204,0,0.216805874461191,0.0244927190381851,0,0,0,0,0.0924163235104462
BSV,0,0,0.0632151696683799,0.124931379771816,0,0.181428920130465,0,0.110803686127967,0.0173212828585383,0,0,0,0,0,0.305187052360116,0,0,0,0,0
XMR,0,0.245602225706328,0,0,0,0,0,0.188645746156109,0,0.176328072061839,0,0,0.0951144531384678,0,0,0,0,0,0,0
DASH,0,0.255274068748171,0,0,0,0.126232171706016,0,0.0420999841156091,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.284045995872284,0,0,0.013499747504247,0.012619039634106,0.0359377478629401,0,0.0935396548544733,0,0,0.284972711449452,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.149527383198571,0,0.137806627016167,0,0.364364671461702,0.0704003910287297,0.0557236212650457,0.0245984712101047,0,0,0,0,0,0,0,0.0199201558360785
BV010082.INDEX,0,0,0,0,0,0,0.0850836610101075,0,-0.0636095399727226,0,0.169903929564422,0.0647931326702368,0,-0.236126810469022,-0.0178700630808394,0,-0.135151072473896,0,0,-0.101625465363358
CVIX.INDEX,0,0,-0.508963193687332,-0.290348009259872,-0.0747994454962294,0.450791461103048,-0.190450033905282,0.332361847640164,0.100019962085814,0,-0.0749587096362467,-0.244241896669756,0,0,0.0925467384009189,-0.546482468614129,0,0,0,-0.110496642243894
DXY.INDEX,0,0,0.00476869224727133,0,-0.000120948475061266,0,0.0068023646836602,0.0134932799794099,0,0,0.019133714294305,0.0105923192345563,0.018439676761883,-0.0634037912564632,-0.0134085708154375,0,0.0148749505952908,0,0,0
SPX.INDEX,0,0,0,0.0156332099791592,0.00490581583394976,0,-0.00487713718738616,0,-0.0377013573596132,0,0,0.0218297358559484,0,0,0.0236556610892641,0,-0.00165693653838507,0,0,-0.0777726129593646
VIX.INDEX,0,0,0,0,-0.361224877614499,0,0.227132487996918,0,0,0.266128124747563,0.282102288704968,0,-0.461541803938224,0,0.146577222718126,-0.24624355626776,0.0701759115699668,0,-3.18647399629491,0
