,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,XMR,ADA,TRX,DASH,MIOTA,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0877127457795991,0.0300264706982624,0,0.0204877788242633,0.385334211326125,0,0.0907386314962958,0,0,0,0.0701875130991313,0,0,0,0,0
XRP,0,0,0.530972755604456,0.0682385695763114,0.0654336891035334,0,0,0,0,0,0,0,0,0.226210014132294,0,0,0,0,0,-0.0569490171407769
ETH,0,0.181238125112722,0,0.0491728671194374,0.0897805613035013,0,0,0,0.244437945065366,0.0453871381213199,0.117933781473805,0.176059659468266,0.124595407700419,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0.97377058112169,0,0,0,0,0.0529436149467221,0,0,0,0,0.0766284821013774
XLM,0.32717710202193,0.0687102172637678,0,0,0,0,0,-0.00977768280088959,0,0.618287871496053,0.00727276926803059,0,0,0,0,0,0,0,0,0
EOS,0,0,0.268279456812199,0.124095316785171,0.180874978800924,0,0,0,0,0,0.077675546978503,0,0.0828965387523744,0,0,0,0,0,0,-0.0174045315595445
LTC,0,0,0.0588147687630639,0.146737798656941,0,0,0,0,0.12032053031743,0.0675288454769046,0.100939129487302,0.160059366536504,0.112951055521928,0,0,0,0,0,0,0
BSV,2.59049237287273,-0.36018870222004,0,0.361248216701391,-0.55054063476068,0,-0.921516042389935,0,0,0,0.444929839768506,0.475236974257924,0.932048185355622,-1.48096823421712,0,0,0,0,0,-0.184239515019975
XMR,0.617998401514623,0,0.123871266639687,0,0,0,0,-0.00333111371408801,0,0.0417823733137587,0.0548499016882688,0.28886986560413,0,0,0,0,0,0,0,0
ADA,0,0.0360162500587865,0,0.0885019872848048,0.0917229491782821,0,0,-0.00118665414938558,0.126084701183598,0,0.415350692115064,0,0.136568252401653,0,0,0,0,0,0,0
TRX,0,0,0.332506781711142,0,0,0,0,0,0.0567369667166131,0.202659812534411,0,0.216978263084895,0.0996426203986733,0,0,0,0,0,0,-0.0581088680799602
DASH,0,0,0.323058019799468,0,0,0,0,0.00718019950756447,0,0.281849938037953,0,0,0,0,0.174623685272909,0,0,0,0,0.000149315486138786
MIOTA,0,0.0321417631331074,0.128608882200161,0.00496450451566702,0.0742577578965714,0.186009195250763,0,0.0330088148904238,-0.00000000000000000693889390390723,0.310840537661815,0.136375041536024,0,0,0.09933821498279,0,0,0,0,0,-0.0296851526900608
XEM,0,0,0,0.0800317094560495,0.2338263433817,0,0,0,-0.00000000000000000173472347597681,0.325700865573477,0,0,0.046984587516618,0,0,0,0,0,0,0
BNB,0,0,0.523092337620315,0.0274798033268334,0,0,0,0.014351420981879,0,0,0.253262733952474,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0192624097090961,0,-0.0401247116830994,-0.131094230927272,0,0.04782809859898,0.000000000000000000216840434497101,0,0,0.0490705369931763,0,0,0.0262257183427533,0.127221641583751,0,0,0,0.752528110625905,0.0347436156480943
CVIX.INDEX,0,0.0485455934238924,0.212889635868245,-0.0961649155031513,-0.155668563515941,0,-0.190244130739356,0,0,0,0,0,0.249096711743705,-0.0153089714008747,0.00791560334216181,0,0,0,0,0.0381711272469321
DXY.INDEX,0,-0.00389069924693563,0,0,-0.0153638273023701,0,-0.0391819854873722,0.00562367610535463,0.0199511284566185,0,-0.00703567027887683,0,0.0230557989267398,0.00762361245172813,0,0.0404538439915895,0.046344399118373,0,0,0.00310852575724016
SPX.INDEX,0,-0.0603773409080662,0,0,0,0,0,0.00464415182182504,0,0,0,0,0,0.0370609016095534,0,0.0083730407246506,0.000829238320445453,0,0,-0.118572461613113
VIX.INDEX,0,0,0,0.154981724910248,-0.0627834478895952,0,0,-0.00312128621106754,-0.179628272526076,0,-0.139280570226594,0,0.0640890970827575,0.214270570685391,0,0,1.33160735802083,0,-5.51704443390565,0
