,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.000385352449506542,0,0.474433421229134,-0.043664609670227,-0.206403896821646,0.150209465560522,0,0,0,0.0819177198038729,0,-0.0576475950716686,0,0,0,0,0,-0.0601933932883685
ETH,0,0,0,0.0610875327624344,0.191846427956765,0,0.00389877059116336,0.0420596667624394,0.134026015060223,0.181906155246477,0.0576992806319041,0.0622844179580232,0,0.0260146874241537,0,0,0,0,0,0
BCH,0.402992901947207,0,0,0,0,0,-0.0630931638914342,0.217224848023002,0.283021673830007,0.0880151160126813,0.000000000000000000433680868994202,-0.0230334258146512,0,-0.236003210812522,0.0532975510986832,0,0,0,0,0
XRP,0,0.303720429024421,0,0,0,0,0.113734338389538,0.127112020962997,0.0321198925945131,0,0.024646192102126,0.036478814170972,0,0,0.00574487246103965,0,0,0,0,0
LTC,0.201548980086532,0,0,0.288304382819688,0,0,0,-0.00000000000000000693889390390723,0.111520390128644,0.146275604907123,0.166009649532865,0.0170658549822127,0,0,0,0,0,0,0,0
DASH,0,0,0.125364752897741,0,0.117527905518481,0,0.0365151632737016,0.0637926018248576,0.219074963541088,0.0586373902179918,-0.00000000000000000173472347597681,0,0,0,-0.00428476029580718,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0964092718927039,0,0.368638222259018,0,0.115408015944207,0,0.0687600739221215,0,0,0.0136665690706948,0,0,0,0,0
NEO,-0.029847050661243,0.412714517575452,0.0642342854662035,0,0,0,0,0,0.12279145392233,0,0,-0.0412010459173097,0.21538309618052,0.093548691710869,0.130740649145694,0,0,0,0,0
XMR,0,0,-0.0257888965028456,0.0317442338813389,0.0477892057820814,0.00237380086229152,0,0.0619497741360262,0,0.305203256817086,0.177939131966775,-0.0400856030752424,0.199939984490295,0.138583741037548,0.0207710626828145,0,0,0,0,0
XEM,0,0.535455307758659,0,0,0.143499521967577,0.109946420418553,0,0.0745931622571874,0,0,0.0442354047062813,-0.00457911585404395,0,0.0307129766593383,0.119308787092538,0,0,0,0,0
ETC,0.094237069956345,0,0.104387749461232,0,0.423013183378402,-0.041796456338431,0,0.0269674644922322,0,0.203498448353901,0,0.0267376075037703,0,0,0.019938985119503,0,0,0,0,0
EOS,0.19167262958119,0,0,0,0.113364718707748,0,0,0.0201881234663775,0,0,0.19583967028786,0,0.527776881535835,0,0.0533364850661014,0,0,0,0,0
ZEC,0,0,0,0,0.00000000000000000173472347597681,0.239016520459878,0,0,0.307018862483109,0,0,0.0628682824436807,0,0.0259853690334752,0.0491678490463767,0,0,0,0,0.0539367049953511
ADA,0,0,-0.226290360720794,0,0,-0.113519788772862,0.260868758324883,0.223854999909519,0,0.34022239630531,0,-0.336263400419767,0,0,-0.0962199791027135,0,0,0,0,0.336427173257126
XLM,0,0,0,0.231205051805771,0,-0.0120805673470353,0.308323543542052,0.374702481421706,0,0,0.00872036437914462,0.142278998952739,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00988761228453333,0,0,0.00545653973408204,0,0,0,0,0
CVIX.INDEX,0,0,0.0255780944428353,0,-0.0799296194620791,0,0,-0.0239430273879985,-0.00629536967574145,0.0874180097645148,0,-0.011147087926058,-0.0202307352815058,0.0369025027646753,0.0144107228965552,0,0,0,0,0.0930615333169572
DXY.INDEX,-0.0289875431428886,0.00108375605480417,-0.00466736042535208,0,0,-0.0192708293737924,-0.0153400791550627,0.00155257799982478,0.00958958391702729,0.00891815940575842,0,0.00296992106522211,0.00497405184662299,-0.00545775005608049,0.00175451550794752,0.115991651635732,0,0,0,0
SPX.INDEX,-0.00673565641149837,0,-0.00224767385462552,0,0.00433948597450493,0.00663649109272386,0.0044754286736388,0,0.00513865232079732,0.00209063077874481,0,0.00416484348350638,-0.0262943300879069,0,0.00129021381063372,0,0,0,0,-0.0381327135648615
VIX.INDEX,0,0,0,0.140010920520764,0,0,0.0837304044485414,0.0235301410003286,0,0,-0.0429468755778043,0,0,0.0327555472433632,0,0,0,0,0,0
