,BTC,ETH,XRP,BCH,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.147954651568816,-0.241274020868025,0.0889687619193034,-0.0395409420771375,0,0.00571711548625374,0.0386621485582028,0,0,0.0440528330960198,0,0,0,0,0,0,0
ETH,-0.188404815712434,0,0.043410956241853,-0.068014184873611,0.186289346074405,0,0,-0.0317698421065636,0.00266918639348378,0.0499209041164812,0.111212837035585,0.0557843491712244,-0.0125740227128162,0.109425426388314,0.0773537188381823,0,0,0,0,0
XRP,0,0.0565902021581943,0,0.00845909841101736,0.0840417505545826,0,0,0.0636903240751047,0.0509044107190567,0,0.0131840326570546,0,0,0,0.126944837764853,0,0,0,0,0
BCH,0,0,0.197436979708667,0,0,0,0,-0.041711589079794,0,0.113724138243539,0,0,0.0776907831673634,0.0889002376713933,0,0,0,0,0,0
LTC,0,0.117133029215648,-0.0696376476365696,-0.123240467949262,0,0.0165033199372543,0,0,0,0,0,0,0,0,0.26212234900687,0,0,0,0,0
MIOTA,0,-0.137240432540283,-0.334150957193916,-0.0130529446313184,0,0,0.0257208354569204,0.166212280689084,0.236638648730613,-0.137187456402406,0.31585623538613,0,0.0808573915233688,0.0906416339336138,0.203257441289007,0,0,0,0,0.0354569086260322
DASH,-0.182810072888673,0,-0.151428693132421,0.00458746126609991,0.0793510928659237,0.0179137882058268,0,0,0.0283166601930416,0.00435544189563726,0.0368041472157423,-0.0117380637754023,-0.0259116092691607,0.0978791904394414,0.135669523462674,0,0,0,0,0
ADA,0,0,0.325541107328125,-0.0967414729237346,0,0.0369865761376584,0,0,0.0855002332610317,0,0,0,0.0580811378302061,0.109652791007252,0.358561177512209,0,0,0,0,0
XEM,0,0,0.118194493373368,0,0,0,0.163467617680018,0.104504175760532,0,0.025692409384102,0,0.0314449914839503,0.195035022022084,0.147592539852322,0,0,0,0,0,0
BTG,0.363154563132965,0,0,0.977757145826327,0.672417829697843,0,-0.382968275705391,0,0.00403951975937975,0,0,-0.690860022005542,0,0,0.299587696426657,0,0,0,0,-0.190421588860539
XMR,0.209970172822107,0.105185802307612,0.0971331191419058,-0.0607889962125566,0.0413343537891194,0.0722414103260244,0.0537400596219789,0.0464881743896918,-0.0233708458414397,0,0,-0.0415643656472026,0,0.276962765256371,0.170720985587554,0,0,0,0,0
EOS,0,0.115934882889186,0.191605898913377,0,0.172851278096301,-0.162151203368779,0.136712550145731,0.0243416005328522,0.0755248922949789,0,0,0,0.0609712106092351,0.372072797189761,0.039810324563153,0.788256472264767,0,0,0,0.20971876848306
XLM,0,0,0.0974572552108025,0,0,0.389046600251172,0,0.114642387227232,0,-0.0895304759113902,0.234790700010197,0.358768247479632,0,0,0.116677475971023,0,0,0,0,-0.196675916813944
NEO,0,0.474408114309256,0,0.0522221551943206,0.148497068118746,-0.0516686761315876,0,0,0.00871908029363297,-0.108418000242747,0,0.0634402202950131,0,0,0.0975798642061277,0,0,0,0,0
ETC,0,0.0981804501441159,0,0.138510517076163,0.165662457865119,0.0290989165905114,-0.345687133069062,0.175145772663277,0.0542981471908161,0,0,0,0,0.177154590161162,0,0,0,0,0,0
BV010082.INDEX,-0.0424138372628365,0,-0.00836462088590037,-0.0445365356375026,0,0.0141507899622469,0.0232309368645798,-0.0167761189146366,0,0.00243520969171341,-0.00848200779003315,0.00606924491394374,0.00587078973347181,0,0.0276346377126979,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0.00000000000000000010842021724855,0,-0.000149395665788384,0.0318858870563738,-0.00142221838064654,0,-0.0225146864666043,0.020254560152874,0,0,0,0,0,0,0.0958346022686723
DXY.INDEX,-0.0243431616851507,0,-0.00387911584906886,-0.0146742464872219,-0.00686344068267449,0,-0.00202675502591958,0,0.00423024586914434,-0.00415636707784348,-0.00269460993078705,0.00213615614878635,0.00207138286224878,-0.000266690551769556,0,0,-0.088983109620306,0,0,-0.0210686298253261
SPX.INDEX,-0.00753497822236026,0,0,0,0,0,0,0,0.00120159644094446,0.00117995433104553,0,0,0,0.0106515270637207,0,0,0,0,0,-0.0256714417479002
VIX.INDEX,0,0,0.108956571813368,-0.0526377101254709,-0.122280031843727,0.162919717723713,0.170026392218136,0.0424292655915669,-0.0743255603261276,0.0207615893959461,-0.345560265986443,0.161224984515198,0,-0.0834737516386223,0.020894672825181,0,0.460184620747533,0,0,0
