,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0167639055256588,0.145145447811747,0,0.175575491137859,0.119341398773357,0.0622917470612749,0.114859794649094,0.132448174505082,0,0,0.101260246222352,0,0,0,0,0
ETH,0,0,0.183725236494997,0.217695406819195,0,0,0,0.04725095016447,0.0634882141595455,0,0,0.103307651710863,0.159855625466762,0,0,0,0,0.0815184891817931
DASH,0,0.388826795779062,0,0,0,0,0,-0.0050265961584092,0,0,0,0.170040533448283,0.252732729761372,0,0,0,0,0
XMR,0,0.569398383246772,0.00000000000000000173472347597681,0,0,0.142614412673204,0,0,0,0.276032540804116,0,0,0,0,0,0,0,-0.0760961618939677
XRP,0,-0.0321815818633773,0,0,0,0,-0.071705451500402,0.00820255415189161,0.0406605821886498,0.441710477386536,0,0,0,0.319262396693613,0,0,0,0
LTC,0.240841845308049,0,-0.0280553754722427,0.0278142724231249,0,0,0.181072034560326,0.0314822503249207,0,0.0602245622518663,0.144637747470265,0.0492157174595649,0,0,0,0,0,0
ETC,0.30684878390175,0,0.111260287287753,0,0,0.323745363502573,0,-0.0373421947187465,0.0809811239146328,0,0.169670781454028,0.105373164739698,0.0571325007000893,0,-0.428691310336534,0,0,0.0317931135831777
XEM,0,0.464219320702843,-0.203843400449614,0,0,0,0,0,0.117456053782123,-0.335362162851701,0.102692774023607,0.259614073313815,0,0,0,0,0,0
ZEC,0.185852632814713,0.349248893686237,0.208457442520215,-0.242035859937971,-0.151337188249418,0,0.0955401620163032,-0.057445887780619,0,0.347290005388175,0,0.00205424925319608,0.0412623865859623,0,-0.143924944136213,0,0,0
DOGE,0.195831052591982,0,0,0.113780699409811,0.185202614718966,0,0,-0.0156891424243849,0.168963606553452,0,0.0521302291985921,-0.0456164388582495,0.0334685999941366,0,0,0,0,0
XLM,0,0,-0.0582194708542252,0.286914905502014,0,0.0862028416496239,0,0.0124900446786314,-0.104041482294275,0,0,0.0610335355708373,0.241032204597943,-0.326253515121263,0,0,0,0
NEO,0.0612155927905274,-0.209237502171438,0,0,-0.324332708142536,0.189719041172486,0.216687767536853,-0.110783401534716,0.265764574526207,0,0.0323912535666946,0,0.154724509328646,0,0,0,0,0
DGB,0.722685379605956,0,-0.160361039012568,0,-0.021538520872773,-0.634480563704349,0.174106950817697,0,0,0,0.110866349529933,0.389154882085657,0,0,0,0,0,-0.119544438991206
BV010082.INDEX,-0.0648118290467307,-0.00987390056389295,0.0239046966048318,0.0456169807869942,0.0982676143151542,-0.160893861227274,-0.0177450337068889,0.0106178529114831,0.0573956177415284,0.0996625738638782,0.0537753234184985,-0.0160065543537889,-0.03182473049639,0,-0.100988571404165,1.11171810161304,0,-0.000000000000000000433680868994202
CVIX.INDEX,0.0719379079458607,0.171638448926199,0.043060420912797,0,0.0961775055557986,0,0,-0.117312482581014,-0.221499801220085,0,0,-0.0449912812600573,0,0,0,0,0,0.136408349809918
DXY.INDEX,0.0288517329951277,0.0114603589551568,-0.0154014622036829,0,0,0,0,-0.0216802972360996,0,0,0.00324497650989554,0.0122147280441341,-0.00209688456376746,0.154984905086346,0.0390709631494228,0,0,-0.0175546270153756
SPX.INDEX,0,0.0184340237891047,0.000554907024165011,0,-0.0109078846525401,0,-0.0146245489318377,0,0,0,0.0150821658704296,0,0.00132386317527995,0,-0.0131196167830648,0,0,-0.0293504651689101
VIX.INDEX,0,0,0.0770647766605787,0,0,0.369982336880108,-0.491550183576347,-0.226953263061476,0,0,0.161249180923878,0,-0.0733280097978755,0,0.177025021330311,0,0,0
