,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.176503344301388,0.102212396675316,0,0,0.000000000000000000867361737988404,0.0884289467012468,0.0294387727819976,0.231946182546251,0.0925310292525712,0,0,0,0,0,0
XRP,0,0,0.185817173081963,0.0373060690990563,0,0.0582321220215908,0.181782933199829,0,-0.00507012122453576,0.0188480998407032,0.0334004234568459,0,0,0.0541455679082589,0.0601983148318444,0,0,0,0,0
ETH,0,0,0,0.123690515379652,0.185410419258917,0,-0.0000000000000000138777878078145,0.0625050855270089,0,0,0.167432239569769,0.200985943374567,0.0789741443502362,0.0730594612590373,0,0,0,0,0,0
BCH,0,0,0,0,0.225511477460079,0.336620484353689,0,0,0.143745970843547,0,0.040954565734909,0.0437567471677079,0,0.331412587023361,0,0,0,0,0,0.00823251137687666
EOS,0,0,0,0,0,0,0.00000000000000000173472347597681,-0.0349174570350433,0,0.663459973050672,0.171806398795087,0,0,0.143528060639367,0,0,0,0,0,0
XLM,0,0,0,0.0577257839974076,0.0579182734550826,0,0,0,-0.0158665026663283,0.211704664322308,0.10185164296046,0.0604952462402626,0.349145978120306,0.000000000000000000433680868994202,0,0,0,0,0,0
LTC,0,0,0.045654530573094,0,0.279261936967305,0.047555010913836,0,0,0.063177426688159,0,0,0.04966464246117,0.242649247398446,0,0,0,0,0,0,-0.0168388414689304
TRX,0,0,0,0,0,0,0,0,0.0106530548539759,0.506925468580431,0.115279906353491,0,0,0,0.0672207862879145,0,0,0,0,0
BSV,0,0,0.0067975388902536,0.351396620563905,0,0.574147907909369,0,0.26823575940077,0,0,0,-0.010524808891273,0,0.189863141872692,-0.632799549640985,0,0.274928316604227,0,0,0
ADA,0,0,0.0607530662565085,0.081261903139061,0.298149219822605,0,0,0.156930175494283,-0.0122823683413009,0,0,0.134463487913538,0.177567367044919,0,0,0,0,0,0,0
BNB,0.338614113046742,0,0,0.106301163185043,0.21747786073197,0.229007716255456,0.00253907665562338,0,-0.202189575415343,0.27796818293924,0,-0.0221885996323276,0,0,-0.154958725898709,0,-0.197935737224334,0,0,0
MIOTA,0,0,0,0.0522258357666539,0.320489296684508,0.153159842913419,0,0,0.0809080475156852,0,0,0,0.201967468842556,0,0.12362406976139,0,0,0,0,0
XMR,0,0,0.181333422429025,0.0208138586623608,0.0419859737618607,0.302420733219539,0.0658053457076836,0,0,0.1656025807527,0,0.0291877146108055,0,0.0332284594231388,0,0,0,0,0,-0.0508849522941931
DASH,0,0,0,0,0,0.489420057050131,0.0123206055389115,0,0,0,0.0783856546868755,0.0325472631123307,0.473456680295862,0,0,0,0,0,0,0
XEM,0,0.3854489952061,0,0.0617096380221626,-0.0272911097987877,0.269149259304887,0,0.0770493437102267,0.0634979770421375,-0.0000000000000000138777878078145,0,0,0.124447933042757,0,0,0,0,0,0,-0.0854485601971465
BV010082.INDEX,0,0,-0.266141351702465,-0.0302915619769421,0.0678506177983071,-0.0244650259897353,0.011797408699087,0,0.00564883959673698,0,0,0.0604041359405268,0.00109134257044737,0,0.215625817558497,0,0,0,0,-0.0742449265249504
CVIX.INDEX,0,0,0.286068801670101,0.0763634635858055,-0.389591787761818,0.267457497720756,0,-0.231797917895698,0.016514715537114,0.13097470776266,-0.0589095718413615,0.0742611945408798,-0.370052363432779,0.0775576073833002,0.00000000000000000346944695195361,0,0,0,0,-0.00386440863008124
DXY.INDEX,0,-0.00494843844774959,0,-0.00650738189225288,0,0,0,-0.0447749515439052,0.00372036836013311,0.0159742638432606,-0.00482787802586641,-0.0000900240575975072,0.012506978095461,0.00464495594231933,0.0270251212635931,0.0632088283056626,-0.00518452746504879,0,0,0.0107330549359819
SPX.INDEX,0,0,0,-0.0158807071013081,-0.00184496058225905,0,0,0.0186471995726126,0.0193002913640774,0,0,0,0,-0.0360554655788013,0.0337223149968838,0.0887889782960478,-0.0476412028546981,0,0,-0.141108765440765
VIX.INDEX,0,0,-0.623535563986614,0,0.151964978085871,0,-0.073542189919043,0.502544555442486,0.14737480885546,0,0,0,0,0,0,-0.969936471750124,0,0,-2.2208872524143,0
