,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.234198084445955,0,0.0871365612943354,0,0.0971808398180282,0.0085753882295471,0.044861046846807,0,0.118635291994907,0,0.013366891267433,0,0,0,0,0,0
ETH,0,0,0.0260676465121539,0.002799153380703,0.0721306338686823,0.109023885798593,0.0781619651680409,0.158192232558031,0,0,0.303396577391173,0,0,0,0.0828905365096834,0,0,0,0,0
XRP,0,0,0,-0.0433330441570643,0,-0.0338152315725116,0.251336716817772,0.0395546225709083,0.159070970928622,0,0,0,0.184323152450471,0.403970452908199,0.0444925972606651,0,0,0,0,-0.0254508319269548
BCH,0.0233676981723129,0,0.0115577639770421,0,0,0.180658624594173,0,0,0.225053871778926,0,0.110562665603701,0.23567031967305,-0.00000000000000000173472347597681,0,0.132664582369759,0,0,0,0,-0.00757206165931729
LTC,0,0,0.0144188455181966,0.151724832177603,0,0,0.0655377611026229,0,0,0.152336541005083,0,0.031826180265136,0,0.0123673417598179,0.15150386444086,0,0,0,0,0
NEO,0,0.113890102130048,0.000593503132111204,0.111730930601467,0,0,0,0.141268864348011,0.0808170261426807,0,0,0.0389246517083985,0,0,0.276302957257881,0,0,0,0,0
XLM,0,0,0.272026075099017,0.0351029811666247,0,0.0808202138142439,0,0.168828210247176,0,0.0562354229069638,0,0,0.00000000000000000346944695195361,0.117412869988121,0.14414320107728,0,0,0,0,0
ADA,0,0,0,0.0171105409695659,0.0639072620074918,-0.00000000000000000346944695195361,0,0,0.095579511753936,0.0560121298588359,0,0.216260132004204,0,0.156319045808558,0.0926510849614995,0,0,0,0,0
XMR,0,0,0.0392630835267996,0.0737135703943574,0.100685849189417,0.217352891865542,0,0.238346700229396,0,0.0545257813382315,0,0.117118119954822,0,0,0.028141194250368,0,0,0,0,0
EOS,0.060959123373515,0,0.134225886659239,0,0,-0.110905285922473,0.0486825305925345,0,0.271816708660305,0,0.0795143293507331,0,0,0.0202288782609408,0.449898511074846,0,0,0,0,-0.0168573282792023
DASH,0,0,0,0.0692891112898138,0,0,0,0,0.0856548956560874,0.114078522499285,0,0,0,0.19275955551038,0.129485810260225,0,0,0,0,0
MIOTA,0,0,0.152824423930777,0.27569602753076,0.090451740602125,0.000000000000000000433680868994202,0,0,0.180463405691832,0,0,0,0.136695467177954,0.00261390414285505,0,0,0,0,0,0
XEM,0,0,0,0,0.295811508065999,0.064695614024536,0.157765539348035,0.0415190002931215,0,0,0,0.117608054938565,0,0.128979239540193,0.0568048508942684,0,0,0,0,0
TRX,0.509858622121369,0,0.304939707127088,0.278531782195175,0,-0.244954502801251,-0.0263170901849268,0,0,0,0,0,0.322885672526319,0,0,0,0,0,0,0.150852839383604
ETC,0,0,0.115271909767508,0.104861043425599,0,0.190334174941126,0.131234006624647,0,0,0.13332857461001,0,0,0.249460407796085,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129026401018647,0,0,0,0,0,-0.0342405132732151
CVIX.INDEX,0.00983597386516617,0,0,0,0,0,-0.0311570603627802,0.191515632667491,-0.0585486271934666,-0.0352788792344415,0,-0.0996933811256836,0.0761418929135509,-0.0274186167167288,-0.0444205687077978,0,0,0,0,0.048900865494211
DXY.INDEX,0,0.0245186217051233,0.0143882770308754,0,0,-0.0135962975815066,-0.0130074570449263,0.0197659804130522,-0.00610381139015133,-0.0225468612787042,0,0,-0.000670735417304717,-0.0113289315101971,0,0,0,0,0,0.00873538455454275
SPX.INDEX,0,-0.0142645172205372,0,0,0.00446315007275731,0,0,0,0.0203035391316464,0,0,0,0.012740740047688,-0.0377258791987372,0,0,0,0,0,-0.0588904788286996
VIX.INDEX,-0.759422860275448,-0.115493703955071,-0.0166365641706015,0,0,0.434485146089102,0,0,0.132510538667174,0.241487463618322,-0.0445850713371286,-0.343261305841978,0.185068443075587,0.0864805616083695,0,-0.727105356326309,0,0,-4.52297355864912,0
