,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.196433358999046,0,0.0542335628342683,-0.0728895673434683,0,0.129397513369973,0,0,-0.00737986547647527,0.0277227135194766,0,0.046994605375662,0,0,0,0,0.136958690153396
ETH,0,0,0,0,0.264394370358712,0.0394289183951852,0.0220290827894448,0.0704745479002134,0.0481010373285119,0.00158144621604625,0.0825021058116735,-0.0375422938461741,0.125689640164036,0,0.0277922234645727,0,0,0,0,0.0718986029420807
XRP,0,-0.17546296710727,0,0,-0.140051107432418,0.307150299354134,0,0,0,0.0318098097351212,0.126586774987933,-0.0831065247876086,0,0.565205039297455,-0.0281057702640965,0,0,0,0,0
LTC,0.241639051665919,-0.0769508081432277,-0.118093035251912,0,0.072242436947461,0,0,0,0.279945866784856,0,-0.0649792369301104,0.149745900501134,0.0587240253599689,-0.105861470972881,0.0353446910422451,0,0,0,0,0.0221929460426241
ETC,0,0.197488497428816,-0.166956049506037,0.218523354049364,0,0.181817692599352,0.0256016317479758,0,0,0,0.00124886102404347,0.0137991313293752,0,0.119270526485238,-0.0429505958872519,0,0,0,0,0
DASH,0,0.192980549391208,0.00137022911413673,0,0.037977950208201,0,0,0,0.32440767998775,0,0,0.110044433911481,0.0100634180372939,0.0899441234512024,0.00000000000000000173472347597681,0,0,0,0,0
XEM,0,0,0,0.10821692355825,0.043703898887814,0,0,0,0.018662763928819,0,0,0.0330218936069296,0.23332532553337,0.270935435021319,-0.0392243469460109,0,0,0,0,0
MIOTA,0,0.0405773889254635,0,0,0,0,0,0,0,0.0490134401868976,0.249533103894823,0.111475401139888,0,0.218422078709229,0.0670353779620642,0,0,0,0,0
XMR,0,0,0,0.115470460652078,-0.0365052941947075,0.472576343899801,0.107041434178234,0.0311478357526692,0,0.024672983797322,0,-0.102660775249018,0,0.163766150773891,0.00691082682219729,0,0,0,0,0
EOS,0,0.202824429365794,0,0,0,0,0.167128968739303,0,0.0111753517262046,0,0.149294364008959,0.115362264140586,-0.0284528459858149,0,0.106694289366237,0,0,0,0,0
ZEC,0,0.198602784290148,0,0,0,0,0.0740598060634561,0.0989132653624815,0,0.00345840979885793,0,0.0573502673007907,0.163928335817972,0.110437416488853,0.0223662971875724,0,0,0,0,0
NEO,0,0,0,0.524847127004345,0.324482795748019,0.118623083403069,0,0,0,0,0,0,0,0,0.12631438550795,0,0,0,0,0
DOGE,0,0.0791924742744382,0,0.206538941405354,0.0952795681824108,0.0553586479410793,0.369773593074843,-0.0234673669390931,-0.0765549555281277,-0.063561777283318,0.201105537384368,0.0058558896652367,0,0,0.0521970728092476,0,0,0,0,-0.132430527206903
XLM,0,0,0.555125278318914,0,0,0.24561551558483,0.0436265909952335,0.261264938258649,0.322550545255329,0.0924030453908141,-0.228560870860668,0.00165539660885603,0,0,0.072452796849932,0,0,0,0,0
DGB,0,0,0,-0.123529123424477,-0.0716599737260478,-0.343279169692268,-0.309681811618345,0.0195020558181407,0.249729362370643,0.22773749522333,-0.802020916394924,0.174868892378155,0.974856980091711,0.915223994669135,0,0,0.806827965171323,0,0,0
BV010082.INDEX,0,0,0,-0.0248666302703671,0,0,-0.0316963031451214,0,0,0,0.0259065298564979,0.0113050187856166,0,0.0141326208973908,0.00914644903354089,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,-0.046209055086983,0.0914754097403622,-0.0279588432821203,0,0.0110201363567495,0,0.0106202848479901,0.0279629933431889,0,-0.0138569816235895,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0.00592363474022145,0,0,0,0,0.00949801752864005,-0.00136466524274752,-0.0186220024527324,0,-0.0000000000000000000067762635780344,0,0,0,0,-0.00167768852453873
SPX.INDEX,0,0.00175740408756314,0,0,0.000693420740275134,0.00952374482609633,0,-0.00381086852458128,0,0.000442577304206745,0.00337618270589675,-0.00205893652849969,-0.0112436911480726,0.00279629284939278,-0.00114821773218304,0.0247315829225466,0,0,0,-0.0582277089744452
VIX.INDEX,0,0,0.138876978217942,-0.0863850241681459,0.340240088695094,0.198854241064975,0.372725435405166,-0.0463340329492514,-0.0667537924655875,0.0324583171343027,-0.0346024709595395,-0.188961453695286,-0.207795997569455,-0.218076460631616,-0.0931326348383727,0,0,0,0,0
