,BTC,ETH,XRP,ETC,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00552886958047871,-0.0572041225155041,0.0175753133102645,0.594907516698919,0.0556234762304585,0.0616882119313073,0.0212779063411908,0.0914784140459646,-0.0356154928872139,0,0,0,0,0,0
ETH,1.20369499691729,0,0.127431644305208,-0.0729836006204265,-0.59680468529056,-0.0648986629761818,0.732773295245879,0.181182951698754,-1.64339126363724,0,0.158971243439169,0.881788195150264,0,0,0,0.241566630399361
XRP,0,-0.0309851259492645,0,0,0.0543699527320674,0.00218675355868914,0.0882762679609204,0,0,0.0805252595991169,0,0,0.338706046518499,0,0,-0.0546015522453765
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.985544971824022,-0.163977910279385,-0.319225115087136,0.0197892911304465,0,-0.0949912784900712,0,0.341853044955976,-0.20715786188906,0.194726581746817,0.0814335895619009,-0.365038134271881,0,0,0,-0.149154905910577
XEM,1.22345219737843,0.130608887916176,0,0.0730731924525731,0,0,0,0,0,0.565222528112669,0.358212610841816,0,0.538148455220869,0,0,0.192488712030753
DASH,0,0.0124002409135878,0,0.00874437564212361,0.141745324218523,-0.0186704652212996,0,0,0,0.116512873793786,0.0526879712518625,0,0.176352971644911,0,0,-0.034982800879907
DOGE,0.300265389848699,0.0750717199082223,-0.0498515585633314,0.0113488961193636,0.287804522920236,-0.0603052581612911,0,0,0.222060597642966,0,0.0136672642849573,0,-0.181020062911654,0,0,0.0831076950980245
XMR,0.806585304974063,-0.210769457152618,0.252267246149478,0.00141623607532578,-0.290528177156925,-0.0840193606572343,0.224106855308133,0.144813451824267,0,0,0,0,0,0,0,0
XLM,0.0124138810004138,0.190510039850553,0,-0.0246127146340813,0.141578126140123,0.123480148492803,0.105123790905879,0,0.135415425464986,0,-0.360955602388332,0,-0.0777949276708785,0,0,0.124200464004985
DGB,-0.733152706500563,0.253592361780999,0.0625348064281023,0.0262400972312077,0.596189748802861,0.125282508740825,0,-0.112797238733936,0,-0.170875602065285,0,-0.0441936842464797,0,0,-0.0866004832934996,0.0601291967978681
BV010082.INDEX,-0.188437316343769,-0.000000000000000000216840434497101,-0.121342443410131,0.0255101790664918,0,0.0290800872673173,-0.0978847018906344,0,-0.0113361192199903,0.0380101439524054,0.0198489305777905,0,0.101564229884294,0,1.3066120579818,-0.0204271151466949
CVIX.INDEX,0,-0.0746478432868603,0.0112329441274694,0.0159076349521411,-0.243603245107444,0.0297572038613871,0.374415241215881,0,0.128153975662888,0,-0.010081595660435,0,0,0,0,0.160915769268105
DXY.INDEX,0,-0.0160818615030198,0.0115228457312975,0,0,0,0.0313325050902019,0,-0.0376941323692273,0,-0.000870909635676675,0,0.053175303380828,0,0,-0.00629138451291882
SPX.INDEX,0,0,0,0,0,-0.00818995593730888,0,0,0,0.0157026866735315,0,0.0204956338839929,-0.00659190468056876,0,0,-0.0815286676065379
VIX.INDEX,0.349586612109103,0.215000505159779,-0.676267518916677,0.110060801213814,-0.0197226658243177,-0.180586565797038,0,-0.894236191705654,0,0.572087812618146,-0.252517233867067,0,1.11302291215884,0,-1.81539475825232,0
