,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.132893367384652,0.0387353918617102,0.0560735852202329,0,0,0.142508768503709,0.0177278316598591,0,0.0679046730993514,0,0.10552782037643,0.032306316279615,0,0,0,0,0
ETH,0,0,0.238951503176011,0.330711996640759,0,0,0,0,0.107284994496,0,0.00000000000000000346944695195361,0.0439488085608741,0,0.102402127531768,0.0394175553346623,0,0,0,0,0
XRP,0,0.118586912459991,0,0.161543895479749,0,0,0,0,0.0955210474652342,0.117050273505037,0.143480538915955,0,0,0.0423606646916784,-0.00000000000000000346944695195361,0,0,0,0,0
BCH,0,0.227444955271643,0,0,0.331442909644351,0,0,0.259511033487566,0,0,0,0.00844187345834249,0,0.0154306457501347,0.000000000000000000433680868994202,0,0,0,0,0
EOS,0.667538087275032,0,0,0,0,0,0.194840390769577,0,0,0.230765063525893,0,0,0,0,0.402917846592513,0,0.0175907831937028,0,0,0.0157284145531429
XLM,0,0,0,0,0.109979077560976,0,0,0.558367009436796,-0.0226872891487045,0.048755891688431,0,0,0.278323226801891,-0.0582607257432784,0,0,0,0,0,-0.0270415634716072
LTC,0,0,0.0531557141806131,0.397820615657128,0.0237893433835337,0,0,0,0.0591708214962256,0,0,0,0,0.0956885766560134,0.137538531300282,0,0,0,0,0
ADA,0,0,0,0.237219208548317,0.0450515293876105,0.271468364660252,0,0,0.0234847630639055,0,0,0,0,0.00727130540003315,0.235368181590813,0,0,0,0,0
MIOTA,0.119829690120047,0,0,0,0.165905531307771,0.145629532262967,0,-0.0000000000000000277555756156289,0,0,0.59767286797469,0,0,0.0155575053363205,0,0,0,0,0,0.0617552998796403
TRX,0,0.376233274555333,0,0.283090708392329,0.218130901208143,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0.0418193803893408,0,0,0,0,0,-0.0116428774004567
NEO,0,0,0,0,0.0689013665015903,0,0,0,0.512154183934107,0,0,0,0,0,0.333413700373934,0,0,0,0,0.0718612886062712
XMR,0.30181132735529,0.172617047530564,0,0,0,0,0,0.159342879998601,0,0,0.184642288811127,0,0,0.0190712911469529,0.163965472520925,0,0,0,0,0
DASH,0,0,0,0.186054308879189,0,0.0944095504449727,0,0,0,0.0113074179797115,0.0849610850333572,0.0377523700474694,0,0,0.226050492129958,0,0,0,0,-0.0587017101431338
ETC,0.299845494881754,0,0,0,0.225820572623346,0,0,0,0.27509069786381,0.0798285431439784,0,0,0,0,0.0837774588361068,0,0,0,0,0
XEM,0,0,0,0,0,0.165091412176909,0,0,0,0.251456988535595,0.285275983933887,0,0,0.0919453707418393,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00422190415966411,0,-0.122755064959431,0,0,0,0,0,0,0.140677148426079,0,0,0,0,0,0,0,-0.118478976837093
CVIX.INDEX,0,0,0,0.0118416580807552,0,0.43024648390043,0,-0.142960011802794,-0.00000000000000000693889390390723,0,0.128399347893551,0.184109980712931,-0.57772348287576,0.0732974871226288,-0.0895646125534335,0.157907935728687,0,0,0,0.116995891152873
DXY.INDEX,0,-0.0427961673026129,0,0,0.0379693677775019,0.0728501928045017,0,-0.056692590969577,-0.00812957211770977,0.0348776153099398,-0.00942826211076111,0.00243889934720692,-0.0208908797559362,0.0318192416304555,-0.0483898319864131,-0.0179591768909536,0.0219955337497365,0,0,0.0141249621374513
SPX.INDEX,0.0215132083267795,0,0,0.00669589817547752,0,0.00831552919827963,0,0.000588804828292634,-0.0297801726804153,0,0.00667141263189697,-0.00214807064389854,0,0,0,0,0,0,0,-0.0632016666949211
VIX.INDEX,0.0814184019395908,0,0,0,-0.0864577137223052,-0.11269937134019,0,0,-0.0107887766555537,0,0,-0.332150778805348,0,0.0960072932989399,0.108685681890689,0,0.283250215597245,0,-7.31788321915394,0
