,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.07342696734077,0.289483517523339,0,0,0,0.0922157005340954,0,0.169738358064121,0.115032651447402,0,0,0,0,0,0
XRP,0,0,0.0791003168455721,0.0313386539477429,0.0629771979215164,0.212478238909725,0,0,0,0,0,0.0119608270970934,0.150679727839237,0.0246543502330595,0.0278403092379864,0,0,0,0,0
ETH,0,0,0,0.188912435615329,0.34430537950851,0,0,0,0,0,0,0.187820058728361,0.00460913269312881,0.0372308979599257,0,0,0,0,0,0
BCH,0,-0.313646220913535,0,0,0.330402810355877,0,0.304399834927862,0,0.124420095401167,0,0.00000000000000000693889390390723,0.0514420399188354,0,0.363122550589091,0.222086735774368,0,0,0,0,0
EOS,0,0,0,0.00000000000000000173472347597681,0,0,0,0,0,0.624794388991381,0.176434359022234,0,0,0.170673606923699,-0.0599287294394571,0,0,0,0,0
LTC,0,0,0.0408048531941893,0,0.269771550574041,0,0.0655167330415205,0,0.072234019017696,0,0,0.0518853681920455,0.236211561989074,0,0,0,0,0,0,-0.0166832695034458
XLM,0,0,0,0.10214305243376,0.155565915502767,0,0,0.0227002579955187,-0.0221963397093106,0,0.0680036637011271,0.0252533559670665,0.365043253300764,0,0,0,0,0,0,0
TRX,0,0,0,0.0613791565416264,0,0,0,0,0,0.486405202187295,0.165564001081397,0,0,0,0.0461776241454328,0,0,0,0,0
BSV,0,0,0.016244741280292,0.452383254440835,0,0,0.281963842049504,0.178900725415929,0,0,0.154993275448811,-0.0209425270234178,0,0.152579995446027,-0.597300962688315,0.976196193773756,0.353373776384825,0,0,0.064819212876436
ADA,0,0,0.0968879472125245,0.0665607184328525,0.325748888606696,0,0,0.173164723195334,-0.0264724600274917,0,0,0.106341953005874,0.156484735938947,0,0,0,0,0,0,0
BNB,0,0,0,0.0895737620507222,0.348216968990607,0,0.229228105264231,0,-0.190257096872144,0.216793372166149,0,-0.0464196662649072,0,0,0,0,-0.168018663541682,0,0,0
MIOTA,0,0,0,0.0513835584588685,0.330577971977961,0,0.141355109664096,0,0.077930807440332,0,0,0,0.18990477330322,0,0.144095323445203,0,0,0,0,-0.0109149682325492
XMR,0,0,0.19596796421971,0.060863911442249,0.0343693494367956,0.0538057125784186,0.307074466606409,0,0,0.141598879750513,0,0,0,0.0618641122364451,0,0,0,0,0,-0.0515591249769805
DASH,0,0,0,0,0.144607040122192,0.0464803611248771,0.591588159284716,-0.0390673361461839,-0.0385813864989827,0,0,0,0.320359810307955,0,0,0,0,0,0,-0.0171241142567778
XEM,0,0.288611837647821,0,0.0547882779327616,0,0,0.306593350572648,0.131101434906143,0.0721641719961508,0,0,0,0.098229025233172,0,0,0,0,0,0,-0.0782362900861563
BV010082.INDEX,0,0,-0.206085093863904,-0.0497871108708218,0.0276481537525763,0.0652703817399162,0,0,0.0208975661098256,0,0,0,0,0.017001030181064,0.18545086158119,0,0,0,0,-0.0567869311768834
CVIX.INDEX,0,0.0634076326489972,0.275080513848032,0.060281302050283,-0.415560030371587,0,0.29020740122611,-0.22739221480908,0.0194668499730015,0.153248677559716,-0.0663498462074201,0.0671142751158091,-0.399125633568082,0.099052033685601,-0.00000000000000000346944695195361,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00463371058305945,0,0,0,-0.0403724655817645,0.00363627284494071,0.0121265293253846,-0.00473874238490976,-0.00152953739559476,0.00992390045547781,0.0039594162775398,0.0247109494389184,0.0446384881781318,0,0,0,0.00497168961344112
SPX.INDEX,0,0,0,0,-0.0144679492789967,0,0,0,0.00918009529670792,0,0,0,0,-0.0395334280436637,0.031694215292122,0.0930248073801863,-0.0654710595025812,0,0,-0.134800576911018
VIX.INDEX,0,0,-0.103892271279205,0.0585028715127802,0.0942190064876814,-0.232577895271644,0,0.426205831737889,0,0,0,0,-0.280413647796265,0,0,0,0,0,-3.71810775813162,0
