,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0306076255905616,0,0.0334542429526763,0.0474790405746874,0,0.257463755200701,0.0263652780588639,0.150606427264095,0,0.0626118391380184,0,0,0,0,0,0,0,0
INNBCL,0,0,9.91040592311001,0,0,-2.22708598275604,8.46592055875796,-28.4534578212636,0.0000000000000000277555756156289,0,4.28589118710585,0,0,17.5430180584626,-8.72012097787366,-5.67025628829359,0,0,16.4004107272099,1.47697579243871
ETH,0,0,0,0,0.297890590949549,0.0628553918507856,0,0.049561057070841,0.0862305082152465,0.277682721969837,0,0.0111423763320686,0,0,0.174876341005552,0,0,0,0,0
XRP,0,0,0.190097964559974,0,0.0022322472980605,0,0.155600437405631,0.180295324211134,0,0,-0.00367739450089992,0.0278593122116621,0.187751520506118,0.0335320585722327,0,0,0,0,0,0.00716360314815769
BCH,0,0,0.427016432053336,0,0,0.249031944914632,0,0.0444288996430809,0.0949353943313679,0.0673868840524991,0.012837966867198,0,0,0,0,0,0,0,0,0
BSV,0,-0.00916197737027858,0.00820963041040207,0,0.340376427796033,0,0,0,0.231085099002621,0,0,0,0,0,0.458401307014103,0.0338117680467626,0.116948511835547,0,0,-0.0636660267362714
LTC,0,0.00287322777666024,0,0,0.0576886326371673,0.151218574442717,0,0.0491362705820751,0.414720629968074,0.0389000851128887,0,0,0,0.164069787506141,0,0,0.0506044910508893,0,0,-0.0272254063750645
BNB,0,-0.00651464658986665,0.362490505044306,0,0.328721073522786,0.0573661518085853,0,0,0,0.0790785190910742,0,0.0443983578230807,0,0,0,0,0,0,0,0
EOS,0,0,0.208933808834524,0,0.453912245872209,0.0999612179147914,0,0.107086650480486,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,-0.000612932674932706,0.202576523153921,0,0.00457090642393296,0.220719875518969,0,0.0622946779317484,0,0,0,0.481598391514296,0,0,0,0,0,0,0,0
TAGZ5,0,-0.00245999102609338,0,0,0.51047037936275,0,0,0,0,0.136209387637062,0,0,0,0,0,0,0,0,0,0
LINK,0,-0.00161000654282097,0,0,0.0459730279590348,0.199467370148674,0,0.147083592561764,0,0.606206646771314,0,0,0,0,0,0,0,0,0,0
XLM,0,-0.00142665848044588,0.244882873774377,0,0.233574144182373,0.020559594550796,0.00431693941954977,0.00902963403833929,0.117505413276889,0.0323210965404683,0,0,0,0.0622572875867902,0,0,0,0,0,0
ADA,0,-0.00080432701783368,0.186805895131328,0,0.0997972962582077,0,0.268734851057189,0.176803762439963,0,0.0934725340177964,0,0.0915658314179174,0,0,0,0,0,0,0,0
XMR,0,-0.000116966496735679,0.152781583578107,0,0.110970737611668,0.0946980606860001,0,0.214961452961837,0,0.224585882498453,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00594837368630857,0.14256035618584,0,0,0.299393366138703,0,-0.868962636058459,-0.296715282490641,-0.830543972658806,0.0915459087699455,0.45941575382287,1.18862263043781,0,0,0,0.112229938632869,0,0.121844010578999,0
CVIX.INDEX,0.262152806002686,-0.00411312963792125,0,-0.316274309463259,0,0.000000000000000000433680868994202,0.249007129422979,-0.502410448483975,0,0.343108830791564,-0.203848678496063,0,0,0,-0.023254213264261,0.263046930252009,0,0,-0.375133998023967,0.355777276648031
DXY.INDEX,0.0615455340263694,0.000254904074401865,0,-0.106954949066507,0,0,0,0.0235905617597449,0,0.0328556955116981,-0.00213628686332775,-0.0324097920708605,0,0.0146110828232648,0,0.011244133263729,-0.0149819380204278,0,-0.0188726990562788,-0.0107884992344896
SPX.INDEX,0,0.0076717273010142,0,0,0,-0.110466041954308,0,0,0,0,0.00000000000000000173472347597681,0.104453722126859,0,0,-0.0192017612185814,0.25658044133576,0,0,0,-0.25405814593811
VIX.INDEX,0,0.028836028062011,0,0,0,0,0,0,0,0,0,-0.169510764620627,0,0,0,0,0.0386116503808219,0,-1.95063418689434,0
