,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0254498111326305,0,0.830745877791439,0,0.0363096717665109,0.0639405706499957,0,0.0129732935736742,0,0,0,0,0,0.0125147087287189
ETH,0,0,0.215846778203791,-0.569970604211529,0,-0.0483865195119477,0.175585723538395,-0.670251490368456,0.112387323006159,0.0633133508879861,0,0.592059529344466,0,0,0.248333326948657
XRP,0,0.0417408636524955,0,0.209396727185243,0.0808560350504958,-0.00345245155223146,0.0138067295894289,0.0304744314525256,-0.0342135557230923,0.0728475385759177,0,0,0,0,-0.0731393129867363
LTC,0.770261377131409,-0.0136924771976612,0,0,0.0416134155033627,-0.0576584920735151,0,0,0.00745423106041389,0,0,0,0,0,-0.0106104630713924
DOGE,0,0.251722270425383,0.0800419328338639,1.0855975390193,0,0.102040534077123,0,0.70758001850664,0.167441566465243,-0.11958447992226,0,0,0,0,0
DASH,0.561190167984761,-0.182312646984727,0.177682205721315,0,0,0,-0.364089668376772,-0.143864166889006,-0.0919327953276346,0.057952185469275,0,-0.437663512190657,-3.45645661240229,-3.05581689668494,-0.287089268981362
XMR,0,0.0888102414604415,0,0,0,-0.0876300432273419,0,0.698635843381603,0.0339522279094602,0.0224096856071213,0,0,0,0,0.178459664527174
XLM,-0.231279004471067,0,0.342778881022787,0,0.218659848474671,-0.0201415067576358,0.291775184826313,0,0.142725785536994,0.205952367271281,0,0.482136827298463,0,0,0
XEM,-2.48369036411928,0.161433155271682,-0.0338475809600088,3.44151127722553,-0.243012661744952,0.240347092077634,0.0928582358429283,0.0208534402239633,0,0.109620881533015,0.654643010175837,0,0,0,-0.145569832399465
DGB,0.547681947738628,0.0826379347695579,0,0,-0.553998170711739,-0.159062410571265,-0.455607107587662,0.757097522178501,0.153514734802479,0,0,0.596018256882796,0,0,0.0959148314565363
BV010082.INDEX,0,-0.0122642477892611,0,0,0.0416907169166355,0,-0.052317253322378,0,0.0102826657638744,-0.00367700196029033,0,0,0,0,-0.0644820512869514
CVIX.INDEX,0,0.014666735603988,0,-0.105004176612107,-0.0284456831539933,0,0.0533234960124028,0.0309797385502485,-0.0204881572151365,0.03072803455659,0,0,0,0,0.168387162095305
DXY.INDEX,0,0,0,0,-0.00493598405285379,0,0,0,-0.0158542282486475,0,0,0,0,0,-0.021843260450891
SPX.INDEX,0.049198465820721,0,0,0,0.0063443481717933,-0.0311116973159751,0,0,-0.0171018265010383,0.00144286636689027,0,-0.0171407178001015,0,0,-0.11469461597337
VIX.INDEX,0,-0.134138541738176,0,0,0.0906408174492138,0.377883521095429,0,0,-0.131934976132477,0.0725676397076225,-0.348672490349411,0.658427430349222,0,-0.333244820103631,0
