,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0000246921425151592,0.106649446995974,0,0.0515013866206946,0.0267322986356417,-0.0138815278564366,-0.00000000000000000173472347597681,0,0.270917893539199,0,0.0000000000000000138777878078145,0,0,0,0,0
ETH,0,0,0,0,-0.0264472656119169,0,0.14178930362201,0.205354161238438,0.0673636532640636,0.0182382581670821,0,0.0481587930358954,0,0,0.17517312362679,0,0,0,0,0
XRP,-0.260166461622037,0,0,0.0801130398061343,0,0.306889182808639,0.0634434719463482,0,0.262814276224435,0.150803166357989,0,0.179395160999729,0,0.0573160725328632,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.163015990691329,0.205103882367862,0.0236267725137163,-0.00000000000000000346944695195361,0,0.205044233584732,0.190074729612752,0.0133872481969212,0,0,0,0,0,0
ADA,0,0,0.180888505954737,0.00911998389770175,0,0.199400758087754,0.0767572741323696,0.235081859593682,0,0.116908001989459,0,0,0,0.0529899662870557,0.0342202756192604,0,0,0,0,0
XLM,0.0309326724464338,0,0.0995026441744998,0,0.356175415724167,0,0.0913636400673551,0.112683618901136,0.0461554657974141,0.016167118553002,0.0302667758503051,0,0.253221505038103,-0.0799443481965741,0,0,0,0,0,0
LTC,0.170015883103297,0.107424279180737,0,0,0,-0.00877069640147209,0,0,0.0327003238770796,0,0.116756979803735,0,0,0.0313098816615211,0.148006190001581,0,0,0,0,0
NEO,0,0.700115076815875,0,0,0,0.0246583199420857,0.027365602579791,0,0,0.0609488615947037,0,0,0,0,0.038100682485685,0,0,0,0,0
EOS,0,0,0.0265675032363406,0.17486471799111,-0.0893275854535049,0.266763494190307,0.352193738962316,-0.0472795679683253,0,0.0455286126047189,0.0391988829190559,0.182284870210569,0,0.0707534733355141,0.0480339495986836,0,0,0,0,0
XEM,0,0,0.220101645659662,0.0441413352284422,0.0582880562773595,0,0,0,0.0882050216421824,0,0.162504033095961,0.167680851863352,0,-0.0491805309066154,0.125889826731405,0,0,0,0,0
MIOTA,0,0,-0.136620839641007,0,0,0.0110955626390891,0.114358363619257,0,0.188053594277619,0.186287687931562,0,0,0,-0.103979284265694,0.494954258267441,0,0,0,0,0
DASH,0,0,0,0.154391054162178,0,0,0.213464190790759,0,0.101311818481551,0,0.00467716367444293,0,0,-0.0223615403236534,0.157757037510426,0,0,0,0,0
XMR,0.0754803041657589,0,0,0.215485554481129,0,0.107769130567016,0,0.0172435593749201,0,-0.00170060270324742,0,0,0,0.0503821654108821,0.232156517631373,0,0,0,0,0
TRX,0.515082057878103,0,0.175540069282827,0.117032617991624,0,-0.162747021972862,0,-0.215217690734698,0.130753046228443,0,0.250587147308826,0.213238510105424,0,0,0,0,0,0,0,0
ETC,0,0,0.0927580822364602,0.127964029941082,0.15486222673165,0,0.208696041850687,0,0,0.0245137968251838,0.154462651629189,0,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0342690714381668,0,-0.0220741684171932,0,-0.0111297320047798,0,0.0184440320674712,0,0.0107667251311567,-0.000254597585433815,0.00924292107504487,0,0,0,0.0105524277187657,0,0,0,0,0
CVIX.INDEX,0,0,0.00647686309122321,0,0.0316750397048033,0,0,0,0,0.0141810884207529,0,0,0,-0.0122333792575348,-0.0632334097891544,0,0,0,0,0
DXY.INDEX,0.00140315047981352,0,0.00109087385188042,0,-0.000352713829993557,-0.00606595789052014,0,0,0,-0.00853336423340938,0.00855026178622803,0,0.0100876041706236,0.00402968066950538,-0.0163041016110976,0,0,0,0,-0.0306729245669787
SPX.INDEX,0,0.00591814320309053,0.000430228440222822,0,0.00563209420716818,-0.00985828348003279,0.00235822510161121,0.00372023341609563,0.00140028715414777,0.000378710603514581,0,0,0,0,0,0,0,0,0,-0.0321789060579419
VIX.INDEX,0,-0.251784312336589,0.0590953274643848,0.0199722586899163,0,-0.14369375828628,-0.0914368329254902,0,-0.0115450491503572,-0.0455218839910961,0.0819851092275582,0,0.208413408014679,-0.0871595902019049,0.0835481540256273,0,0,0,0,0
