,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0600010838080698,0.0235086374890004,0.174377818891296,0,0.00659337654778865,0.096504792548704,0.167812852292088,0,0,0,0.0230114677869464,0,0,0,0,0
ETH,0,0,0.0476076303924167,0,0.251719461397502,0,0.16058015179927,0.0205639222766164,0.0753253460947456,0.175413604799963,0,0,0,0,0.0198645516586078,0,0,0,0,0.0338271682868705
XRP,-0.168546402707786,0.534601623558052,0,0.0624472748228713,0,-0.0585518645347701,0,0,0.101829899768887,0,0,0,0.0240163367580527,0,0.0780786733796604,0,0,0,0,-0.0340783246002747
BCH,0.289302598275565,-0.260133533195393,0,0,0.292430833615931,0,0.238592625431304,0.111771447656537,-0.185203561236995,0,0,0,0.0776347905034449,0.226585234504857,0,0,0,0,0,0
LTC,0,0.211368211788112,0.0816044617801022,-0.0197614633718987,0,0,0,0.00758055313316549,0,-0.08422520928839,0.750006573194821,-0.0590011072257297,-0.0305452606055613,0,0,0,0,0,0,0
DASH,0,0,0,0.0491887982356577,0,0,0.246852442946846,0,0.0441229520315948,0.0577795072332367,0.104979583346355,0,-0.00321184213297045,0.0970872711826073,0.043868891259912,0,0,0,0,0
XEM,0,0,0,0.041605618390009,0.119487920753831,0.102166324253051,0,0.125967938400446,0,0.165667687913365,0.0300265633076611,0,0.0305719442883864,0.0572929983908749,0,0,0,0,0,0
NEO,0,0,0,0.0120182292978911,0.205126292098677,0.0143839692901398,0.342290056178895,0,0.0713955181143272,0.0923424584964063,0.00000000000000000693889390390723,0,0.148947832325969,0,0.142378412561695,0,0,0,0,-0.287510128788263
XMR,0,0,0.28080912413992,0.0662695936352283,0,0,0.113234048459187,0.0719939983453914,0,0,0.123793256917141,0,0.00582134165940681,0.198765730716852,0,0,0,0,0,0
MIOTA,0,0,0,-0.0726400543256011,0,0,0.0238581430099968,-0.18093036756837,0.0613571800872682,0,0,0,0.0782760597444576,0.434420336491099,0.409842767595535,0,0,0,0,0
ETC,0,0,0,0,0.55231019201497,0,0.121425815320014,0,0,0.0541153437771284,0,0,0.0386673564781346,0.121242462794656,0,0,0,0,0,0
ADA,0.0460363049344578,0,0.0597690508200404,0,0,-0.000000000000000000433680868994202,0.0497237593997564,0.0901852240039788,0.105340597984577,0,0,0,-0.136217009152962,0,-0.171878053984063,0,0.551235208301581,0,0,0
XLM,0,0,0,0,0,0,0.338163081755875,0.076723491596886,0.203601026720166,0,0.126655426821972,0,0,0,0,0,0,0,0,0
ZEC,0,0,-0.0129166698534791,0.0586831691809474,0,0.252725379842052,0.297148730757787,-0.0642718123336309,0,0.223757540006286,0,0,0.038570593450163,0,0.199713360842299,0,0,0,0,0.0387306179311792
EOS,0,0.205678302010526,0,0,0.280860024461857,0,0,0.148417743596391,0,0.17614177493435,-0.000000000000000000867361737988404,0,0.0590752162735837,0.179222954745045,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00350237422376431,-0.0162471427282354,-0.028783176640152,-0.0746854605556607,0,0.0254813041800226,0,0,0.0244713548770987,0.0378212070737292,0.00501496997893084,0,0.0374437734531159,0,0,0,0,-0.0616823597429084
CVIX.INDEX,0,0,0,0.0500533499339614,-0.0318995631644658,-0.0710607645224873,0.0996162763409773,-0.00972837126279179,0.0225690723903411,0.0248847275664417,0,0,0.0132169238230879,0,-0.0943787032605457,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.0279101064530339,0,0.0111077456702792,0.00294690332901707,0.00636093955476377,0,0,0.00265544863908626,0.00309624187557197,0,0,-0.0112546037669617,0,0,-0.00284296369002834
SPX.INDEX,0.00648301190252096,0,0.00283880150916746,-0.0103024473313602,0,-0.00961525900681452,0,0,-0.00507545290299057,0.00486764857350614,0.00493847227877255,0,0.00114327368383373,0,0,0,0,0,0,-0.0345808709346166
VIX.INDEX,0,0.223752393886829,-0.0625329354521243,0,0,-0.352618906585001,0.123320952052653,-0.000703848668392385,-0.0305867320076721,0.0371986406021797,-0.0760979292536773,0.117392642186247,0.0000000000000000000271050543121376,0.190231663673554,-0.159155312453,0,0,0,0,0
