,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0120674620226544,0.000761251606001837,0,-0.0027509777836642,0.154960767468658,0,0,0.0315222483121395,0.0498615779497736,0.0900443135519315,0,0.0819437277445637,0.00806626411812517,0,0,0,0,0,0
XRP,0,0,0,0,0.0452141284774328,0.658430941229216,0,0.0891986671745007,0,0,0,0.460584502228953,0,0,0,0,0,0,0,0
ETH,0,-0.0000000000000000000271050543121376,0,0,0,0.40927769621419,0.018342383756673,0.154027647164149,0.0458664918429091,0.0641570535705519,0.0607625334870915,0.180785212427206,0,0.069202780535223,0,0,0,0,0,0
BCH,0,0.0568668490357779,0,0,0,0,0.137592920611324,0.22198189462275,0,0.184164460968483,0,0.122484913853087,0.303384939799157,0,0.0626611501434025,0,0,0,0,0.0678747391155841
XLM,0,0.158751802404868,0.141816802429656,0,0,0,0,0.264505138381829,0,0.149803627690041,0,0,0,0,0,0,0,0,0,-0.0109070794678725
EOS,0,-0.0250440840232448,0.573070604328216,0.000708548623302108,0,0,0.0878135868682897,0.133034285101848,0,0.0407763357841114,0,0,0,0.0513171934871976,0.0228215070690443,0,0,0,0,-0.0240182016794046
LTC,0,0,0.217166291227923,0.148665579457069,0,0,0,0,0.0753314864120741,0.0949411033331942,0.128013745316743,0.175832971147414,0,-0.000000000000000000433680868994202,0.0351499337150269,0,0,0,0,0.0121628874164535
ADA,0,0,0.244512836791837,0.0538153438888284,0.211558110415246,0.0609419718673298,0,0,0,0.0373629240210003,0,0.150044081750362,0,0,0.21652140332143,0,0,0,0,0
XMR,0,-0.0000000000000000138777878078145,0.221058747111571,0.0876923117315916,0,0,0.133529650857203,0,0,0.00314788640323068,0,0.345980976683548,0,0,0,0,0,0,0,0
TRX,0,0.0338872056985218,0.213178446210337,0.0010165991407534,0,0,0,0.500681876707902,0,0,0,0,0.173979902962183,0.0514017935207919,0,0,0,0,0,-0.0433153974844488
DASH,0.0507858706745798,0,0.322315303273018,0,0,0,0,0.181186820681547,0.0978993292297622,0,0,0,0.0412141508251169,0.0601815452107772,0,0,0,0,0,0
MIOTA,0,0.0885590122812659,0.0413759138734939,0.0199712313436841,0,0,0.213052590304742,0.0657808947099156,0,0.214887598801942,0,0,0,0.267676214047904,0,0,0,0,0,-0.0805144203663655
BNB,0.286591408301708,0.00461278848109398,0.184559830352632,0.0862342915879823,0,0,0,0,0,0,0,0.0790715413198536,0,0.0362220699058272,0,0,0,0,0,-0.0218511866115526
XEM,0,0,0,0.151864621347738,0.192200861618307,0,0,0,0,0.218429213218487,0,0.10194589059476,0,0,0,0,0,0,0,0
NEO,0,-0.0463179074393191,0,0.105064622917706,0,0,0,0.356538375047926,0.0886714619501139,0.0105428207069972,0,0.261958361554948,0.0579266293432641,0.0194509649971594,0,0,0,0,0,0
BV010082.INDEX,0,0.00410742620889856,0,-0.104778152889913,-0.0273143174981001,0,0,0,0.130473271345406,0,0,0,0.0318974292648174,0.0184853000242651,0,0,-0.165605070800002,0,0.554969990331199,0.0270388129814333
CVIX.INDEX,0,0.00456623956534382,0,0,0,0,-0.436104895514047,0,0,0.0485035900514435,0,0.363056699614129,0.105295439625418,-0.0159255048957341,0,-0.0878269689318271,0,0,0,0.0445527910892138
DXY.INDEX,0,0,0,0,-0.0297298295666191,0,-0.00418720906313615,0,0,-0.0262354560343485,0.0196816480845983,0.00179917314935047,0.0369986130483873,0,0,0.0723309466647628,0.0626264036596852,0,0,0.000974098057012211
SPX.INDEX,0,-0.0329798214709226,-0.0318848805910137,0,0,0,0,0.0160386834941008,0,-0.000324034538891288,0,0,0,0.033133184461585,0,0.042737011204406,0.0407270942205959,0,0,-0.124513974950188
VIX.INDEX,0,-0.118913146236413,0,0.132544010540217,-0.137986048005841,0,0,0,0,0,-0.16838193784153,0,0,0.249481308132814,0,0,1.14215497470592,0,-5.64568783979443,0
