,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0559935099818527,0.0687930027664645,0.249635637575177,0,0.143070718159928,0.019375100212681,0,0.00000000000000000173472347597681,0.0446943264777827,0,0.0434906803960323,-0.0615440594418546,0.0805248710965151,0,0,0,0,0.0715165546637459
ETH,0,0,0,0.0886939075282882,0,0.00990764300166312,0,0.0990711483036291,0.100233954319611,0.155662081640727,0,0,0.0367353015732779,0,0.195374582522427,0,0,0,0,0
BCH,0,0.159194397801587,0,0.407882290139912,-0.544634595072793,1.00414585182444,0,-0.608254168460482,0.105707540930998,0.254029107541489,0,0.552631483233606,0.062612859205895,-1.00194027676631,0,0,-0.51212961665872,0,0,-0.345227425916862
XRP,0,0.431978213493312,0.0254812115199522,0,-0.0491879520762662,0.0304413138658249,0,0.0000000000000000138777878078145,0.0697037534855917,0,0.0417268999156925,-0.0235842863524918,0.0314285128032938,0.212795828999398,0.0772381213052672,0,0,0,0,0
LTC,0,0,0,0.118986592479692,0,0,0,0.0721088756684373,0,0.0689206154900274,0,0,0.0945868467191772,0,0.0442160774472633,0,0,0,0,0
XEM,0.12655649938785,0.075023846663585,0,0,0,0,0.244266227300759,0.0186107740871354,-0.0605721611246094,0,0.0267989438695311,0,0.12471254068515,0.231354269891439,0.101866080895505,0,0,0,0,0
DASH,0.176063553963046,0.0209297169657575,0,0,0,0.191703189262082,0,0.0804259348308962,0.0318880891081426,0,0,0.344877709355388,0.0488245587870787,0,0.0165361396663812,0,0,0,0,0
MIOTA,0.143244875634579,0.11337350093625,-0.0956184169360286,-0.00000000000000000173472347597681,0,0.109524268985577,0.311577964437605,0,0,0,0.0984523730087212,0.224111513183321,0.0073178763230233,0.183904741499073,0,0,0,0,0,0
XMR,0,0,0.0471192306110622,0.268298421966359,0,0,0.157756668139135,0.101966089799574,0,0.022339470934804,0.0245574030915934,0,0.0592724717151803,0.14605401319698,0,0,0,0,0,0
ETC,0,0.32328981831417,0,0,0.203860437864005,0,0.0434705266361795,0,0.0398418821123267,0,0,0,0,0,0.035824783388846,0,0,0,0,0
NEO,0,0,-0.0272443939182106,0,0,0.365323837549498,-0.0888794997712113,0.152696309916511,0.0189705874891835,0,0,0.141381622500748,0.0527206889060504,0.0841249295502845,0,0,0,0,0,-0.0649817832429951
ZEC,0,0.0785717343761055,0.0212934406686214,0,0,0,0.107946976380276,0.193545238644207,0.0141591440108542,0.105183256016856,-0.00143100169262835,0,0.0293905377441847,0.176998150791821,0,0,0,0,0,0.0741678983060889
EOS,0,0.413796365084075,0,0,-0.168465406900585,0,0,0,0,0.287284990500977,0.095824115459237,0.287687813840723,0,0.108208831815341,0,0,0,0,0,0.106575640613787
XLM,0,0.163264805253068,0,0.110774538485343,0,0.189489867602491,-0.0735704828459143,0.0878773989109259,0.282811689989386,0,-0.0141834664591436,0.0724811149017996,0.0966790439682996,0,0.175548462625085,0,0,0,0,0
BAT,0,0.00000000000000000693889390390723,0,0,0,0,0,0.0742383008015835,0,0,0.204055750272394,0.272675711688549,-0.00960923500785303,0.343853981814974,0,0,0,0,0,-0.0716082252967548
BV010082.INDEX,0,0,-0.0278333879430425,-0.00546067175986823,0.0249231513270456,0,0,-0.00255879987869669,0.0207802334910699,0,-0.0322664914398052,0.0334972913282725,0,-0.0362710973905135,0.0427239222686105,0,0,0,0,0
CVIX.INDEX,0,-0.0714529308793107,0.00990799238776178,0.0501450257262124,-0.0256603964690943,0,0.0262206735100456,0.0234753373788145,0.0669959593341345,0.133069965215646,0.0247431215866732,-0.064995588803999,0.0230490973757032,-0.108187663800966,0.0120379664866432,0,0,0,0,0.0758273248777929
DXY.INDEX,0,0,0.000522237678870388,0.00440638156064903,0.0120543020908875,0,0,0.00544239537975115,0.00153591135111016,0,0,-0.00901616498938549,0,-0.00335934828562092,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.000028035949845978,0,0,-0.00615581563793807,0.00104866884715566,-0.0062277051406532,0,0,0,0,0,0.00265520263765132,0,0,0,0,-0.0497684460117058
VIX.INDEX,0.0520986553020961,0.150902967976919,0,-0.0802039463208834,-0.103239368465085,0.0397854208561015,-0.245496260656447,0.0655488476596719,0,0,-0.0592635754120036,0,0.054535468415406,-0.0212954366317551,0.0876820925926673,0,0.303466899071277,0,0,0
