,BTC,ETH,XRP,LTC,EOS,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0715591724189566,0.0785190679821546,0,0.0161315201603003,0,0,0.0336300520931428,0,0,0.210796579394619,0,0.169562416846241,0.0191642476149019,0,0,0,0,-0.0208911106136461
ETH,0,0,0,0,0.362939741256348,0.164048445855964,0.011751006212243,0,0.171988438024234,0.0783185045590492,0,0,0,0.0889739026533585,0.00802706639237752,0,0,0,0,0
XRP,0,0.157639994801877,0,0.0450972085928167,0.18647729992719,0,0.0420058114011531,0.177940464747238,0,0,0,0,0.000000000000000000867361737988404,0.0778117373645813,0,0.0262505331813535,0,0,0,0
LTC,0,0.216682866823966,0,0,0.351654406454433,0.0437947587320556,0,0.0867023235126113,0,0,0,0.201711666297354,0,0,-0.188847942290333,0,0,0,0,0
EOS,0,0,0,0.165712550238547,0,0,0,0,0.222197536549906,0,0.341273384540129,0.115392627487435,0.114782935650901,0,0.0942044501964533,0,-0.0702446774820231,0,0,0.00464001596623043
BCH,0,0,0,0.283724940885966,0.165501416761013,0,0.186933995092855,0,0,0.506485171859834,0,0,0.110936786542423,0,-0.120198117092921,0,0,0,0,0.0700446017610054
TRX,0,0,0,-0.107413349455715,0,0.0863527431390399,0,0,0.0624722149363225,0,0.671933062292268,0,0,0,0,0,0,0,0,0.1756772907445
XLM,0,0.22306520308967,0.172538871028128,0,0,0.0835553474066727,0,0,0.000845119973871168,0,0.118670198521933,0,0.141085973262636,0,0,0,0,0,0,-0.0488049813188398
BNB,0,0,0,0.265844491811106,0,-0.0359672367946539,0,0.141898652333983,0,0,0.406876479791088,0,0,0,0.0335626571220259,0,0,0,0,0
BSV,0,0,0,0,0,0.267755518701147,0.118316011404526,0.143139527469052,0.0900023474177199,0,0,0.0226809392067217,0.125903272810291,0,0,0,0,0,0,-0.0280061190962364
ADA,0,0.452681501652469,0,0.0998553613992403,0.135463040555695,0.0746612645246412,0.0520814664771981,0,0.0360925379776783,0.0478584651935178,0,0.0162982527759612,0,0.0146458675842341,0,0,0,0,0,0
XMR,0,0.116732288867203,0,0.118697137572947,0.211775981212708,0.0403050546797373,0,0,0,0.0666635683473522,0.0174835541382546,0,0,0.144681821109251,0.0870552355773094,0,0,0,0,0
MIOTA,0,0.157444307520988,0,0,0.374795696985672,0.0368284998593892,0,0,0.00000000000000000173472347597681,0.160929974898782,0,0.129190117015305,0,0.0477887405117341,0,0,0,0,0,0
DASH,0,0.172302389008416,0.0256518780001121,0.125083977164599,0,0,-0.0577738053175985,0.176015840340725,0,0.101326078458252,0,0.231507299322631,0.124973189427332,0,0,0,0,0,0,-0.0222335781376764
MKR,0,0.335879894560223,-0.190399737588563,0,0.434384756916601,-0.120195269662976,0.0690261048748676,0.0828036788000084,0.00543859578899569,0,0,0.117236253639651,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.214978044877187,0.156014580941495,0,0,-0.0420098255788008,0,0,-0.122123343618345,0,0.0378079263503448,0,0,0.169542164052197,0.0833736594938345,0,0,0,0,-0.0675413941460638
CVIX.INDEX,0,0.219879051289971,0,0.0588971470359501,-0.238779036547858,0,-0.215041256198716,0,0,0.0421473131256749,0,0,0.131488633456717,0,0.0272176501895944,0,0,0,0,-0.00659029171184979
DXY.INDEX,0,0,0,0,0.00938989563152488,-0.0145700163425968,-0.0431378354434827,0,-0.000334708396879222,0.00863838064373371,0.0236119204969112,0,0,0.0214326544018137,-0.00329992529031484,0.0912615031580577,0,0,0,0.0203856094356981
SPX.INDEX,0,-0.0198541258472364,0.0778313308998887,0,0,0,0,0,0.00434546498533226,-0.0101713150371306,0,0.00481127724695033,0,-0.0364236090498771,0,0.111297921353006,-0.0461413598296255,0,0,-0.122642132403475
VIX.INDEX,0,0,0,-0.256860443254514,0.223899178515281,0,0,0,0.416490980982837,-0.0807460779096064,0,0.0333428159004039,0,0,0,0,-0.194832253933009,0,-2.31824348105221,0
