,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.153840745098586,-0.0270145530540439,0,0,0,0.189950311448213,0,0,0.2114697222012,0.050415057277554,0,0,0,0,0,0,0,0,0.0676029361818765
ETH,0.0719293050444892,0,0,0.258345141329826,0.0337770073559142,0,0,0,0,0,0.0110867510803991,0,0.135850813974735,0.256071865071565,0.184331286624415,0,0,0,0,0
XRP,0,0,0,0,0.161579583395079,0.0541090441069101,0.146533576865,0,0.239062857298458,0,0,0,0,0.18120196954399,0,0,0,0,0,0.0512092265931783
BCH,0.112680942221985,0,0,0,0.229737305354284,0,0.313280825140815,0.153365543370023,0,0.0373102994716959,0.0403991611700702,0.0298434832248279,0,0,0,0,0,0,0,0
EOS,0,0,0,0.299990948559001,0,0.0373495239056198,0,0,0,0.0937533108501218,0.35692588797151,0,0.222245377342597,0,0.116442237076621,0,0,0,0,0
XLM,0,0,0,0.156705179542101,0,0,0,0.27802923826716,-0.00000000000000000693889390390723,0.27096233637113,0,0,0.175628085346325,0,0,0,0,0,0,0
LTC,0.072366765351052,0,0,0.50715829753466,0.0583458472825278,0,0,0,0.143738711228234,0.0236092022351193,0,0,0,0.0390304745103533,0,0,0,0,0,0
ADA,0,0,0,0.273218911322542,0.00000000000000000693889390390723,0.313644222072662,0,0,0.0960890156394696,0,0.169740122689016,0.117293668878105,0,0,0.00739114461856332,0,0,0,0,0
MIOTA,0.00464045178144581,0,0,0,0,0.273547642208773,0.448648312271251,-0.386683178560811,0,0,0.0510954035667517,0,0.778309388815781,-0.065532720595711,0.113818655586654,0,-0.0769473373030196,0,0,0.00000000000000000693889390390723
XMR,0.519653036484744,0,0,0.251196304566106,0,0.0152284280562542,0,0.0679144756271479,0.0986517598338638,0,0,0,0.0432120376903157,0.087111849956806,0,0,0,0,0,0.0390114589353901
TRX,0,0.0720151123269558,0,0.104938715733551,0.160092406343871,0,0,0.11857314467978,0,0,0,0.0929832309177708,0.210408545890469,0,0.20269412352383,0,0,0,0,-0.0284077877943123
DASH,0,0.0849490075516663,0,0,0,0,0,0.244398116812539,0,0,0.374614502406842,0,0.00793065151899511,0.0271072782117159,0.0911260944024776,0,0,0,0,0
NEO,0,0,0,0.166323677546665,0.00784001467419028,0,0,0,0.354002247410863,0.0228196815664522,0.366920924251186,0.0593324005188765,0,0,0,0,0,0,0,0
ETC,0,0.297980975178789,0,0,0,0.158567844830455,0,0,0.314843705813791,0,0,-0.119415011498048,0,0,0,0,0,0,0,0.00982402448977035
BNB,0,0.417025867568093,0,0,0,-0.0496830744528337,0,0,0.251860664577522,0,0,0.1352139547885,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0407465439109257,0,0,-0.015389115715533,-0.157310400473774,0.104872455545059,0,0.0619780933231465,0,0.013628031713615,-0.0311121702816141,0.0357260648932696,0,0,-0.0731209483432857,0,0,-0.0359603784942613
CVIX.INDEX,-0.109512108880902,0,0,0,0,0,0,0,0,0,0,0,0.0202434763327661,0.112282289785242,0.202167292470948,0,0,0,0,0.150867409635898
DXY.INDEX,-0.00241849028376554,-0.0374060654107903,0,-0.0430640420985601,0,0,0,0,0,0.0553354020311946,-0.0163189163989806,0,0.0153183830938318,0.0159102759511668,0,0,0.129732581285723,0,0,-0.0095439163275402
SPX.INDEX,0,0,0,0,0,0,0,0.00341507775127062,-0.0144373049431712,0,0,0,0,0,0,0,0,0,0,-0.0623751869292711
VIX.INDEX,0.960887966339507,0,-0.0649939606918265,0,0,-0.143034710934135,0,0,0.0354279222757793,-0.409838413231025,0,-0.199801169522692,0.0956936376658584,-0.167705715976813,0,0,0.328069440111377,0,0,0
