,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.20683506356198,0,0,0.106032880351573,0.0566926139631794,0,0.0751349942824553,0.00853908219625757,0.0258772877615677,0,0.0659634712247823,0.0491169419502176,0,0,0,0,0
ETH,0,0,0.113679798704891,0,0.130302006096815,0,0,0.087359194953706,0,0,0.0543259941697074,0.318530485314673,0,0.0138952496273058,0.0624926706785276,0,0,0,0,0
XRP,0,0,0,0,0,0.228098151923003,0.0390161592734267,0.0942147414272302,0,0,0,0,0.171841301810603,0,0.0808017220977049,0,0,0,0,0
BCH,0,0.00559155772211009,0,0,0.129473985246814,0,0.0491013138264512,0.147540352603236,0,0.119858222085763,0,0.351279922439895,0,0.016651169173725,0,0,0,0,0,-0.00479505187650388
LTC,0.0642657670404494,0,0,0.204112974456188,0,0.0566222165352746,0.02521157404142,0,0.0604637553151235,0.0375560534038433,0,0,0.034673983437176,0.00857870139920327,0.170825960260955,0,0,0,0,0
ADA,0,0,0.0911709407363787,0,0,0,0.339026690110215,0.128083825791066,0,0,0.153543394887225,0,0.049312144833297,0.0149329104336707,0,0,0,0,0,0
EOS,0,0,0.0977711498876008,0,0,0,0,0.114458641147896,0.0487595941907422,0,0.213381171061324,0,0.116917927396432,0,0.309608972304958,0,0,0,0,-0.0144897974223504
NEO,0,0,0,0.186278012153622,0,0.233494739867533,0,0,0,0.071625708936903,0.0470861317021018,0,0,0,0.276763768944606,0,0,0,0,0
XLM,0,0,0,0,0,0,0.102681144752695,0.0303172206345386,0,0,0,0,0.0118392567217718,0.324724303601904,0.268144442999563,0,0,0,0,0
MIOTA,0,0,0.145118665852476,0.26247339325656,0.112562604735537,0,0,0,0,0,0.177111979901192,0.0701511072197641,0.138549788412745,0,0,0,0,0,0,0
XMR,0.452993168673661,0,0,0,0.189665394111433,0,0.00300443789888089,0.175577195155099,0.04960828698509,0.0879491260447991,0,0,-0.0370623078979411,0,0,0,0,0,0,0
DASH,0,0.0780785190021876,0,0.157424238417805,0,0.113897607781865,0,0.0875122137684066,0,0.0455603870736184,0.196989754022526,0,0.049496322253426,0.0473240403213675,0,0,0,0,0,0
XEM,0,0,0,0,0.209345068204187,0.321779690081987,0,0,0.147490218937123,0,0,0,0,0.242910796063393,0,0,0,0,0,0.083571034448217
TRX,0,0,0,0.038098518180832,0,0,0.229218181304807,0.251639428914058,-0.00000000000000000173472347597681,0,0,0,0.216635391288268,0,0,0,0,0,0,0
ETC,0,0,0,0.215958057181702,0,0,0.281793977803367,0.194958771991211,0,0,0,0,0.125933995972287,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0594177071385953,-0.00801209397368239,0.0928052148052506,0,0,0,0,0,0,0.0277859970089701,0.136231422123616,0,-0.147198779986722,-0.044831985818985,0,0,0,0,-0.065228096972007
CVIX.INDEX,0.0254029156083057,-0.198662462793661,0.0867443087317488,-0.16467614299173,0.0818862644763752,0.0593696226085256,0,0,0.0636766389014401,0,-0.00660428440623217,0.198872878499562,-0.175957850062011,0.033787498646096,-0.00000000000000000173472347597681,0,0,0,0,0.0600687779837636
DXY.INDEX,0,0.0250261268359989,0.011550196701418,-0.0023684299149177,-0.00591162679647176,0,0,-0.0229757008107962,-0.00672082483062761,0,0,0,-0.00199928201355773,-0.00812540877730918,0.0130278965990027,0,0,0,0,0.00972000657575763
SPX.INDEX,0,0,-0.00747087246629964,0,0.0152650891196165,0,0,0.0444238482409827,-0.00288801494913735,0,0,-0.0268911541239794,0.0198402206253611,-0.0484256460873147,0,0,0,0,0,-0.0610191240474627
VIX.INDEX,-0.672874801797619,0,-0.129521066635839,0,0,0,0.155029755746546,0.0433683235242924,0.107236105877818,0,0,0,0.0993578737145042,0.220920308976391,0,-0.631490416466214,0,0,-4.51281673355505,0
