,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0200624544862206,0,0.80603931834612,0,0.0477733748214291,0.0392123111518922,0,0.0221395769624579,0,0,0,0,0,0.0160925384600341
ETH,0,0,0.25374908906978,-0.598519224896613,-0.0273261146768759,0,0.15072304860561,-0.491892033730933,0.0970327468524785,-0.00000000000000000010842021724855,0,0.663300031194958,0,0,0.242808455354979
XRP,0,0.0426843242031111,0,0.205868732125647,0.0790603470850704,0,0.0129179058862225,0.0332491112242506,-0.0347031548076851,0.0718222985397368,0,0,0,0,-0.0748476426573343
LTC,0.724228111716881,0,0.0822068852609033,0,0.019167912404053,-0.0281580118938367,0,0.0372621098250848,0.0115173971138782,0,0,0,0,0,-0.0132012381581953
DOGE,0,0.284428280772019,0.176273388463392,1.19455698560191,0,0.142273612467448,0.0000000000000000138777878078145,0.780776437464463,0.154724595062896,-0.147303768866551,0,0,0,0,0.0193202579000478
DASH,0.558401674407928,-0.184440445959839,0.178938589371486,0,0,0,-0.365492264179639,-0.14425785128552,-0.0918723876470054,0.0575260509701257,0,-0.429619020269586,-3.49411342891963,-3.03084713779492,-0.280841655339461
XMR,0,0.0888102414604416,0,0,0,-0.0876300432273418,0,0.698635843381603,0.0339522279094602,0.0224096856071214,0,0,0,0,0.178459664527174
XLM,-0.505284190308411,-0.205791488029552,0.316979389727906,0,0.19647477124422,-0.0529361019775779,0.323159507802389,0,0.195140224527595,0.200459615094757,0,0.765426119937822,0,0,0
XEM,-2.29927515968257,0.140706170858875,0.0573154796082479,3.19639761880619,-0.237332157393525,0.174790750578309,0.0786087866716526,0,0,0.0963056323340042,0.734889404747445,0,0,0,-0.0785825841133819
DGB,0.623103749160502,0.0985375475485206,0,0,-0.579862597395505,-0.10606391350073,-0.394517647100592,0.913372425370783,0.142016733185862,0,0,0.60152973833324,0,0,0.143678166232078
BV010082.INDEX,0,-0.019479696409498,0,0,0.0432510050038832,0,-0.0533626063618035,0,0.0101516412495506,-0.00460007444231572,0,0,0,0,-0.0638602738978169
CVIX.INDEX,0,0.0169105203187729,0.0899953886675399,-0.129082920289778,-0.0520510145096051,0.0229020772870767,0.0455056611271038,0.0614306234406848,-0.0131968478878965,0.0186135662550238,0,0,0.340996173847648,0,0.206545311864742
DXY.INDEX,0,0.00737759651229826,-0.0547056820425607,-0.0149287365871909,-0.00185267771861594,0.0200930276078547,0.0214071132797659,0.00289061937376298,-0.0106928441798765,-0.00164675308365108,0,0,0,0,-0.0296594293001113
SPX.INDEX,0.0664894040975352,0,0,0,0.00349945202386252,-0.0202960987623974,0,0.00202811115522665,-0.0206582044655855,0,0,-0.0522419128137172,0,0,-0.110577248224838
VIX.INDEX,0,-0.17535498726404,0,-0.0712496797713801,0.0952438501845773,0.276849228812958,-0.000000000000000000433680868994202,0,-0.0639006627272771,0.110517821852669,0,0.389228521871256,0,-0.311706250171358,0
