,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00842716550478003,0.132299246562761,0.0060293874061816,0.0370007188480364,0.122654162070816,0.216269675611751,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0
ETH,0,0,0,0,0.190959679609614,0,0.0982875707051346,0.0568136561510542,0.0403285346010588,0.173388100668836,0,0,0.0214032026355615,0.117918759627932,0,0,0,0,0,0
XRP,0,0,0,0.105421499530695,0.0376473049704222,-0.0625018426916325,0,0.1234953571875,0.0885512183271854,0.0441542508354952,0,0,0,0.127438258968634,0.082842414063954,0,0,0,0,0
BCH,0.467723241388971,-0.58569530749822,0,0,0.387481361336403,0,0.29905662958153,-0.121922045076254,0,0.097926118962423,0,-0.251464729830329,0.265681477859269,0,0,0,0,0,0,0
LTC,0,0.00404836285737126,0.0769466611932695,0,0,0,0.00324582056113041,0,0,0,0.749162995220833,0,0,0.0654564931140563,0,0,0,0,0,0
DASH,0.196768051712302,0,0.153863441239115,0.138334240638905,0,0,0.204546216457889,0.00495035700241846,-0.0408067801128489,0,0,0,0.110744558168672,0,0,0,0,0,0,-0.160155881607114
XEM,0.0309735888865186,0,0,0.0392558476065127,0.106490234826261,0.150190789217967,0,0,0.13346100579736,0.177807629010504,0.0409590802312025,0,0,0.0434607694627317,0,0,0,0,0,0
XMR,0,0,0.335207018594206,0.056645834136707,0,0.00000000000000000693889390390723,0.112490572142078,0,0.114460807362651,0,0.135417236564724,0,0.203273206560824,0,0,0,0,0,0,0
NEO,0,0,0,0,0.120921898306473,0.068136898239863,0.260422978786744,0.000000000000000000216840434497101,0,0.0588654934971935,0,0,0,0.327103771488506,0.147629232740254,0,0,0,0,-0.271359502017413
MIOTA,0,0.0461627721706672,0,-0.0984098772802038,0,0.0107671886894957,0,0.0615163112462279,-0.031961116332571,0,0,0,0.436373980416317,0,0.342535358862983,0,0,0,0,0
ETC,0,0,0,0,0.558425709174144,0,0.120015260405312,0.0871408052198755,0,0.0998107817933839,0,0,0,0.0851089092919393,0,0,0,0,0,0
ADA,0,0,0,0.0370171684053342,0,0,0.120782698818695,0.0453590284551958,0.123904959487368,0.0705989652176896,0,0,0,-0.405056292286385,0,0,0,0,0,0
ZEC,0,0,-0.0783298470295211,0.0461253984861447,0,0.294148244144004,0.248586325124753,0,-0.0743920051586241,0.0985236910995321,0.0389735095847356,0,0,0.155910062227023,0.281783411019912,0,0,0,0,0.0923665398318006
XLM,0,0,0.155311558094907,0,0,0,0.318883259465464,0.157613431449176,0.0464513779298794,0,0.112326511012433,0,0.0655020954989801,0,0,0,0,0,0,0.0913191636561339
EOS,0,0.244149878737251,0,0,0.235888194679745,0.0383038163351966,0,0.0588138887160479,0.193769985330339,0.0877391352849874,0,0,0.103858882844867,0.176287916332635,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00952243267399094,-0.022129535079061,-0.0102332045520527,-0.0560993318332223,0,0,0.0228032511136165,-0.0000389204085933185,0,0.0333254516596036,0,0.016256795490026,0.0333786790327225,0,0,0,0,-0.0620711130739589
CVIX.INDEX,0.161310326340086,0,0,0,-0.0908390095518114,0,0.0200037970903663,0.040313077211679,-0.0304363556742001,0,0,0,-0.0173846779802626,0,-0.025089668065945,0,0,0,0,0.120996328435776
DXY.INDEX,0,0,0,0,0.0053303296354085,-0.0224576008976905,-0.00728267277490705,0.0031037039178887,0.0107992011689358,0.0101470511867686,0,0,0.00188312344901161,0,0,0,0,0,0,-0.00807753875742508
SPX.INDEX,0.00596941031811817,0,0.00189216608862504,-0.010598941788839,0,-0.0058922350275701,0,-0.00616553852434712,0,0.000621812289831933,0.00392861066539157,0,-0.00246563853580201,0.00522701289331318,0.00353034714604239,0,0,0,0,-0.035574335977897
VIX.INDEX,0,0.418086137299271,-0.0304583613480828,0,0,-0.298618622158747,0,0,-0.0504912069908052,0,-0.0733602651326784,0,0.220141484498073,0,-0.231624248068375,0,0.879265431858845,0,0,0
