,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,BSV,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00809183967751621,0.0601397037222614,0.234816423316687,0.0465690664027483,0,-0.0644544256589832,0,-0.0460303714215783,0.377414938769599,-0.0921773085825758,-0.0215872914292352,0,0,0,0,0,0,0.0480534072889022
ETH,0.208279999308028,0,0.340982261528735,0.0101780753957341,0.239416521553618,0,0,0,0,0,0.134119811313523,0,0.0193024330321787,0,0,0,0,0,0,0
XRP,0.219637457785937,0,0,0,0,0.0701595154769988,0,0.0484963658780267,0.0253587508595244,0.281013512978322,0.132620166561094,0,0.0659702990065966,0.056942194366965,0.0270194498807586,0,0,0,0,0
BCH,0.439085876839469,0,0,0,0.0670147497472797,0.290119071118322,0,0.00000000000000000693889390390723,0.0845418838206261,0,0,0,0.0286052378147887,0,0,0,0,0,0,-0.0129670851530417
EOS,0,0.280562575709484,0,0.248632783035727,0,0,0,0,0,0.0671032983509328,0,0,0.0526726344887323,0.119433137464666,0,0,0,0,0,0.0209071036394654
LTC,0,0,0.0099995346343766,0.183904470137822,0.190138092054483,0,0.0367324176416273,0,0.177472148574295,0.0424620055183777,0.0720371901145389,0,0.067490722356994,0.13556381488261,0,0,0,0,0,0
BNB,0,0,-0.0677725261795751,-0.0442774576282348,0,-0.120190720352259,0,0,0.133242420772033,0,0.239958470962249,0.419757586680592,0.0293988695252793,0.349103120774009,0.0636198780296506,0,0.0287226149397971,0,0,-0.0743244385012496
XLM,0,0.0178117718701685,0.42509122379131,0.139410914753607,0,0,-0.0449794731025453,0,0,0.201881204688372,0,0.0717564955628908,0.0314340336558047,0,0,0,0,0,0,-0.0437963342495925
ADA,0,0.0675063496356009,0,0.174953885451613,0,0.370275540776974,0.00370388367550214,0,0,0.140554599034711,-0.00000000000000000693889390390723,0,0.0271515553958112,0,0.0146886574966575,0,0,0,0,-0.0246094191695565
TRX,0,0,0.301828295128891,0,0,0,0,0.234086191019939,0,0,0.120658381928035,0,0.0486209233212409,0.208328125162675,0.0436681500708667,0,0,0,0,0
XMR,0.343334391683219,0.0710961141695369,0.0743800611219364,0,0,0,0.120924250067292,0,0.033039761319345,0.407738513801027,0,0,0.0499282093343544,0.0644120505845601,0,0,0,0,0,-0.0669204981894172
DASH,0,0.21218061160483,0.0798555928876094,0.0701850642615204,0,0,0.119332007973871,0.0794394783973616,0.000000000000000000867361737988404,0,0.0220237847369594,0,0,0,0.146806831862491,0,0,0,0,0
XTZ,0,0,0.200488452118184,-0.240534133536322,0.410179711924907,0,-0.171949225712544,1.04351137784006,0,-0.304986402182583,-0.0169942471878186,0,0,0,0,0,-0.609898582970733,0,0,0
BSV,0.114003475566392,-0.224750757838077,-0.154103229458842,-0.262947977554079,-0.0512698641153544,0.808441833285957,0,0,0,0.221783245150636,0,0.323329809531549,0,0,0.0851184339753874,0,0,0,0,0.00000000000000000173472347597681
MIOTA,0,0,0.151181364693601,0,0,0,0.0755823886042283,0,0.0840081627170469,0,0.273593728589407,0,0,0.104194536865334,0,0,0,0,0,0
BV010082.INDEX,0.113972968330915,0,0.0451654651604549,0.0217330855170107,0,0.124951437944145,0.0558578599257575,0,-0.197223117640669,0,0,0,-0.0383752638353353,0.00000000000000000173472347597681,0,0,-0.0434932651756125,0,0,-0.0360888339405949
CVIX.INDEX,0,0,0,-0.120652189540102,0,0,0,0.490690311825127,0,0,-0.131836665521825,0,-0.297102027494875,0,0,0,0,0,0,0.069132978947346
DXY.INDEX,0,0.0249820595827237,0,0,0,-0.0190652023777423,0.0063254378909669,0,0.0219906448791022,0,0,0,-0.00899273385056625,0,-0.0153222010084411,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00722787828401721,0,-0.0294863859335565,0,0,0,0,0.00655062014107606,0,0,0,0,0,-0.068815541847486
VIX.INDEX,0,0,0.257491128148754,0,-0.187491723221538,0,0,-0.45337937156708,-0.0470847180687369,0.841589768156831,-0.693028295817149,0,0.0202785364183256,0.0264099992173368,0,-0.371586843340501,0.137331258760837,0,-6.25992581033945,0
