,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.153217405937026,0.0560548449349892,0.0423411374678883,0.048138657154169,0.112311739607078,0,0.116726148503496,0,0,0.0373375839896517,0,0,0,0,0,0
ETH,0,0,0,0.0349119690106164,0.201810307421531,0,0.0331365149267354,0.0322393944225121,0.149938637457345,0.110999302346676,0,0,0.0114830087732586,0.0787637450800359,0.0189867296977202,0,0,0,0,0
XRP,0,0,0,0.052045173836051,0,0,0,0,0.0965457997821129,0.00373603514826961,0,0,0,0,0.234734976931489,0,0,0,0,0
BCH,0,0,0.360563331808494,0,0,0,0.723529286835893,-0.124077783566274,-0.0428097226023586,0,0.46957286373301,0.596940881237351,0,0,-0.949278411739656,0,0,0,0,0
LTC,0,0,0.0669499522506621,0,0,0,0,0.0199496275742742,0,0,0.77150074915362,0,0,0,0,0,0,0,0,0
DASH,0.0664670230056728,0,0,0.0780191404901559,0,0,0.075979384899963,0,0.111069070163874,0,0.0927110760687071,0.00408760819187714,0,0.117762964647109,0.104364227493839,0,0,0,0,0
XEM,0,0,0,0.0917971113895941,0.147403698909514,0.229648442135261,0,0.149199962179718,0.0684251128030894,0,0,0,0,0,0.276358966847737,0,0,0,0,0
NEO,0,0,0.0570163480426847,0.0659738060458046,0,0,0.50929649663058,0,0.142160913771819,0.200464382498454,0,0,0.166704458408767,0,0,0,0,0,0,-0.166719820941655
MIOTA,0,0.0935615131511548,0,-0.0924526108728009,0,0.0315332465130854,0,0,0,0.0582332976212721,0,0.391909448942243,0.312169949536908,0,0,0,0,0,0,-0.0186275598609544
XMR,0,0,0.065819637507352,0.0839947377485966,0.0778970879989397,0,0.0592042439601302,0.0732713480045638,0.00208273618623043,0,0,0.230971784776628,0,0,0.185290792137316,0,0,0,0,0
ETC,0,0,0,0.0244392548585917,0.595210005801905,0.0790685322932401,0.00835605972315071,0,0.120391438916034,0,0,0.0371566558059198,0,0.00882048020674867,0,0,0,0,0,0
ZEC,0,0.0868516207404491,0,0.00488712137448494,0,0.14380045375638,0.20152470655857,-0.0456417192775785,0.203201057826672,0,0,0,0,0.0337831452633676,0.129843557470981,0,0,0,0,0
EOS,0,0,0,0.0204873115827099,0.27225142330045,0,0,0.182541196166396,0.144930986286128,0.0797884669481214,0,0.144656232798697,0,0.0547814271639175,0.309054279008193,0,0,0,0,0
BAT,0,0,0.027605218174687,-0.0705319146534261,0,0,0.208278194288598,0.0979474827539054,0.0462127089278959,0,0,0.255791131410176,0,0,0.202793994120987,0,0,0,0,-0.115413896966015
XLM,0,0,0,0,0,0,0.244346089572803,0,0.00309120572398791,0.241044950205592,0.168505573241374,0,0,0.112542362104173,0,0,0,0,0,0
BV010082.INDEX,0,0.0417150706153355,0,-0.00921413764197787,0,-0.0623471946865674,0.0356057947272626,-0.00873497204377881,-0.0424788273286009,0.00130329903956043,-0.00493160626481303,0.0588312886175812,0.0226814856370475,0,-0.00418668476813408,0,0,0,0,-0.0727135160697117
CVIX.INDEX,0,0,0.0873897123833655,-0.0127099912642349,0,-0.0202023695225278,0.0400304323037201,0,0.00337498616468026,0,0,-0.0675093591805611,-0.0588307944280618,0.0403351722341913,0,0,0,0,0,0.082675072482198
DXY.INDEX,0,-0.0117800068249328,0,0,0.00871676812275306,-0.0183163084879184,0,0.00716454757464014,0.000402274495249621,0.000935365800791367,0,0,0.0147401216384949,-0.00344952782073219,0,0,-0.0247902290473077,0,0,-0.00249285170227404
SPX.INDEX,0,0,0,-0.000120354138554586,-0.000281262244051182,-0.00982005100041011,0,-0.000443902227232721,0,-0.00345828096046807,0,0,0,0.0083378390216098,0,0,0,0,0,-0.0472829870387223
VIX.INDEX,0,0,-0.0766500595086086,-0.0232441805116245,0,-0.304123502781951,0.0468682894786502,0,0.113268536738208,0,-0.0897889541555673,0.180676564543636,-0.307379663591394,0.181547243679973,0.148923426284103,0,0.639576570900836,0,0,0
