,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.000000000000000000867361737988404,0.0193405629354152,-0.0386327628775854,0.058555743095889,0.0922008684694599,0.145325264095563,0,0,0,0.0380215169698826,0,0,-0.177458124448364,0,0,0
ETH,0,0,0,0,0.119074888832707,0,0,0.0583761798639418,0,0.0333065707176922,0,0.00384215021257275,0.0510049888035916,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.407212266447719,0,0,-0.0529732289567582,0,0,0,0,0,0
XEM,0,0,-0.0815147824231578,0,-0.307313801822391,0.107829293557091,0,0.0447020589803564,0.0548591125754892,0,0.2196380041492,-0.00793001986785372,0.258599858633699,0,0,0,0,0
ETC,0,0.236836696850835,-0.0392715301763705,0.0891117873216256,0,0.179442467854539,0.137512733723873,0,0,0,0.0864767366526329,-0.0322766363525917,0,0,0,0,0,0.0376744669610484
LTC,0.505470562159035,-0.0261935359251626,0,0.142917487225665,0,0,0.153402710969868,0.175042510191487,0,0.122889145214026,-0.0958228222450117,0,0.231297375632901,0,0,0,0,0.0441479861022187
DASH,0,0.0597372224581625,-0.0518098687576203,0.201501374320402,0,0,0,0.301912421522908,0,0,0.437650201877611,0.0717105165214929,0.00875645136953193,0,0,0,0,0
XMR,0,0,0.00161597664485684,0.213916813804258,-0.182165870252349,0,0.400651162175447,0,0.0822973992129172,0,0.0862706629397604,0,-0.114172327043891,0,0,0,0,0
XLM,0,0.142613670940811,0.329868161138824,0,0.230739796347983,0,0.138225357168499,0.270479644176885,0,0.162846784253963,-0.210263906313769,0.152262415682391,0,0,0,0,0,0.00195786272160515
DOGE,0,0,0,0.0285543277871868,0,0.280023159850465,0,0,0.25417610520273,0,0.271329819261701,0.0164450087164379,0.124413566492094,0,0,0,0,0.371131747245232
ZEC,0,0.0842061977750575,0,0.0256635940543443,0.0496643341927148,-0.0266129828319953,0.310837950281104,0,-0.0465105443496662,0.202067875965933,0,0.0380650621705876,0,0,0,0,0,0
DGB,0,0,0.0111635333688645,-0.214952628393768,-0.236878646119036,0,-0.147138665531129,0.616033425796492,0,0.21506637092631,-0.182746994428263,0,0.311557242474216,0,0,0,0,0
NEO,0.0621532265085923,0,0.0708684297790963,0.191519083602687,0.319222398942586,0.21354188929555,0.480641075437527,0,-0.106592041392124,0,0.181596014694107,0.0834762679882607,0,1.23027017888138,0,0,0,-0.0751416225107318
BV010082.INDEX,0,0,0,0,0,-0.0310755539276404,-0.0160523557049337,0,0.0174816372831086,0,0,0.00923647188655238,0.0114894673637328,0,0,0,0,-0.0413620383658124
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.02370953838981,0,0,0,0,0,0
DXY.INDEX,0,0.00389941477945095,0.00153962657203657,-0.0148264253504255,0.0202634437053127,0,0,0,0.00702397699553486,-0.00596640395647073,0,-0.00262586785319694,-0.00702430039709434,0,-0.00424866185129071,0,0,0.0115948755405776
SPX.INDEX,0,0.00214742969398272,0,-0.00379725905923181,0,0,0,0.00100223390011763,0.00339678076455919,0,-0.00607378239463974,0.00233712341649199,0,0,0,0,0,-0.0363316530382092
VIX.INDEX,0.0000000000000000277555756156289,-0.0508927557181363,0.0855252350555013,0,0.186867386319986,-0.117390722517582,0.135100536635774,-0.0595218981743302,0.0112150065349555,0,0.00883421570304211,-0.160107034423495,-0.0606403298861597,-1.47386301923889,0,0,0,0
