,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.096652641271705,0,0.0133110877032749,0,0,0.34482898022716,0,0,0.0878612704833524,0,0,0.0584669329059526,0,0,0,0,0.0344763673188963
ETH,0,0,0.0839532649968363,0,0,0,0,0,0.119340464900242,0.176195698703497,0.0708619606191796,0.198608514058294,0,0.128580879328309,0,0,0,0,0,0
XRP,0,0.030385023006005,0,0,0.304579783724836,0,0.0954422177186755,0,-0.0139233539197784,0,0.251691137059811,0.0977195966700855,0,0,0,0,0,0,0,0.0461678718233941
BCH,0.124023089341049,0,0,0,0,0,0.317004572088579,0.128735367941714,0.14139153388534,0.194891718042617,0,0.0728509292871463,0,0.0176111067175925,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0973854525996756,0.498475158825347,0.0316667532949283,0,0.271808303551695,-0.0156538007197883,-0.0374323658119502,0.102491309372798,0.0909325881370747,0.261867561757881,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.164538231034937,0.251029730147258,0.204885115743172,0.0616506058068173,0,0,0,0.251678304110665,0,0,0,0,0
LTC,0.154882953671984,0,0,0.448595801559725,0.147239413380239,0,0,0,0,0,0.0975424482739349,0.0557208148551075,0,0,0,0,0,0,0,0.0143926210306435
ADA,0,0,0,0.30958085281979,0,0.256743402574013,0,0,0,0.198437957680626,0.0338220271260208,0.0265406982072297,0.0641565880593587,0,0,0,0,0,0,0
XMR,0.412016767528328,0,0,0.273660800341503,0,0,0,0.0219546368875623,0,0,0.103068721900757,0.0405652011336226,0,0.0575499651949936,0.127444480345463,0,0,0,0,0
TRX,0,0.179993473687687,0,0,0.298787851884448,0,0,0.164999409770222,0,0,0,0,0.243378462380573,0.0740117372094085,-0.0441292288479515,0,0,0,0,0
MIOTA,0,0,0.107702113583715,0,0,0.245827805437021,0,-0.131947714205284,0.132307727792763,0.218486832662408,0,-0.0148335161573271,0,0.633951625425069,0,0,-0.14939702436736,0,0,0.0682919403386693
ETC,0.17237474455835,0,0,0,0,0.0303931331127476,0,0,-0.00000000000000000693889390390723,0,0.341564704311572,0,0,0,0.14086037565951,0,0,0,0,0
DASH,0,0,-0.0105769570748697,0,0,-0.0166909557347067,0,0.253216574642449,0.0477525079716119,0,0,0.140935847451758,0,0.349727748962155,0,0,0,0,0,0
NEO,0,0.098695882522872,0,0,0,0,0,0,0,0.241946772131641,0.462607923316291,-0.0176934405607698,0.112924664449649,0,0.267455527519815,0,0,0,0,0.129820545103958
XEM,0,0,0,0,0.0888999758576814,0.132212745834007,0,0.231215650230531,0,0,0,0.0649167579564798,0,0.260394750877359,0,0,0,0,0,0
BV010082.INDEX,0,0,0.082836959375174,0,-0.0244978788283003,0.00318078145078049,0,0,0.0125984660437602,0,-0.0454303271761202,0.0137902718628765,0.0107359826513416,0,0.0211779217960567,0,-0.0855375582379427,0,0,-0.0387568844217797
CVIX.INDEX,-0.105196639037447,0,0.0906670710548952,0,0,0,0,0,0,0,0.0576077313157304,0.135877070365134,0,0,0,0,0,0,0,0.160515319009994
DXY.INDEX,0,0,0,0,0,0.00938863617354,0,-0.017263249239467,0.0191711911275378,0,-0.017771715664929,0.0169158805605463,0,0,0,0,0.0904233268935497,0,0,-0.000897490506106282
SPX.INDEX,0,0,0,0,0,0,0,0.00612927368396275,0,0,-0.0152024069095491,0,0,0,0,0,0,0,0,-0.0622900189404989
VIX.INDEX,0,0,-0.0762992305157236,0,-0.226318312102651,-0.162450047834013,0,-0.150245038988549,-0.147982662155982,0,0,-0.120859547509794,-0.144306072185119,0.09595183580201,0.686927510362688,0,0.117082050464902,0,0,0
