,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.104026623041697,0,0,0,0,0.292788285108886,0,0,0.113103814717688,0,0,0.0688296143086135,0,0,0,0,0
ETH,0,0,0,0,0.0957069289456493,-0.00881234124410144,0,0,0.146227603419645,0.115646459185439,0.146132286504296,0.172019648600697,0,0.111486297872445,0,0,0,0,0,0
XRP,0,0,0,0,0.348425442696904,0.000000000000000000867361737988404,0.0573355104029488,0,0,0.256164295026839,0,0.10540601994992,0,0,0,0,0,0,0,0.0541799957892528
BCH,0.130005683081277,0,0,0,0,0,0.32153203208061,0.126844053393398,0.140678187237722,0,0.194342672623915,0.0716840275608038,0,0.0160164780112655,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0680451510643229,0.431687346367767,0.0940137736864399,0,0,0.256883881016864,0,0.111700653180851,0.0574738576141167,0.272505720452863,0,0,0,0,0
XLM,0.104945428538891,0,0,0,0,0,0,0.1809742215191,0.230025415576651,0,0.20569746194154,0,0.0846194591359038,0,0.23846963300526,0,0,0,0,0
LTC,0,0,0,0.455233538167487,0.161709304491722,0.0488577236300922,0,0,0,0.0935074548384714,0,0.133444469103833,0,0,0,0,0,0,0,0.0489815117126964
ADA,0,0,0,0.293744291929454,0,0.260992255667602,0,0,0,0.0465132288778568,0.192657159533506,0.0295021844090114,0.0598018450701009,0,0,0,0,0,0,0
XMR,0.350033629935018,0,0,0.28516448786996,0,0.0196757857060313,0,0.0132447785477712,0,0.0818214454389094,0,0.0585790753882918,0,0.0838867522670008,0.110215265325057,0,0,0,0,0
MIOTA,0.0908833404878793,0,0.108477119093337,0,0,0.119923354131723,0,-0.0677444121245055,0,0,0.319891155400483,0,0,0.603606908908392,0,0,-0.0847316208718794,0,0,0.064472659061401
TRX,0,0.204796701814866,0,0,0.282978013350653,0,0,0.183272453859935,0,0,0,0,0.206779617331046,0.139616953868613,-0.0954404347731986,0,0,0,0,0
ETC,0.172379542238236,0,0,0,0,0.0303900847077577,0,0,0,0.341563847823183,0,0,0,0,0.140866773207853,0,0,0,0,0
DASH,0,0.000000000000000000216840434497101,-0.0105769570748696,0,0,-0.0166909557347068,0,0.253216574642448,0.047752507971612,0,0,0.140935847451758,0,0.349727748962155,0,0,0,0,0,0
NEO,0,0.0793581184108696,0,0,0,0,0,0,0,0.496928631894043,0.240247908292415,0,0.0850875623490719,0,0.253952155780666,0,0,0,0,0.109196587886389
XEM,0,0,0,0,0.0997801864955257,0.149432802745735,0,0.217793899383115,0,0.0856464146803715,0,0.00826263044099832,0,0.219826855009151,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0771864064739658,-0.0076247798589192,-0.0233391467572709,0,0,0,0.0156287682652362,-0.0170235313339019,0,0.000000000000000000867361737988404,0.0424181437595748,-0.0364419119623984,0.0304657413183796,0,-0.115190413599234,0,0,-0.0276416189879918
CVIX.INDEX,-0.0970974454725121,0,0.0945097901341374,0,0,0,0,0,0,0.0563544524194033,0,0.131688224331849,0,0,0,0,0,0,0,0.160277263873019
DXY.INDEX,0,-0.0269880381802582,0,0,0,0,0,-0.00782535121971725,0.0207483053377819,-0.0162263315696728,0,0.0236519761924993,0,0.00212259706093717,0.00820469885724322,0,0.115306045930992,0,0,-0.00183723516463155
SPX.INDEX,0,0,-0.0135003112183333,0.011593228373863,-0.00731798220514088,0,0,0.00517002196182173,0,-0.0118536937968922,0.00370266659809695,0,0,0,0,0,0.0218099302977763,0,0,-0.0684182698106882
VIX.INDEX,0,0,-0.00757874822169455,0,-0.190841372413806,-0.11288388472022,0,-0.0292397130208025,-0.100931433750414,0,0,-0.134480707215434,-0.164838121324931,0.0499569375005254,0.464851583092481,0,0.176309363578498,0,-2.20739299821766,0
