,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00697250853175835,0.116436398212634,0.455021377584573,0.181428797851413,0,0.123061835683787,0.0233333636725566,0,0,0,0,0
XRP,0.254363306108013,0,0.0427748633971342,0,0.0901332875123721,0.449826172306125,0.0905982768466096,-0.0904745307002133,-0.235180908263943,0,0,0,0.216196461835573
LTC,0.309391714209477,0.10280216158347,0,0.792425334284688,0,-0.0409870874814794,0,0.116084817983521,0,0.496951879074958,0,0,0
DOGE,0.264144892929474,-0.137564631655511,0.197610903092347,0,0.0750725386580409,0.106859233472904,0.0873331000776489,0.0632438619340549,0,0,0,0,0
DASH,0.874314404765888,0,0,0,0,0,0,0.0898347924089577,0,0,0,0,0.0764425533985937
XLM,0.815939011065334,0.256002042578982,0,0,0.00498420992439419,0,-0.270200568029387,0,0,-0.13565848432949,0,0,0.0921843964271688
XMR,1.0599030644793,0.306344588095764,0,0.281441785252746,-0.205732916864237,-0.300449435354521,0,-0.000402363220892103,0,0.141703287772557,4.18142331324775,0,0
DGB,0.255278726929703,0,0,0.390388172766409,0.0995960962519635,0.140762144841724,0,0,0,0,0,0,-0.131056155543251
BV010082.INDEX,-0.11662527080387,0.0291416438081896,0.0465524789331576,0,0,0.0241705052571573,0,-0.00182052973293318,0,-0.0474207969464576,0,0,-0.055905686501278
CVIX.INDEX,-0.0123723401711966,0.00000000000000000346944695195361,0.0677806438136755,-0.149711681963371,0.0621267286576306,0.0155938130752133,0,0.0140301739562769,-0.444363626401931,0,1.62290587684304,0,0.0339402535310105
DXY.INDEX,0.0345449179786491,-0.0225118265568516,0.00887707858852743,-0.000000000000000000216840434497101,-0.0234332778265031,0,0.0109129997168312,-0.00225381353987481,0.0759919109491303,0.0144929342573062,0,0,0.0193753725480222
SPX.INDEX,0,-0.0135595304176459,0.0158648016412965,0.0150551518483914,0.0120478279794156,-0.00653926200961285,-0.0170071886129833,-0.0081068965941799,0,-0.0127946421756037,0,0,-0.0887012552898621
VIX.INDEX,0,0.0149219077677054,0.135278543987962,0.119847171059976,0.0642831453982512,-0.126155348607038,-0.151022956744967,-0.00497228078214151,0,0,0,-4.75778137125487,0
