,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.278644961084339,0.0372889306233179,0.0535056309068471,0,0,0.0462540414508959,0,0,0.0950427037557899,-0.000000000000000000867361737988404,0,0.0479955561897623,0,0,0,0,0
ETH,0,0,0,0,0.103404088607773,0.0797384431067671,0.14946068745278,0,0,0,0.33940284150509,0,0.130842667228161,0,0.00158440514482331,0,0,0,0,0
XRP,0,-0.209214690166849,0,0,0.13265500260621,-0.0947344020544958,0.181937244337072,0.052180572243094,0,0.137412380816069,0,0.131751814270562,0.238803142422206,0.247011525124359,0.139113160964958,0,0,0,0,0
BCH,0,0,0,0,0.341575345404824,0.212638848272796,0,0,0,0,0.126391211300979,0.100540754223863,0.119630825504398,0.00704394134203732,0.00417597675803252,0,0,0,0,0
LTC,0,0,0,0.202581346969343,0,0,0,0,0.0974819849045697,0.0327588406041047,0.117074677957325,0,0.142323187214932,0,0.0186676600977135,0,0,0,0,0
NEO,0,0.143347483273542,0,0.14495075372071,0,0,0.0354880371745176,0.0929155304075983,0,0,0,0,0.227408239722695,0.139130084042303,0,0,0,0,0,0
ADA,0,0,0.0213943015722395,0,0,0.0313325426619656,0,0.060088747789411,0.0919437143179145,0.19773500303679,0,0.158160337162044,0,0.0608486499050924,0.122150384525319,0,0,0,0,0
XLM,0,0,0.286799199237977,0.163023519452661,0,0.129343891036196,0.490162641013579,0,0,0.117388478855213,0,0,0,0.0404474345166533,-0.215804163058796,0,0,0,0,0
EOS,0.131181348360823,0,0.144011461653445,0,0.00254484231973559,0,0,-0.0302401975180833,0,0,0,0.423413533574246,0.173612667210811,0,0.126621267969937,0,0,0,0,-0.0115184201404475
MIOTA,0,0,0.114478005140553,0.0292225281932759,0.0708706007868413,0,0.0479242751998796,0,0.134725081475195,0,0,0.224210670994686,0.117525447173807,0.039429811988592,0.0460417074276577,0,0,0,0,0
DASH,0,0,0,0.0686445133969928,-0.00000000000000000346944695195361,0,0,0,0.181515681585412,0.0573534404247159,0,0.187277073870444,0.17663484852394,0,0.0149554090780125,0,0,0,0,0
XMR,0.0391553396801544,0,0,0.125323284107935,0.233701467824944,0.0755674923259645,0,0,0,0.183278406015645,0,0,0.091681398397809,0.0451758064923069,-0.00000000000000000693889390390723,0,0,0,0,0
ETC,0,0,0.11876384837593,0.206858130896039,0,0.138565950666268,0,0,0,0,0.0642059933389116,0.222088056904501,0,0.00000000000000000346944695195361,0.0333592884794871,0,0,0,0,0
XEM,0,0,0.151182450106943,0,0.23698925523867,0.0718019023395343,0,0.177867142005958,0.0495794178813086,0.127039744410948,0,0.0150415307511808,0,0,0.020284669761384,0,0,0,0,0
TRX,0.446933658801093,0,0,0,0,-0.559541946179194,0,0,0.0448731352182319,0.332183882528894,0.352832222079464,0,0.360419244503503,0,0,0,0,0,0,0.0141934949352658
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00932561771880704,0,0,-0.0107074195555471,0,0,0,0,-0.040066425603559
CVIX.INDEX,0,0,0,0,-0.00968921043277762,0,0.043998489430653,-0.0349254770315759,0,0,0,-0.0482893477063307,-0.0618017158134894,0.0757494377806351,-0.0189276936438223,0,0,0,0,0.059626653894744
DXY.INDEX,0,0.0193664677684379,0.00462422362610764,-0.00508423269856237,-0.00143436188946067,0,-0.0110024478351161,0,-0.00703762082774835,-0.00208368598486232,0,0,0,0,-0.00473971587656901,-0.0777478816035947,-0.0138083905079268,0,0,0
SPX.INDEX,0,0,0,-0.0255459493226947,0,0.0172527422406674,0.00310745693861775,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646335173347787
VIX.INDEX,-0.17590519374552,-0.145893527529675,0,0,0.215247942368267,0.352573493003563,0,-0.00000000000000000693889390390723,0.123494020787946,-0.459699629740087,0,0,0.159034813151069,-0.0554552361568825,0.0455618287165416,-1.74678933062801,0,0,-4.65161760976076,0
