,BTC,ETH,XRP,BCH,LTC,BSV,EOS,BNB,XMR,TRX,XLM,ADA,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.165965387511861,0,-0.000000000000000000433680868994202,0,0.196945950628986,0.0614586695672595,0,0,0.182776314051513,0.0119705699648515,0,0,0,0,0,0,0
ETH,0,0,0,0.0555067552163444,0.298725469104827,0,0.0514943078364471,0.224070039840673,0.140908662514841,0.0601917999509253,0.103778961756058,0,0,0,0.0152444356918562,0,0,0,0,0
XRP,0,0,0,0.159839795580991,0,0.0618161024149657,-0.00000000000000000173472347597681,0.175316675494882,0,0,0.155879123966871,0.116119668015113,0.0498465273705124,0,0,0,0,0,0,0.0253119222007247
BCH,0,0,0.173409027867249,0,0.044882950264579,0.180456781764749,0.0089529216711355,0.310073420456743,0,0.178739753392368,0,0,-0.0492651122492218,0,0.0873487209354234,0,0,0,0,0
LTC,0,0.0814874808925696,0.055683580793046,0.0437998790076548,0,0.0799250150639733,0.498355976730818,0,0,0,0,0.0864909688755122,0.0034204508268008,0,-0.00000000000000000010842021724855,0,0,0,0,0
BSV,-0.0694704190307737,0,0,1.04877932954676,0,0,0.101882618471144,0,-0.251748383711932,0,-0.373014985226842,0.37918239449531,0,0,0.0550412166173364,0,0.225050658760139,0,0,-0.0486089606341881
EOS,0,0.150232904405949,0,0,0.606077875748731,0.0667730865910091,0,0.00208053001608489,0.0225712355740465,0.0599804338640648,0,0.0329602639063951,0,0,0.0628791242637874,0,0,0,0,0
BNB,0,0.116409052993594,0.126670315788965,0.166183818541271,0,0,0.27292743198614,0,0.0357951796057687,0.0534263193621637,0,0.0137890109479555,0.0137340223637933,0,0.0124941840708377,0,0,0,0,-0.0216703381661115
XMR,0,0.30516494565485,0,0,0,-0.0385678039781619,0,0.439626701090848,0,0,0,0,0.0880014928855179,0,-0.000000000000000000433680868994202,0,0,0,0,0
TRX,0,0,0.394122295324659,0.0335231343106859,0.148751579965038,0.0448072138994952,0,0.16953879468504,0.0638749132098317,0,0.0955929847723373,0.0346452816746821,-0.122108935894214,0.108609141371947,0.113514451034819,0,0,0,0,-0.0592874712237903
XLM,0,0.00482447683583358,0.31358699639934,0.00897255646233524,0,0,0,0,0,0.175623019761517,0,0.113296254718486,0.0814863877835898,0.105816589530824,0.0612945558169785,0,0,0,0,0
ADA,0,0.258695471146608,0.0887863834270816,0,0.103964289681236,0,0,0,0,0.201493039955368,0,0,0.0629917171460572,0,0.13999772500553,0,0,0,0,0
XTZ,0,0,0.636772198349025,0,0,0,0,0.905765500509822,-0.303493042861067,-0.420031779080429,0,0,0,0.0102679252564185,0.0492869636507464,0.346623687115423,0,0,0,-0.154286997505137
LEO,0.306441127555481,0,0,0.0340434923365969,0,-0.0541516563471095,-0.127728652254267,-0.0455593385829611,-0.270102958931217,0.351366468697398,0.0627198186878252,0.124166942601441,0.0761484922858608,0,-0.124493400173564,0,0,0,0,0.0668963327559102
ATOM,0,0,0,-0.000000000000000000867361737988404,0.103379932468681,0,0.516340669301527,0,0,0,0,0.0495453280058477,0.236727900670833,0,0,0,0,0,0,0.0987017290548424
BV010082.INDEX,0,0,0,0,-0.180611448893571,0,0.0847237262634626,-0.183157307566775,0,0.339325496149168,0,0,0.116938224581094,0,-0.087019857754566,0,0.0267174109866793,0,0,-0.0132813087767046
CVIX.INDEX,0.424684546558801,0,0,0,0,-0.0189158971498715,0,0,0.11557096574566,-0.0380546552235625,0.0359628037118212,-0.149518827889667,0.0256705118190149,-0.602641279011791,-0.201762347213082,0.889614294892934,0,0,0,-0.0244824243295803
DXY.INDEX,0,0,0,0,-0.0446612380324949,0.0166692449447807,0,-0.000382558264311928,0,0,0.0480802967382747,-0.00997523167403846,0.0000000000000000000271050543121376,0,-0.00847199894850958,0.0520842571319597,-0.019651749209496,0,0,-0.0068790402664891
SPX.INDEX,0,0,0,0.00111456092320977,0,0.00562977826312932,0.0129649295452108,0,0,0.00855376123500575,0,0,-0.00427818928032333,0,-0.000359746861347562,0.0402439189164437,0.0129250236333465,0,0,-0.0381729077257575
VIX.INDEX,0,0.270685358798584,-0.334304051627554,-0.137547774580886,0,0,0,0.330757464747109,-0.00000000000000000346944695195361,0,0,0,0,-0.570555597501478,-0.25823869884175,0,0,0,-5.8556787475396,0
