,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.253632095637062,-0.0439507981338419,-0.0840694134360612,0.0760197294825719,0.205880623479272,0.335347100433623,0.123581708847858,-0.178687879096552,0.0994145662385229,0.163985169118442,-0.344445565793207,0.0819206295500021,0,0,0,0,0
ETH,0.201129294727064,0,0.0370645931329022,-0.0594037840343129,0,0.86752013274633,0.284956388286624,-0.0816659669866141,-0.172726504173772,0,0.0642197504715165,0,0.000000000000000000867361737988404,0,0,0,0,0
XRP,0,0.0521895063233694,0,0,-0.334379309010559,0,0,-0.148865615783617,-0.0116208123548521,0,1.20681660468308,0.428122557808292,-0.617058652079118,0,0.519984262974269,0,0,0
LTC,-0.28288918467525,0.0242278481940153,-0.0901489303977099,0,0.111794525905469,0,0.158844393762673,-0.00642707534298943,0,0.382517262228654,0.248450449779421,-0.162969702349545,-0.083965379563266,0,0,0,0,-0.0953853380285164
DASH,-0.265740056569394,0,0,0,0,0,0,0.127315473177282,0.198309949708203,-0.061914291862779,-0.174661259283314,0,0.114482257599291,0,0.659883164389205,0,0,-0.117424865954991
XMR,0.244905475302296,0.270469798894484,0.0062971744342847,-0.120476513755012,0.0370026057849505,0,-0.119479636765483,0.115083087576333,0.115028104395111,0,0,-0.074141159066108,0,0,0,0,0,0
ETC,0.156005753211016,0.137187941505538,-0.0410549935850647,0.383061635799727,0.135089155747663,0.261002135522709,0,0,0.100958930569519,0.123268108855284,0,-0.100841515978806,0,-0.528973423868665,0,0,0,0.151425243751136
XEM,0.112936734703388,0.104311417417717,-0.003283307457652,0,0,0.277982435244126,0,0,0,0,0,0.19949527171364,0.301512914662448,0,0,0,0,0
ZEC,0,0.062745769389675,0.0121555177557345,-0.0844950740227726,0.247474536125512,0,0,-0.0154634596341115,0,0.224929657134857,0,-0.0261967873140444,-0.13732568172021,0,0,0,0,0
DOGE,0.21624526465731,0.0875417783706805,0,0.146651201607004,0.0164484405420292,-0.1759014848842,0.00000000000000000346944695195361,0.000000000000000000433680868994202,0.260464091676884,0,0.430975740103464,0.0333450208709732,0.0915642525063128,0,0,0,0,0.0303803502835988
XLM,0.246387751710491,0.046844208111699,0.282953660966638,0.194617366325149,0.0206401383833437,0,0,-0.0246152835547967,0.000000000000000000216840434497101,0.421045314749145,0,0.0800873994849782,0,0,0,0,0,-0.262573090917757
NEO,0,0,0.000000000000000000433680868994202,0,0,-0.0548594004643655,0,0,0.061454687457234,0.0523094428572796,0.0306884622087666,0,0.116080435307101,0,0,0,0,0
DGB,0.0221581738736222,0.167877095966733,-0.0944405576639367,-0.0930222448048277,0.0482016153119635,-0.185988600767393,0,0.121054811182509,0.00909861097748549,0.246618962182372,0.198563222253225,0,0,0,0.355314311488903,0,0,-0.333243799473681
BV010082.INDEX,0.105634915742261,-0.0156212576986153,0,-0.00000000000000000173472347597681,0.0270673631560354,-0.017634645344997,-0.0780174953384734,-0.0741956934739621,0,0.0109811837778592,0,0,0.103425874084633,0,0.157960466461314,0,0,0
CVIX.INDEX,0.163888471877064,0,0.00350402668555764,0.0732360672904373,0,0,0,-0.0817540812476474,0.0428485418682244,0.00412458559550584,0,-0.0728232067447948,0.15373297990023,0,0,0,0,0.240721868381372
DXY.INDEX,0.0121203210831911,0,0,0.00436427122404666,-0.00698467135509915,0,0,0,-0.00555273523581846,0,0,-0.00619223063702944,0,0.0786693391962124,0.0223459291620452,0,0,-0.000000000000000000216840434497101
SPX.INDEX,0.0121341444822807,0,0,0.00633769399195651,-0.00222383942683003,0.00501732178510434,-0.00370700793298736,0.00107327788720325,0,0,0,-0.000678476355385854,-0.000558956190912012,0,0,0,0,-0.0236099053471964
VIX.INDEX,0,0.0648762894258578,-0.00667698528408598,-0.138227326716505,0.015882165022239,-0.313177793040191,0,0,0,0.103927705829586,0,0,-0.0486131406718709,-0.46555259602054,0.293011985591375,0,0,0
