,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.372700601931055,0,0.159555833356758,0,0,0,0,0.0323647204417284,0,0,0.0670812710350554,0,0,0,0,0
ETH,0,0,0,0,0.169498875570521,0.0720876886193193,-0.0000000000000000138777878078145,0,0.0478826562511065,0,0.130560625298502,0,0.215963516917952,0.141039946440384,0.00820166987220416,0,0,0,0,0
XRP,0,0,0,0,0,0.146076787246508,0,0.0401320683434248,0,0.174283669378251,0,0.0313166513694814,0.155072117329831,0.213543023209176,0.124511538212869,0,0,0,0,0
BCH,0.164560232810685,0,0,0,0.183075387187916,0,0.153065718556535,0,0,0.00000000000000000693889390390723,0.300587222390472,0.196622901417277,0,0.0867748789531869,-0.0261859006777587,0,0,0,0,-0.0243134251862116
LTC,0.30126671777926,0,0.0147858587970148,0,0,0,0,0,0.0404938161657538,0.123708315599802,0,0,0,0.132893985696688,0.0173349364611109,0,0,0,0,0
ADA,0,0,0.0772952592276978,0,0,0,0.044108473635567,0.123660746571277,0.0607307569963764,0.212429998618569,0,0,0.171878546887382,0,0.00394428275602603,0,0,0,0,0
NEO,0.14034653563811,0.233658145568535,0,0,0.105698215282988,0,0,0.143551799517685,0,0,0,0.0809670742264737,0,0.203459564303557,0,0,0,0,0,0
XLM,0,0,0.224867693711394,0.0317898131125678,0.0812544500795924,0.394151167674231,0.119094303599062,0,0,0,0,0.222994741116041,0.116517372954626,0,-0.190985710892527,0,0,0,0,0
EOS,0.112305514744753,0,0.0333863625986318,0.135074646404525,0.0347786945436689,0.232234686022593,0,0,0,0.0388591750352286,0,0,0,0.303056893307435,0.186109570924886,0,0,0,0,0
MIOTA,0,0,0.118166412741536,0,0.159867458409605,0.0226104301383594,0,0,0.235198251535516,0,0,0.090873463473283,0.0639887104629697,0.138259534043443,0.0276175965675998,0,0,0,0,0
DASH,0,0,0.0393789586358891,0.0432238430986042,0.12799054970784,0,0,0,0.113179630595891,0.0877854332187426,0,0.121713351759513,0,0.196481839241267,0,0,0,0,0,0.0238959350817973
XMR,0.0975609896130421,0,0,0.18483807352928,0,0,0.0156817831235733,0.0627999633179226,0,0,0.163053109346966,0,0,0.155787417797476,0.0540268417055659,0,0,0,0,0
XEM,0,0,0.224775718306384,0.105283501962134,0,0,0,0.180054867178554,0.0258353790277377,0.139055933287491,0,0,0,0,0.0339133427038143,0,0,0,0,0
ETC,0,0,0.129057501358694,0.0737460026390945,0,0,0.075012336213066,0,0.0662092213221784,0.0397643393501004,0.180764375172763,0.135268327428467,0,0,0.0195368087707511,0,0,0,0,0
TRX,0.946323322699644,0,0.0373159456261095,0.108613973868448,0,0,-0.45553068731084,0,0.0682565428357523,0,0.0759346615013622,0.0944087442580797,0,0.237764697900271,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430504810348026
CVIX.INDEX,0,0,0.0360269619607494,-0.0145211938366779,0,0.0215125022186864,0,0,0,0,0,-0.0633334713550804,0.0326246583626971,-0.0233468797014582,-0.0113257647585223,0,0,0,0,0.0554065939174626
DXY.INDEX,0,0.031717019668384,0.00347944942123585,-0.00268562756672163,-0.0116405366816226,-0.0096180142733274,-0.00694838237241357,0,-0.000824126370908081,0,0,0,0,0,-0.00850930927391178,0,-0.00785387643107065,0,0,0.00682930860586268
SPX.INDEX,0,0,0.00492789924728551,0,0,0,0.0286190809296604,-0.00219484420274621,0.00421133070619678,0,0,0,0,-0.0391023603899069,0,0,0,0,0,-0.0632396519387095
VIX.INDEX,-0.5683080777131,0,0,0.0859876740232375,0.26457078865038,0,0.180100607790943,0,0,0,0,0,-0.0507549764669397,0.0374191930276685,0.0292627662354049,-3.11016986090991,0,0,-1.76799902523886,0
