,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.161679009606044,0,0,0.0436330251490913,0.299903910288888,0.10175263057674,0,0,0.0243774303090598,0.213521291617646,0,0,0,0,0,0,0,-0.0226631492904267
ETH,0,0,0,0.32925558053384,0.117055458292064,0,0,0.0904875202389864,0.122421088219682,0.0541929049783132,0.047984156420426,0,0,0.222402841284533,0,0,0,0,0,0
XRP,0,0,0,0.199455369923147,0.0299721164957968,0.0604537646225734,0.0604628228334088,0,0,-0.0180030281212107,0.228529573332482,0,0,0.189902037832247,0.111746812128843,0,0,0,0,0.033399061551478
BCH,0,0.0482111690902869,0.019931103126859,0,0.155903589886662,0,0.384077164343886,0,0.274377185634891,0,-0.000000000000000000216840434497101,0.0544449702432815,0,0,0,0,0,0,0,0
EOS,0,0.141524906931598,0.25622563213253,0,0,0.0767027561664529,0,0.127013550830306,-0.0000000000000000138777878078145,0.0521334099771925,0.0354724791005769,0.389506360490265,0.081873226283699,0,0,0,0,0,0,0
XLM,0,0,0,0.264879825840656,0,0,0,0.242761466596988,0.230273017733522,0,0.11240920868839,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0
LTC,0.058817787805977,0.103652983120758,0,0.342103718895704,0.0129129859069704,0,0,0.0367137730565807,0,0.0440954370265734,0.163121401913473,0,0,0,0,0,0,0,0,0
XMR,0,0.0549249522324656,0,0.0373084182784088,0.293577230724123,0.0472903245901177,0,0,0,0.204821974714707,0.045135771846335,0.0256406369248651,0.0397828350078622,0,0,0,0,0,0,0
ADA,0,0,0,0.398823263471442,0,0.130933302742597,0,0.132782401242386,0,0.105122700379713,0.0520885889340022,0,0,0,0.0988532095830409,0,0,0,0,0
DASH,0,0.293290271492439,-0.162604805216772,0,0,-0.0171104804437968,0,0,0.377089867142737,0,0.1078452315044,0,0.250255547662243,0,0,0,0,0,0,0
MIOTA,0,0,0.345918587510699,0,0,0.0779886200941282,0,0.0171575679872566,0,0.0673310214584785,0,0.355592138895058,0.250210554371965,0.00000000000000000693889390390723,0,0,0,0,0,0
TRX,0,0,0,0.0720144421757573,0.249617193901854,0,0,0,0,0.0227909753292992,0.0110742775555759,0,0.407980980027881,0,0.130354739381189,0,0,0,0,0.00110081333640042
NEO,0,0.0000000000000000138777878078145,0,0.279040315770471,-0.00000000000000000346944695195361,0,0,0,0.113969820248954,0.177973748372202,0.231647716436306,0.118443645352744,0,0,0.181273651387425,0,0,0,0,0
ETC,0,0.195155575454464,0,0,0.275108084201022,0.135510906594684,0,0,0,-0.0790186279367164,0.157024846093598,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.205160437757922,-0.126832899366132,0,0.0338253651572002,0,0.275310803212629,0.0560937500826185,0,0.237417011570785,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0826742158514199,0,-0.0230022162810316,-0.178031171483446,0,0.00946553720185937,0,0,0.0330092575231082,0,0,0.0889753238743387,0,0,0,0,-0.0769552248572606
CVIX.INDEX,-0.144702579872126,-0.0787826846695455,0.311031806437975,0,-0.103336345776822,0,0,-0.0886962788235117,0.210621944799601,0.0598838303472452,-0.0297662769831865,0,-0.245377618236083,0.162201881222348,0.0840711279263147,0,0,0.167710063057568,0,0.0499251878912437
DXY.INDEX,0.0145291219967386,-0.00581015425075604,-0.00493994600980067,0,0,-0.00263931920521171,0,0,0,0,-0.0218734750983744,0,0.0211208616106875,0.00518372236596416,0,0,0.0875255310889665,0,0,-0.0103766722716838
SPX.INDEX,0,0,0,-0.0111622790289499,0.0242487930757273,0,0,0.00132683086811028,0,0,0,0,0,0,-0.0191715234559897,0,0,0,0,-0.0520190017882734
VIX.INDEX,0.656215081954202,0,-0.478182927602987,0.427779122592373,0.189361877888542,-0.111386208010229,0,-0.396147740245562,0,-0.283671161591886,-0.0204650530861166,0,-0.276429449158478,-0.120270539376678,0.871486056007639,-0.159267361160603,0,0,0,0
